,origin,destination,travel time(min),travel distance(km)
0,0,5,8.33,3.9
1,0,29,5.25,1.91
2,0,40,2.53,0.69
3,0,41,5.98,1.3
4,0,42,6.0,2.53
5,0,43,4.88,2.03
6,0,53,6.68,2.42
7,0,65,4.82,1.3
8,1,4,2.85,1.14
9,1,7,3.0,1.29
10,1,24,8.72,4.6
11,1,26,5.98,3.75
12,1,34,3.47,1.54
13,1,35,3.0,1.49
14,1,39,5.0,2.07
15,1,66,4.77,2.96
16,2,12,3.37,1.52
17,2,15,3.38,1.35
18,2,20,4.63,2.41
19,2,21,3.53,2.36
20,2,24,5.72,2.89
21,3,10,4.52,1.67
22,3,38,2.78,1.42
23,3,41,4.67,1.67
24,3,43,2.23,1.32
25,3,44,7.3,4.14
26,3,45,5.05,3.05
27,4,7,2.43,0.99
28,4,30,3.72,1.05
29,4,31,1.68,0.54
30,4,33,4.18,1.83
31,4,34,2.37,0.69
32,4,35,3.43,1.53
33,5,42,2.3,1.36
34,5,43,4.82,2.55
35,5,44,6.85,3.89
36,5,53,12.83,6.28
37,5,67,10.12,7.15
38,5,68,9.2,6.65
39,6,33,4.22,1.61
40,6,35,4.17,1.75
41,6,36,3.83,1.19
42,6,50,2.22,0.73
43,6,62,6.38,2.18
44,6,64,3.23,0.93
45,7,30,1.4,0.5
46,7,31,3.68,1.01
47,7,39,3.55,1.18
48,8,29,4.1,1.28
49,8,30,2.57,0.88
50,8,31,2.15,0.61
51,8,32,2.8,0.91
52,8,49,3.6,0.75
53,8,65,2.62,0.88
54,9,28,6.5,3.76
55,9,46,7.58,5.14
56,9,47,7.23,5.24
57,9,48,4.47,3.19
58,9,57,11.2,7.44
59,9,60,6.72,3.97
60,10,38,3.18,1.01
61,10,39,4.77,1.45
62,10,45,6.65,2.75
63,11,51,21.5,18.1
64,11,68,23.08,20.39
65,12,13,5.75,2.44
66,12,14,5.07,1.77
67,12,15,4.88,2.0
68,12,16,4.92,2.47
69,12,24,9.12,4.41
70,12,63,5.77,2.13
71,12,66,3.18,1.31
72,13,14,5.38,1.98
73,13,16,3.9,1.8
74,13,18,9.47,4.4
75,13,62,3.93,1.63
76,13,63,5.9,1.71
77,14,16,3.88,1.68
78,14,63,5.43,1.91
79,15,16,4.3,1.66
80,15,17,5.12,2.09
81,15,20,5.22,2.08
82,15,21,6.05,3.04
83,16,17,4.15,2.23
84,16,18,7.83,3.46
85,17,18,7.27,3.37
86,17,19,5.88,2.96
87,17,20,3.48,1.32
88,18,19,5.92,2.71
89,18,27,14.32,7.78
90,19,20,6.57,2.86
91,19,22,3.08,1.5
92,19,27,11.23,6.34
93,19,47,4.95,3.34
94,20,21,4.73,2.16
95,20,22,4.72,2.29
96,21,22,4.0,2.11
97,21,24,7.08,3.75
98,21,25,5.78,3.43
99,21,46,3.43,2.69
100,22,28,7.15,3.45
101,22,46,6.15,3.7
102,22,47,6.77,3.96
103,23,24,6.58,2.43
104,23,25,6.0,3.25
105,23,26,11.07,6.44
106,24,25,6.4,2.92
107,24,26,13.0,7.35
108,24,66,8.53,3.97
109,25,26,13.0,8.79
110,25,37,12.6,9.15
111,25,46,7.57,5.03
112,25,57,6.63,4.12
113,26,37,7.48,4.47
114,26,39,7.4,3.76
115,26,45,5.53,3.33
116,26,66,8.75,5.71
117,27,47,7.93,3.37
118,27,48,8.43,3.25
119,28,46,5.22,2.37
120,28,47,4.22,2.14
121,28,48,8.42,5.02
122,29,31,4.9,1.59
123,29,32,3.92,1.39
124,29,33,5.08,2.09
125,29,49,4.23,1.15
126,29,50,3.33,1.41
127,29,52,5.03,1.73
128,29,53,4.23,1.9
129,29,65,3.63,1.4
130,30,31,2.28,0.51
131,30,38,3.07,1.14
132,30,39,4.98,1.67
133,30,65,3.77,1.42
134,31,32,1.95,0.43
135,31,33,2.9,0.92
136,32,33,1.93,0.62
137,33,34,2.57,0.8
138,33,35,3.25,1.37
139,33,50,5.02,2.21
140,33,64,4.3,1.6
141,34,35,2.22,0.93
142,35,64,4.1,1.75
143,35,66,7.7,3.63
144,36,50,3.78,1.41
145,36,52,4.35,1.25
146,36,62,4.43,1.62
147,37,54,10.82,6.58
148,37,57,8.87,6.44
149,38,39,4.32,1.99
150,38,41,5.17,2.17
151,38,65,3.17,1.48
152,39,45,6.25,3.03
153,40,41,4.58,0.95
154,40,43,3.58,1.48
155,40,65,4.52,1.31
156,41,43,5.45,2.07
157,41,65,4.93,1.28
158,42,43,2.5,1.18
159,43,44,5.37,2.85
160,44,45,8.13,4.33
161,46,57,4.48,3.13
162,46,60,9.75,6.23
163,47,48,5.4,3.51
164,49,65,2.78,0.85
165,50,52,4.32,1.1
166,51,67,6.08,3.27
167,51,68,7.78,3.13
168,52,53,6.62,3.29
169,52,62,6.35,2.64
170,53,67,5.98,4.47
171,54,55,1.87,0.66
172,54,56,5.22,1.55
173,54,57,7.5,4.28
174,54,58,5.47,1.8
175,55,56,4.4,1.05
176,55,58,5.45,1.95
177,55,61,2.32,0.72
178,56,61,3.23,0.95
179,57,58,6.35,3.61
180,57,59,6.42,5.15
181,57,60,8.1,5.3
182,58,59,7.58,3.4
183,58,60,11.53,6.87
184,58,61,4.73,1.84
185,59,60,5.75,3.62
186,62,63,3.28,0.93
187,62,64,4.1,1.24
188,63,64,6.68,1.86
189,63,66,6.78,2.61
190,64,66,4.9,1.86
191,67,68,7.45,4.07
