,origin,destination,travel time(min),travel distance(km)
0,0,6,9.68,4.83
1,0,20,9.85,4.74
2,0,25,8.43,3.57
3,0,26,4.4,2.17
4,0,27,7.57,4.26
5,0,31,12.4,5.91
6,0,37,10.7,7.53
7,0,38,9.88,7.02
8,1,4,3.93,1.26
9,1,15,8.13,5.02
10,1,17,6.03,3.75
11,1,21,3.3,1.66
12,1,24,5.05,2.07
13,1,36,4.77,2.96
14,2,10,5.07,2.17
15,2,11,8.13,3.81
16,2,12,11.32,5.4
17,2,13,9.92,4.99
18,2,14,9.57,3.84
19,2,15,5.52,2.72
20,3,8,4.52,1.67
21,3,23,2.8,1.42
22,3,25,4.62,1.67
23,3,26,2.27,1.32
24,3,27,7.47,4.14
25,3,28,5.08,3.05
26,4,6,4.95,1.25
27,4,20,6.52,2.15
28,4,21,3.62,1.6
29,4,23,4.65,1.63
30,4,24,4.75,1.7
31,5,20,7.92,2.97
32,5,21,4.0,1.38
33,5,30,6.53,1.84
34,5,35,6.55,2.12
35,5,36,6.82,2.71
36,6,20,4.3,1.22
37,6,21,7.43,2.71
38,6,23,3.57,1.49
39,6,25,5.68,1.71
40,7,18,10.48,6.71
41,7,19,6.43,3.78
42,7,29,4.53,3.19
43,7,33,7.68,5.25
44,8,23,3.2,1.01
45,8,24,4.8,1.45
46,8,28,6.7,2.75
47,9,37,8.75,3.84
48,9,38,8.08,3.19
49,10,11,6.1,2.49
50,10,15,6.57,3.53
51,10,35,4.45,2.25
52,10,36,3.25,1.31
53,11,12,9.67,4.57
54,11,35,3.77,1.81
55,12,13,5.93,2.71
56,12,18,10.37,6.51
57,13,14,7.6,2.59
58,13,18,7.3,5.07
59,14,15,9.22,4.13
60,14,18,13.15,7.05
61,14,19,7.77,3.96
62,15,16,4.68,2.8
63,15,17,12.22,7.76
64,15,19,8.8,6.41
65,15,36,5.77,3.09
66,16,17,13.2,8.79
67,16,19,10.18,6.74
68,16,22,12.98,9.15
69,16,33,10.12,6.56
70,17,22,7.93,4.47
71,17,24,7.42,3.76
72,17,28,5.57,3.33
73,17,36,8.77,5.71
74,18,19,8.7,4.62
75,18,29,6.2,3.19
76,19,29,9.17,6.04
77,19,33,6.83,4.9
78,20,21,6.5,2.69
79,20,30,5.02,1.73
80,20,31,4.22,1.9
81,21,36,6.93,3.2
82,22,32,11.18,6.71
83,22,33,10.77,7.63
84,23,24,4.35,1.99
85,23,25,5.22,2.17
86,24,28,6.35,3.03
87,25,26,5.47,2.07
88,26,27,5.47,2.85
89,27,28,8.22,4.33
90,30,31,6.63,3.29
91,30,35,6.55,2.44
92,31,37,6.4,4.47
93,32,33,9.13,5.02
94,32,34,5.82,1.93
95,33,34,8.07,4.79
96,35,36,4.2,2.03
97,37,38,7.55,4.07
