,travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel distance(km),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min),travel time(min)
destination,4,5,7,10,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,4,5,7,10,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,3.9,,,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,0.69,1.3,2.53,2.03,,,,,,,,,,2.42,,,,,,,,,,,,1.3,,,,,8.33,,,,,,,,,,,,,,,,,,,5.25,,,,,,,,,,,2.53,5.98,6.0,4.88,,,,,,,,,,6.68,,,,,,,,,,,,4.82,,,
1,1.14,,1.29,,,,,,,,,,,,,4.6,,3.75,,,,,,,,1.54,1.49,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,,,2.85,,3.0,,,,,,,,,,,,,8.72,,5.98,,,,,,,,3.47,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77,,
2,,,,,1.52,,,1.35,,,,,2.41,2.36,,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,,,3.38,,,,,4.63,3.53,,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,1.67,,1.32,4.14,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,4.67,,2.23,7.3,5.05,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.99,,,,,,,,,,,,,,,,,,,1.05,0.54,,1.83,0.69,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,,,,,,,,,,,,,,,,,,3.72,1.68,,4.18,2.37,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,2.55,3.89,,,,,,,,,6.28,,,,,,,,,,,,,,7.15,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,4.82,6.85,,,,,,,,,12.83,,,,,,,,,,,,,,10.12,9.2
6,,,,,,,,,,,,,,,,,,,,,,,,,1.61,,1.75,1.19,,,,,,,,,,,,,,0.73,,,,,,,,,,,,2.18,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,,4.17,3.83,,,,,,,,,,,,,,2.22,,,,,,,,,,,,6.38,,3.23,,,,
7,,,,,,,,,,,,,,,,,,,,,,0.5,1.01,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,3.68,,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,1.28,0.88,0.61,0.91,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,4.1,2.57,2.15,2.8,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,2.62,,,
9,,,,,,,,,,,,,,,,,,,,3.76,,,,,,,,,,,,,,,,,,5.14,5.24,3.19,,,,,,,,,7.44,,,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,7.58,7.23,4.47,,,,,,,,,11.2,,,6.72,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.45,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,4.77,,,,,,6.65,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,,,,,,,,,,,,,,,,,20.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,,,,,,,,,,23.08
