map_id,map_name,stop_id,stop_name,lines,xcoord,ycoord,id
9229b104,Constrained 2,remix-7fa88e3c-2512-4a0a-b87e-3d48a3eb3a7c,Untitled Stop,Blue Route (Inbound),-86.45200695,42.11676,1
9229b104,Constrained 2,remix-75ad374a-9594-48eb-a3c8-7787f397cb54,Untitled Stop,Blue Route (Inbound),-86.45612311,42.11592732,2
9229b104,Constrained 2,remix-15f108ac-582e-4459-8399-a26206a34d98,Untitled Stop,Blue Route (Inbound),-86.46015473,42.11498699,3
9229b104,Constrained 2,remix-01352e5c-c102-425f-a2c9-a1aaeebdd181,Untitled Stop,Blue Route (Inbound),-86.4661178,42.11198496,4
9229b104,Constrained 2,remix-7ab77c40-4a04-4c85-b736-f2aa7aae1032,Benton Harbor Post Office,Blue Route (Inbound),-86.46449686,42.10888031,5
9229b104,Constrained 2,remix-5f65015d-d9f7-40b6-9b4b-6621e2c44e06,Untitled Stop,Blue Route (Inbound),-86.46037232,42.10889356,6
9229b104,Constrained 2,remix-1b7d6f7f-ce79-430a-b4d8-d91bb58d0331,Untitled Stop,Blue Route (Inbound),-86.45726696,42.1097917,8
9229b104,Constrained 2,remix-921623b4-398e-48c0-9df0-51722813aaea,River Terrace Apartments,Blue Route (Inbound),-86.46086049,42.11006619,9
9229b104,Constrained 2,remix-6e5e4e7e-b1c5-43b4-9ec4-8e9e144e6d58,Untitled Stop,Blue Route (Inbound),-86.45746884,42.10947094,10
9229b104,Constrained 2,remix-9fca2a6e-7c9a-4c97-baae-383465ffe823,Untitled Stop,Blue Route (Inbound),-86.45688269,42.10621184,11
9229b104,Constrained 2,remix-ea6a12ac-bc7f-400f-addc-3c0390001838,Untitled Stop,Blue Route (Inbound),-86.45616303,42.10314873,12
9229b104,Constrained 2,remix-eb914365-f6f3-4fb1-beff-200922ec8248,Untitled Stop,Blue Route (Inbound),-86.45355095,42.10159356,13
9229b104,Constrained 2,remix-992e9d6b-ee58-4218-a84f-2d86aa9f4ad4,Untitled Stop,Blue Route (Inbound),-86.44508037,42.10153356,14
9229b104,Constrained 2,remix-b8e63ba8-f684-48f3-a947-7e4d35200292,Untitled Stop,Blue Route (Inbound),-86.44045537,42.10168349,15
9229b104,Constrained 2,remix-a8ffbba4-9b8e-45a8-9eb4-ccf0cbcf009e,Untitled Stop,Blue Route (Inbound),-86.43762396,42.10150728,16
9229b104,Constrained 2,remix-0937693c-9ef1-4f93-a8c7-3f4c7eb2ee5b,Untitled Stop,Blue Route (Inbound),-86.43580068,42.1016707,17
9229b104,Constrained 2,remix-80bb1a68-7456-4c56-9c44-4e7c9966a251,Untitled Stop,Blue Route (Inbound),-86.43672229,42.1017576,18
9229b104,Constrained 2,remix-7861aa5e-070d-43ee-8309-e08f621cc3de,Untitled Stop,Blue Route (Inbound),-86.43451417,42.09960344,19
9229b104,Constrained 2,remix-e8991cbd-1154-4f7e-86dc-8303ca4586aa,Untitled Stop,Blue Route (Inbound),-86.43500041,42.09654113,20
9229b104,Constrained 2,remix-02cfb603-f05d-4952-aa21-783d4c17bb72,Untitled Stop,Blue Route (Inbound),-86.43567031,42.09348567,21
9229b104,Constrained 2,remix-db833436-289d-44d9-8ab3-bf6c2776bbb0,Untitled Stop,Blue Route (Inbound),-86.43633907,42.09042524,22
9229b104,Constrained 2,remix-e4ae0036-4f6c-40de-a227-9e7750fd53d4,Untitled Stop,Blue Route (Inbound),-86.43670299,42.08116753,23
9229b104,Constrained 2,remix-8c5ba611-05d5-4413-82b6-f26bd5285c2d,Untitled Stop,Blue Route (Inbound),-86.4339234,42.08212109,24
9229b104,Constrained 2,remix-9ee55a76-93ed-49fc-ba5e-264125a4de7a,Untitled Stop,Blue Route (Inbound),-86.43401984,42.08555456,25
