map_id,map_name,stop_id,stop_name,lines,xcoord,ycoord,id
26a28234,Constrained 1,remix-e1a3094f-49f9-4f9a-a448-18a0540538b9,Untitled Stop,Brown Route (Inbound),-86.43849961,42.10164644,1
26a28234,Constrained 1,remix-79b46c52-892c-481d-b584-cbd398a5f0f8,Untitled Stop,Brown Route (Inbound),-86.44150865,42.10264068,2
26a28234,Constrained 1,remix-92d8aac6-8e9a-49e5-977b-339371e0403a,Untitled Stop,Brown Route (Inbound),-86.44368569,42.10491585,3
26a28234,Constrained 1,remix-6902df02-b321-4efa-92f6-92693d75103b,Untitled Stop,Brown Route (Inbound),-86.45022212,42.11172145,4
26a28234,Constrained 1,remix-ce311db4-b972-4944-851b-09a23468d40c,Untitled Stop,Brown Route (Inbound),-86.45242587,42.11367055,5
26a28234,Constrained 1,remix-38a3bf8e-176a-4f63-a168-b9486a524684,Untitled Stop,Brown Route (Inbound),-86.45636974,42.11586656,6
26a28234,Constrained 1,remix-f4d14b85-8b4f-4fb2-ac62-3a441345938b,Untitled Stop,Brown Route (Inbound),-86.46027916,42.11495921,7
26a28234,Constrained 1,remix-b32c718f-01c7-4ea3-a1d6-f46c2971cf70,Untitled Stop,Brown Route (Inbound),-86.4685906,42.11295146,8
26a28234,Constrained 1,remix-cc05fc13-860a-419b-ba54-6abdceaad064,Untitled Stop,Brown Route (Inbound),-86.47252523,42.11094973,9
26a28234,Constrained 1,remix-e9862328-d99d-4ab8-a3f6-37577151e2e9,Untitled Stop,Brown Route (Inbound),-86.47632823,42.1092643,10
26a28234,Constrained 1,remix-5e18f629-62ca-4168-93cf-d91421487abd,Untitled Stop,Brown Route (Inbound),-86.48012177,42.10979039,11
26a28234,Constrained 1,remix-f1aa06c4-e265-4d42-93fc-9d2121aa4657,Untitled Stop,Brown Route (Inbound),-86.47934652,42.10722728,12
26a28234,Constrained 1,remix-d8872ad8-4dc2-4b1e-8e1d-93e7a4590f12,Untitled Stop,Brown Route (Inbound),-86.47560307,42.10510154,13
26a28234,Constrained 1,remix-d47c1854-37fa-4dac-93be-3fa8a44c13d2,Untitled Stop,Brown Route (Inbound),-86.47563227,42.10176547,14
26a28234,Constrained 1,remix-e947d139-2210-49f9-bbcb-31ae9c058e79,Untitled Stop,Brown Route (Inbound),-86.47577302,42.09822085,15
26a28234,Constrained 1,remix-b8fc42c3-10f1-40c0-b63a-4f396eba619e,Untitled Stop,Brown Route (Inbound),-86.47580831,42.0946866,16
26a28234,Constrained 1,remix-40aca46e-ea47-4443-82b0-aa94882e7872,Untitled Stop,Brown Route (Inbound),-86.47826135,42.09173314,17
26a28234,Constrained 1,remix-dc4ec136-b5d7-4c08-acfb-3d60c9358489,Untitled Stop,Brown Route (Inbound),-86.48064888,42.08875301,18
26a28234,Constrained 1,remix-7ad5bd11-780b-44d8-ba2a-bf57711232e8,Untitled Stop,Brown Route (Inbound),-86.48368496,42.08723624,19
26a28234,Constrained 1,remix-29b9074a-b90d-4597-b752-0f9ed1ef6f8a,Untitled Stop,Brown Route (Inbound),-86.485523,42.08491856,20
26a28234,Constrained 1,remix-1933ffc8-915e-4028-9b4b-bb1443816562,Untitled Stop,Brown Route (Inbound),-86.48505468,42.08139963,21
26a28234,Constrained 1,remix-c1c70895-a67d-41dd-bf90-50e62a419fcc,Untitled Stop,Brown Route (Inbound),-86.48276746,42.07828468,22
26a28234,Constrained 1,remix-787b0327-4609-4ddd-aa72-492824a698ca,Untitled Stop,Brown Route (Inbound),-86.48062906,42.0751408,23
26a28234,Constrained 1,remix-0fcdd4f3-1811-428b-812d-33f775d5d344,Untitled Stop,Brown Route (Inbound),-86.47738713,42.07261274,24
26a28234,Constrained 1,remix-b9c9cf66-6318-4a6f-bf1f-2c1040e4bf0f,Untitled Stop,Brown Route (Inbound),-86.47389427,42.07027927,25
26a28234,Constrained 1,remix-96abc942-9616-4d60-a7ff-34bc746995de,Untitled Stop,Brown Route (Inbound),-86.47059614,42.06771878,26
26a28234,Constrained 1,remix-a82b6e64-6818-486a-a3cf-6fb7e0c6a2fc,Untitled Stop,Brown Route (Inbound),-86.46731235,42.06516038,27
26a28234,Constrained 1,remix-ca6b8029-a126-4e49-aefd-fe8108bba3f1,Untitled Stop,Brown Route (Inbound),-86.46391777,42.06267054,28
26a28234,Constrained 1,remix-f0d2d4e3-9a6d-41a2-a2df-412b5ffe697c,Untitled Stop,Brown Route (Inbound),-86.4604184,42.06026771,29
26a28234,Constrained 1,remix-45a08717-35c4-4dd7-987c-cead47007b62,Untitled Stop,Brown Route (Inbound),-86.45705925,42.05775573,30
26a28234,Constrained 1,remix-a528c61e-9451-4e84-9c85-70db0726aee8,Untitled Stop,Brown Route (Inbound),-86.45591295,42.05460957,31
26a28234,Constrained 1,remix-ee363ea2-f429-4523-82c1-ffa779a73f5a,Untitled Stop,Brown Route (Inbound),-86.45592295,42.05106973,32
26a28234,Constrained 1,remix-133116fa-620b-4f8e-a46d-77ad278e5578,Untitled Stop,Brown Route (Inbound),-86.45592294,42.04752987,33
26a28234,Constrained 1,remix-bf4e0a92-9458-446b-87bc-fed2f4e82e36,Untitled Stop,Brown Route (Inbound),-86.45592293,42.04399,34
