map_id,map_name,stop_id,stop_name,lines,xcoord,ycoord,id
ad29dfe0,Expansion 1,remix-fbb0606c-eea1-4b05-a894-66c37d7621cf,Untitled Stop,Grey Route (Inbound),-86.45485871,42.1127311,1
ad29dfe0,Expansion 1,remix-7026457e-6681-4cd4-9cfd-b0dba941fd90,Untitled Stop,Grey Route (Inbound),-86.45603637,42.10961824,2
ad29dfe0,Expansion 1,remix-a5be2c85-e1fb-4e5d-be7d-f5c1d7f363e4,Untitled Stop,Grey Route (Inbound),-86.45597063,42.10605625,3
ad29dfe0,Expansion 1,remix-2e7ff5e7-8600-44ee-b8d6-bc4478568546,Untitled Stop,Grey Route (Inbound),-86.45595697,42.10248865,4
ad29dfe0,Expansion 1,remix-5e824503-e5e8-4076-a895-83aeec5fcb53,Untitled Stop,Grey Route (Inbound),-86.45592701,42.09892301,5
ad29dfe0,Expansion 1,remix-df1b26cd-0871-4e68-97eb-7eda03d5057e,Untitled Stop,Grey Route (Inbound),-86.4558715,42.09535798,6
ad29dfe0,Expansion 1,remix-352cf7ec-749d-441c-b35f-81e61b79b8b9,Untitled Stop,Grey Route (Inbound),-86.45586725,42.09179094,7
ad29dfe0,Expansion 1,remix-bf562f33-b970-403d-83b9-1eb2d43d1d77,Untitled Stop,Grey Route (Inbound),-86.45584068,42.08822508,8
ad29dfe0,Expansion 1,remix-6092e543-5702-4154-845e-a72c6bed874c,Untitled Stop,Grey Route (Inbound),-86.45265302,42.08716644,9
ad29dfe0,Expansion 1,remix-d4c748ec-bd84-4d5c-badd-e1c024b53c22,Untitled Stop,Grey Route (Inbound),-86.44784762,42.08716645,10
ad29dfe0,Expansion 1,remix-e5810a60-16f8-44fb-a626-a852bf9022f3,Untitled Stop,Grey Route (Inbound),-86.44304224,42.08718644,11
ad29dfe0,Expansion 1,remix-00752474-71f4-4623-9dcc-781755aebe20,Untitled Stop,Grey Route (Inbound),-86.43823679,42.08718644,12
ad29dfe0,Expansion 1,remix-c1953af4-f90f-46a1-9c97-b1d9bcf416df,Untitled Stop,Grey Route (Inbound),-86.43343278,42.08716644,13
ad29dfe0,Expansion 1,remix-7f3b97a4-cbba-4812-bf58-2aaa77e9e3eb,Untitled Stop,Grey Route (Inbound),-86.42877371,42.08749852,14
ad29dfe0,Expansion 1,remix-681928ce-0b61-4a99-a7af-a8b98b78f7fa,Untitled Stop,Grey Route (Inbound),-86.4246146,42.08927653,15
