map_id,map_name,stop_id,stop_name,lines,xcoord,ycoord,id
9229b104,Constrained 2,remix-9d7d53c7-28cd-47f7-9406-37cb0c3c372a,Untitled Stop,Purple Route (Inbound),-86.423317,42.08696,1
9229b104,Constrained 2,remix-da6adc61-b0d0-4a5f-b1e3-902088da1ee4,Untitled Stop,Purple Route (Inbound),-86.42549085,42.08689356,2
9229b104,Constrained 2,remix-d35b5d77-fe29-45fd-bdb8-84f6a47788ec,Untitled Stop,Purple Route (Inbound),-86.42758526,42.08734121,3
9229b104,Constrained 2,remix-81fc3575-ce81-4d1e-8135-c785f28d8848,Untitled Stop,Purple Route (Inbound),-86.43165539,42.08715583,4
9229b104,Constrained 2,remix-d135ff4b-afd6-47a4-90c3-d9d442d18fc5,Untitled Stop,Purple Route (Inbound),-86.43173025,42.08381902,5
9229b104,Constrained 2,remix-b139764c-2f63-4fcd-bcc0-071f81a15f90,Untitled Stop,Purple Route (Inbound),-86.42852184,42.08219387,6
9229b104,Constrained 2,remix-8a04ae7a-2c61-4f14-b6be-40fa8ab32f15,Untitled Stop,Purple Route (Inbound),-86.42498421,42.08057986,7
9229b104,Constrained 2,remix-52d9142d-ede1-403a-b8bb-053f919d3059,Untitled Stop,Purple Route (Inbound),-86.42543884,42.07829058,8
9229b104,Constrained 2,remix-0da0746f-e55d-40f6-b6db-fcbbea17c5eb,Untitled Stop,Purple Route (Inbound),-86.42237783,42.07789588,9
9229b104,Constrained 2,remix-72cce897-3887-40e9-a214-ab44077ea9b0,Untitled Stop,Purple Route (Inbound),-86.41894322,42.07997428,10
9229b104,Constrained 2,remix-1d27286d-6239-4582-b2f0-80672333d85d,Untitled Stop,Purple Route (Inbound),-86.41837296,42.08263667,11
9229b104,Constrained 2,remix-c71cfcc9-896d-4650-929d-b1755b166d04,Benton Harbor Meijer Grocery,Purple Route (Inbound),-86.4217884,42.08292866,12
9229b104,Constrained 2,remix-c857e370-c899-4660-84eb-17cef9a8532e,Untitled Stop,Purple Route (Inbound),-86.42466717,42.08252644,13
9229b104,Constrained 2,remix-9a747653-f1e2-497b-82a4-b412cc27107c,Untitled Stop,Purple Route (Inbound),-86.42685476,42.08408275,14
9229b104,Constrained 2,remix-4119a07b-ea1d-4114-8427-9545de79080b,Untitled Stop,Purple Route (Inbound),-86.42744443,42.08661467,15
