map_id,map_name,stop_id,stop_name,lines,xcoord,ycoord,id
26a28234,Constrained 1,remix-887becaa-551a-4614-b0d5-9c3beafae7bf,Untitled Stop,Red Route (Inbound),-86.51463044,42.02828765,1
26a28234,Constrained 1,remix-1ab7b90d-2cca-4c5e-969e-5753a23a7282,Untitled Stop,Red Route (Inbound),-86.51572053,42.02643356,2
26a28234,Constrained 1,remix-00f9b942-b287-4638-84f8-66b5d35083c7,Untitled Stop,Red Route (Inbound),-86.51562678,42.02881486,3
26a28234,Constrained 1,remix-d938a465-a0c0-42b1-8aef-3bf0d4b5c869,Untitled Stop,Red Route (Inbound),-86.51435336,42.03184585,4
26a28234,Constrained 1,remix-6fbcde46-5a86-4528-bd9e-1375ab43b4ff,Untitled Stop,Red Route (Inbound),-86.51435191,42.03536827,5
26a28234,Constrained 1,remix-e0759b1b-7d70-42b3-9c95-b943dc4be087,Untitled Stop,Red Route (Inbound),-86.51432196,42.03889215,6
26a28234,Constrained 1,remix-a67c21aa-f02b-47b5-9910-431c98ac356f,Untitled Stop,Red Route (Inbound),-86.51429293,42.04241411,7
26a28234,Constrained 1,remix-f78b6f7b-ae4e-48d3-b584-9b9652670f63,Untitled Stop,Red Route (Inbound),-86.51428734,42.04593784,8
26a28234,Constrained 1,remix-970df2ab-3928-4806-abbb-d9a3fe9cc78a,Untitled Stop,Red Route (Inbound),-86.51428294,42.04946067,9
26a28234,Constrained 1,remix-4711f176-e161-4ffa-9ad2-a6641453bdb2,Untitled Stop,Red Route (Inbound),-86.51431295,42.05298372,10
26a28234,Constrained 1,remix-3681320f-c8bd-42ef-928c-8e1a88d93f0d,Untitled Stop,Red Route (Inbound),-86.51434295,42.05650702,11
26a28234,Constrained 1,remix-1f79af7e-c284-4113-a722-610fe7bb8cc7,Untitled Stop,Red Route (Inbound),-86.51260346,42.0597281,12
26a28234,Constrained 1,remix-05fc6fc6-189a-4a19-af04-780abfd95ae5,Untitled Stop,Red Route (Inbound),-86.50993731,42.06260845,13
26a28234,Constrained 1,remix-353e016b-519f-4e4b-b4e0-46a22b99f02d,Untitled Stop,Red Route (Inbound),-86.50887474,42.06602609,14
26a28234,Constrained 1,remix-3fdc64d2-57aa-4ff5-8a78-156d5ef7e2f2,Untitled Stop,Red Route (Inbound),-86.50795942,42.06948354,15
26a28234,Constrained 1,remix-7504fcd6-cfac-4219-81cd-242c6f2fca48,Untitled Stop,Red Route (Inbound),-86.50701688,42.07294308,16
26a28234,Constrained 1,remix-4467d04e-9a68-4b1a-8f5d-d5c9ac42c405,Untitled Stop,Red Route (Inbound),-86.50528761,42.07622702,17
26a28234,Constrained 1,remix-1a5146dd-7701-43d6-a87c-9d20ce05f3c7,Untitled Stop,Red Route (Inbound),-86.50356065,42.07950898,18
26a28234,Constrained 1,remix-b97cdd78-4744-4cc6-b5eb-ce1f6b3364b5,Untitled Stop,Red Route (Inbound),-86.49909267,42.08000297,19
26a28234,Constrained 1,remix-30a93e37-26e4-45d3-af4f-80450802233a,Untitled Stop,Red Route (Inbound),-86.49434848,42.07998644,20
26a28234,Constrained 1,remix-0b5bcc84-ea5c-4e04-a737-554c076b067a,Untitled Stop,Red Route (Inbound),-86.48960065,42.07997199,21
26a28234,Constrained 1,remix-175c671d-d109-4679-bcbd-8a45ba5727de,Untitled Stop,Red Route (Inbound),-86.488073,42.08220258,22
26a28234,Constrained 1,remix-658d9ddf-9c12-41ff-9648-f0efa6e82489,Untitled Stop,Red Route (Inbound),-86.48553791,42.08384375,23
26a28234,Constrained 1,remix-7c760e88-5f88-41d4-bd7d-853d2fe421ce,Untitled Stop,Red Route (Inbound),-86.48516227,42.08726404,24
26a28234,Constrained 1,remix-468f9b5f-a51b-4677-b0ae-58fcdaf85672,Untitled Stop,Red Route (Inbound),-86.48064282,42.08764164,25
26a28234,Constrained 1,remix-f566f2f9-6a1a-480b-a809-29fc4df0cab0,Untitled Stop,Red Route (Inbound),-86.47911104,42.09079762,26
26a28234,Constrained 1,remix-18d969a9-dc8f-4080-8973-31f2c2ad82c9,Untitled Stop,Red Route (Inbound),-86.47644787,42.09371551,27
26a28234,Constrained 1,remix-2983a4e9-8e76-470b-8af0-b16a8c07852d,Untitled Stop,Red Route (Inbound),-86.47578949,42.09706342,28
26a28234,Constrained 1,remix-37946137-3d08-4348-bac3-0c6d6ff19b95,Untitled Stop,Red Route (Inbound),-86.47578819,42.10058354,29
26a28234,Constrained 1,remix-4666a9c4-d409-4f5e-b6e2-b2cea3d6d3cb,Untitled Stop,Red Route (Inbound),-86.47507868,42.10404833,30
26a28234,Constrained 1,remix-19a5d72a-9773-4618-8ea9-1e6b63969e25,Untitled Stop,Red Route (Inbound),-86.47795726,42.10659743,31
26a28234,Constrained 1,remix-b2e80536-b95c-46d2-85dd-892aa674bcfd,Untitled Stop,Red Route (Inbound),-86.48199752,42.10844555,32
26a28234,Constrained 1,remix-ea139988-683c-4be3-afd3-01bcc3904108,Whitcomb Towers,Red Route (Inbound),-86.48215893,42.11113749,33
26a28234,Constrained 1,remix-86216eb1-00c2-41d2-ac89-d1d5ca341102,Untitled Stop,Red Route (Inbound),-86.47839264,42.11019101,34
26a28234,Constrained 1,remix-f268ee74-b748-4c5f-900a-6068c60bac5e,Untitled Stop,Red Route (Inbound),-86.47486745,42.10955326,35
26a28234,Constrained 1,remix-f6bf4bc6-44d5-4d14-bb47-3ea2748d566e,Untitled Stop,Red Route (Inbound),-86.47162518,42.11151069,36
26a28234,Constrained 1,remix-24a08b3b-9250-4644-b65a-0871a743f79f,Untitled Stop,Red Route (Inbound),-86.46803294,42.11308774,37
26a28234,Constrained 1,remix-19a7eed8-ab46-4388-9b1a-4144c30ff8d2,Untitled Stop,Red Route (Inbound),-86.45990615,42.11504247,38
26a28234,Constrained 1,remix-612ad8bc-cb00-445f-86a9-cb70c57b7e14,Untitled Stop,Red Route (Inbound),-86.45563038,42.11604872,39
26a28234,Constrained 1,remix-d9751583-4a39-4c6a-afb6-dab6119dba06,Untitled Stop,Red Route (Inbound),-86.45140871,42.11702349,40
26a28234,Constrained 1,remix-525cca3a-0aca-4ba3-a883-a4bc17010c41,Untitled Stop,Red Route (Inbound),-86.44706368,42.11791644,41
26a28234,Constrained 1,remix-7bea7598-19ca-4fde-8995-00a0cc1cd8ad,Untitled Stop,Red Route (Inbound),-86.44257354,42.11790423,42
26a28234,Constrained 1,remix-e92c8848-1a06-4c37-9ac7-dfff7f4ff12b,Untitled Stop,Red Route (Inbound),-86.43808574,42.11788644,43
26a28234,Constrained 1,remix-efa1ba8a-24ff-47e0-8ad2-804988951999,Untitled Stop,Red Route (Inbound),-86.43359383,42.11785229,44
26a28234,Constrained 1,remix-5fc26fd8-6d07-4db4-9e9c-634103ed0bac,Untitled Stop,Red Route (Inbound),-86.42910948,42.1178193,45
26a28234,Constrained 1,remix-b69ceac2-d7a1-4a2d-a7bf-eacbb9898507,Untitled Stop,Red Route (Inbound),-86.42548306,42.11857853,46
26a28234,Constrained 1,remix-a9e8ede5-9c04-4b3a-8149-a5fbfed28095,Untitled Stop,Red Route (Inbound),-86.42548336,42.12190595,47
26a28234,Constrained 1,remix-0e226abc-969e-4357-9b7e-f45a6b1f81f2,Untitled Stop,Red Route (Inbound),-86.42175956,42.1228104,48
26a28234,Constrained 1,remix-d13e6d12-6e31-42c7-a9d3-9248425cf070,Untitled Stop,Red Route (Inbound),-86.41728413,42.12309658,49
26a28234,Constrained 1,remix-ec205b39-edde-4d0a-8eac-9e1f84c181c9,Untitled Stop,Red Route (Inbound),-86.41269694,42.12324,50
