map_id,map_name,stop_id,stop_name,lines,xcoord,ycoord,id
26a28234,Constrained 1,remix-d4bce925-b256-4eda-a3c7-7979dfe011f6,Untitled Stop,Yellow Route (Inbound),-86.45560357,42.11694943,1
26a28234,Constrained 1,remix-27453f52-443f-4632-804a-a096fdafd267,Untitled Stop,Yellow Route (Inbound),-86.45264695,42.1162,2
26a28234,Constrained 1,remix-3e70b6a6-cd42-42f6-a192-449f6011f693,Untitled Stop,Yellow Route (Inbound),-86.45159387,42.11017199,3
26a28234,Constrained 1,remix-f4d4676c-ea17-4452-83f2-6c9818b77064,Untitled Stop,Yellow Route (Inbound),-86.45156382,42.10675842,4
26a28234,Constrained 1,remix-1a9c4c14-0c23-4d7a-be2e-40db6b5fa421,Untitled Stop,Yellow Route (Inbound),-86.45151097,42.10334528,5
26a28234,Constrained 1,remix-f992ea15-3f37-438f-b808-bc10cbfaf560,Untitled Stop,Yellow Route (Inbound),-86.44433524,42.10153356,6
26a28234,Constrained 1,remix-8dc84f0e-c4d6-4635-9cd5-6683d8f47143,Untitled Stop,Yellow Route (Inbound),-86.44153368,42.10211281,7
26a28234,Constrained 1,remix-a74abdd2-4710-486e-a6a2-4c8125721f6f,Untitled Stop,Yellow Route (Inbound),-86.44168659,42.09859347,8
26a28234,Constrained 1,remix-233357f4-aa0b-4973-a115-09e6524ab39a,Untitled Stop,Yellow Route (Inbound),-86.44169926,42.09507704,9
26a28234,Constrained 1,remix-6d02a1cb-9177-47ab-8faa-d018728850e9,Untitled Stop,Yellow Route (Inbound),-86.44166372,42.09156069,10
26a28234,Constrained 1,remix-3124034d-5130-4306-b358-769b53421860,Untitled Stop,Yellow Route (Inbound),-86.44163476,42.08804268,11
26a28234,Constrained 1,remix-3b77be91-9257-430b-956d-6990556394b6,Untitled Stop,Yellow Route (Inbound),-86.44161277,42.0845262,12
26a28234,Constrained 1,remix-dc82acf0-b1a0-4688-a379-b5d1f3a0193f,Untitled Stop,Yellow Route (Inbound),-86.44154583,42.08101049,13
