trip_id,on_id,off_id,od
0,15,33,"(15, 33)"
1,17,104,"(17, 104)"
2,12,3,"(12, 3)"
3,12,4,"(12, 4)"
4,45,135,"(45, 135)"
5,120,150,"(120, 150)"
6,140,161,"(140, 161)"
7,20,120,"(20, 120)"
8,15,24,"(15, 24)"
9,12,3,"(12, 3)"
10,15,3,"(15, 3)"
11,6,102,"(6, 102)"
12,90,135,"(90, 135)"
13,104,104,"(104, 104)"
14,82,6,"(82, 6)"
15,114,3,"(114, 3)"
16,93,6,"(93, 6)"
17,54,159,"(54, 159)"
18,91,32,"(91, 32)"
19,33,78,"(33, 78)"
20,82,90,"(82, 90)"
21,45,91,"(45, 91)"
22,102,124,"(102, 124)"
23,74,22,"(74, 22)"
24,21,161,"(21, 161)"
25,42,135,"(42, 135)"
26,73,22,"(73, 22)"
27,77,150,"(77, 150)"
28,87,96,"(87, 96)"
29,17,78,"(17, 78)"
30,4,84,"(4, 84)"
31,74,3,"(74, 3)"
32,82,159,"(82, 159)"
33,4,75,"(4, 75)"
34,21,135,"(21, 135)"
35,120,150,"(120, 150)"
36,3,99,"(3, 99)"
37,87,96,"(87, 96)"
38,54,83,"(54, 83)"
39,78,135,"(78, 135)"
40,99,35,"(99, 35)"
41,21,118,"(21, 118)"
42,16,67,"(16, 67)"
43,12,67,"(12, 67)"
44,143,3,"(143, 3)"
45,105,159,"(105, 159)"
46,12,160,"(12, 160)"
47,12,160,"(12, 160)"
48,12,160,"(12, 160)"
49,15,3,"(15, 3)"
50,6,20,"(6, 20)"
51,35,142,"(35, 142)"
52,104,104,"(104, 104)"
53,105,84,"(105, 84)"
54,27,90,"(27, 90)"
55,41,162,"(41, 162)"
56,15,67,"(15, 67)"
57,6,15,"(6, 15)"
58,13,148,"(13, 148)"
59,42,78,"(42, 78)"
60,14,3,"(14, 3)"
61,4,3,"(4, 3)"
62,15,161,"(15, 161)"
63,35,27,"(35, 27)"
64,82,159,"(82, 159)"
65,73,67,"(73, 67)"
66,20,75,"(20, 75)"
67,12,6,"(12, 6)"
68,16,161,"(16, 161)"
69,84,4,"(84, 4)"
70,18,3,"(18, 3)"
71,18,3,"(18, 3)"
72,19,150,"(19, 150)"
73,15,150,"(15, 150)"
74,73,150,"(73, 150)"
75,12,150,"(12, 150)"
76,17,150,"(17, 150)"
77,79,150,"(79, 150)"
78,15,150,"(15, 150)"
79,21,150,"(21, 150)"
80,93,6,"(93, 6)"
81,104,104,"(104, 104)"
82,4,111,"(4, 111)"
83,23,120,"(23, 120)"
84,12,111,"(12, 111)"
85,161,45,"(161, 45)"
86,74,78,"(74, 78)"
87,54,3,"(54, 3)"
88,21,18,"(21, 18)"
89,12,105,"(12, 105)"
90,102,148,"(102, 148)"
91,150,39,"(150, 39)"
92,19,161,"(19, 161)"
93,19,161,"(19, 161)"
94,15,73,"(15, 73)"
95,82,159,"(82, 159)"
96,4,111,"(4, 111)"
97,18,111,"(18, 111)"
98,13,78,"(13, 78)"
99,83,96,"(83, 96)"
100,4,102,"(4, 102)"
101,82,104,"(82, 104)"
102,33,90,"(33, 90)"
103,14,3,"(14, 3)"
104,11,3,"(11, 3)"
105,12,137,"(12, 137)"
106,105,73,"(105, 73)"
107,141,148,"(141, 148)"
108,100,75,"(100, 75)"
109,102,23,"(102, 23)"
110,54,110,"(54, 110)"
111,104,104,"(104, 104)"
112,12,159,"(12, 159)"
113,115,159,"(115, 159)"
114,11,3,"(11, 3)"
115,4,3,"(4, 3)"
116,148,159,"(148, 159)"
117,82,3,"(82, 3)"
118,83,77,"(83, 77)"
119,19,107,"(19, 107)"
120,35,45,"(35, 45)"
121,35,45,"(35, 45)"
122,105,84,"(105, 84)"
123,3,4,"(3, 4)"
124,54,5,"(54, 5)"
125,105,84,"(105, 84)"
126,83,23,"(83, 23)"
127,73,3,"(73, 3)"
128,150,161,"(150, 161)"
129,159,38,"(159, 38)"
130,20,75,"(20, 75)"
131,12,150,"(12, 150)"
132,15,5,"(15, 5)"
133,62,161,"(62, 161)"
134,83,3,"(83, 3)"
135,15,67,"(15, 67)"
136,15,67,"(15, 67)"
137,18,3,"(18, 3)"
138,45,73,"(45, 73)"
139,150,111,"(150, 111)"
140,12,111,"(12, 111)"
141,17,67,"(17, 67)"
142,42,67,"(42, 67)"
143,15,67,"(15, 67)"
144,102,18,"(102, 18)"
145,83,105,"(83, 105)"
146,15,135,"(15, 135)"
147,45,104,"(45, 104)"
148,82,3,"(82, 3)"
149,15,3,"(15, 3)"
150,16,148,"(16, 148)"
151,71,86,"(71, 86)"
152,33,84,"(33, 84)"
153,33,42,"(33, 42)"
154,93,84,"(93, 84)"
155,4,148,"(4, 148)"
156,84,105,"(84, 105)"
157,73,22,"(73, 22)"
158,150,161,"(150, 161)"
159,15,71,"(15, 71)"
160,73,150,"(73, 150)"
161,81,5,"(81, 5)"
162,3,99,"(3, 99)"
163,3,4,"(3, 4)"
164,33,78,"(33, 78)"
165,21,41,"(21, 41)"
166,104,104,"(104, 104)"
167,90,4,"(90, 4)"
168,45,73,"(45, 73)"
169,148,16,"(148, 16)"
170,75,24,"(75, 24)"
171,75,24,"(75, 24)"
172,135,15,"(135, 15)"
173,45,17,"(45, 17)"
174,150,161,"(150, 161)"
175,140,73,"(140, 73)"
176,14,24,"(14, 24)"
177,78,74,"(78, 74)"
178,4,3,"(4, 3)"
179,141,3,"(141, 3)"
180,15,78,"(15, 78)"
181,15,71,"(15, 71)"
182,101,161,"(101, 161)"
183,15,100,"(15, 100)"
184,104,83,"(104, 83)"
185,84,93,"(84, 93)"
186,77,3,"(77, 3)"
187,100,73,"(100, 73)"
188,148,13,"(148, 13)"
189,17,15,"(17, 15)"
190,107,18,"(107, 18)"
191,104,104,"(104, 104)"
192,148,4,"(148, 4)"
193,143,159,"(143, 159)"
194,91,3,"(91, 3)"
195,33,102,"(33, 102)"
196,4,148,"(4, 148)"
197,150,161,"(150, 161)"
198,3,15,"(3, 15)"
199,90,21,"(90, 21)"
200,35,42,"(35, 42)"
202,35,99,"(35, 99)"
203,6,78,"(6, 78)"
204,17,42,"(17, 42)"
205,41,73,"(41, 73)"
206,102,142,"(102, 142)"
207,21,96,"(21, 96)"
208,90,135,"(90, 135)"
209,89,3,"(89, 3)"
210,89,3,"(89, 3)"
211,12,150,"(12, 150)"
212,19,148,"(19, 148)"
213,3,141,"(3, 141)"
214,140,73,"(140, 73)"
215,91,150,"(91, 150)"
216,74,13,"(74, 13)"
217,111,150,"(111, 150)"
218,161,19,"(161, 19)"
219,161,19,"(161, 19)"
220,33,67,"(33, 67)"
221,42,67,"(42, 67)"
222,14,135,"(14, 135)"
223,82,33,"(82, 33)"
224,100,73,"(100, 73)"
225,74,148,"(74, 148)"
226,16,148,"(16, 148)"
227,3,35,"(3, 35)"
228,104,104,"(104, 104)"
229,142,32,"(142, 32)"
230,17,78,"(17, 78)"
231,140,35,"(140, 35)"
232,135,45,"(135, 45)"
233,3,79,"(3, 79)"
234,161,101,"(161, 101)"
235,104,33,"(104, 33)"
236,159,148,"(159, 148)"
237,15,3,"(15, 3)"
238,102,45,"(102, 45)"
239,111,150,"(111, 150)"
240,78,15,"(78, 15)"
241,142,3,"(142, 3)"
242,15,150,"(15, 150)"
243,4,89,"(4, 89)"
244,4,89,"(4, 89)"
245,104,104,"(104, 104)"
246,82,3,"(82, 3)"
247,162,13,"(162, 13)"
248,17,13,"(17, 13)"
249,107,101,"(107, 101)"
250,18,107,"(18, 107)"
251,140,3,"(140, 3)"
252,33,4,"(33, 4)"
253,3,11,"(3, 11)"
254,91,3,"(91, 3)"
255,93,3,"(93, 3)"
256,5,54,"(5, 54)"
257,33,4,"(33, 4)"
258,71,35,"(71, 35)"
259,67,104,"(67, 104)"
260,3,72,"(3, 72)"
261,148,19,"(148, 19)"
262,15,5,"(15, 5)"
263,162,41,"(162, 41)"
264,4,150,"(4, 150)"
265,150,17,"(150, 17)"
266,17,78,"(17, 78)"
267,73,140,"(73, 140)"
268,17,78,"(17, 78)"
269,17,78,"(17, 78)"
270,17,75,"(17, 75)"
271,33,24,"(33, 24)"
272,3,77,"(3, 77)"
273,17,75,"(17, 75)"
274,33,19,"(33, 19)"
275,18,13,"(18, 13)"
276,15,73,"(15, 73)"
277,41,24,"(41, 24)"
278,148,16,"(148, 16)"
279,32,6,"(32, 6)"
280,73,82,"(73, 82)"
281,67,17,"(67, 17)"
282,67,15,"(67, 15)"
283,141,73,"(141, 73)"
284,23,13,"(23, 13)"
285,135,90,"(135, 90)"
286,62,13,"(62, 13)"
287,6,18,"(6, 18)"
288,3,82,"(3, 82)"
289,77,17,"(77, 17)"
290,20,159,"(20, 159)"
291,78,33,"(78, 33)"
292,12,148,"(12, 148)"
