"STATEFP,C,2","COUNTYFP,C,3","TRACTCE,C,6","BLKGRPCE,C,1","GEOID,C,12","NAMELSAD,C,13","MTFCC,C,5","FUNCSTAT,C,1","ALAND,N,14,0","AWATER,N,14,0","INTPTLAT,C,11","INTPTLON,C,12","in_region,N,2,1"
26,147,630400,4,261476304004,Block Group 4,G5030,S,5750957,3707,+43.0318724,-082.4908520,0
26,147,631600,1,261476316001,Block Group 1,G5030,S,1565894,4045351,+43.0481345,-082.4505660,0
26,163,544300,2,261635443002,Block Group 2,G5030,S,764475,0,+42.4093568,-083.2724789,0
26,163,545200,2,261635452002,Block Group 2,G5030,S,272546,0,+42.3665072,-083.2033565,0
26,163,545300,1,261635453001,Block Group 1,G5030,S,326397,0,+42.3619485,-083.1996797,0
26,163,545300,3,261635453003,Block Group 3,G5030,S,463716,0,+42.3615284,-083.2055855,0
26,163,545500,2,261635455002,Block Group 2,G5030,S,214607,0,+42.3453970,-083.2006507,0
26,163,545500,4,261635455004,Block Group 4,G5030,S,204654,0,+42.3457992,-083.2105119,0
26,163,545500,5,261635455005,Block Group 5,G5030,S,207448,0,+42.3495220,-083.2060568,0
26,163,545600,1,261635456001,Block Group 1,G5030,S,324708,0,+42.3400038,-083.1985590,0
26,163,545800,3,261635458003,Block Group 3,G5030,S,247331,0,+42.3388606,-083.2356337,0
26,049,012009,2,260490120092,Block Group 2,G5030,S,3921652,0,+43.0592308,-083.5864586,0
26,163,553300,1,261635533001,Block Group 1,G5030,S,353012,0,+42.3923116,-083.1023355,0
26,163,545600,4,261635456004,Block Group 4,G5030,S,243706,0,+42.3398533,-083.2102765,0
26,163,545600,5,261635456005,Block Group 5,G5030,S,257496,0,+42.3397451,-083.2140398,0
26,163,545800,1,261635458001,Block Group 1,G5030,S,318043,0,+42.3378759,-083.2206871,0
26,147,631600,2,261476316002,Block Group 2,G5030,S,2363258,4930721,+43.0324802,-082.4393888,0
26,147,632000,2,261476320002,Block Group 2,G5030,S,13228565,4918,+43.0987849,-082.5116740,0
26,147,632000,3,261476320003,Block Group 3,G5030,S,20429122,13956,+43.1430814,-082.5123540,0
26,113,960100,2,261139601002,Block Group 2,G5030,S,153922387,462484,+44.4601985,-085.2265534,0
26,049,011902,1,260490119021,Block Group 1,G5030,S,14203672,214829,+43.1012448,-083.4882980,0
26,049,011902,2,260490119022,Block Group 2,G5030,S,10364888,14128,+43.0715180,-083.4690215,0
26,049,011902,3,260490119023,Block Group 3,G5030,S,6310050,13867,+43.0688005,-083.5066030,0
26,041,970600,2,260419706002,Block Group 2,G5030,S,1370882,1697481,+45.8379925,-087.0270844,0
26,049,012003,2,260490120032,Block Group 2,G5030,S,4297604,529420,+43.1046502,-083.5934640,0
26,049,012006,1,260490120061,Block Group 1,G5030,S,2163384,31916,+43.0674720,-083.6243923,0
26,049,012006,2,260490120062,Block Group 2,G5030,S,1081634,62378,+43.0523479,-083.6289096,0
26,049,012006,3,260490120063,Block Group 3,G5030,S,687904,0,+43.0536243,-083.6425017,0
26,049,012007,1,260490120071,Block Group 1,G5030,S,4196393,847091,+43.0877813,-083.6265707,0
26,041,970900,2,260419709002,Block Group 2,G5030,S,1998578,3814489,+45.7351234,-087.0609673,0
26,163,552800,5,261635528005,Block Group 5,G5030,S,275499,0,+42.3904680,-083.0574328,0
26,163,552800,2,261635528002,Block Group 2,G5030,S,343448,0,+42.3860263,-083.0554812,0
26,163,552800,3,261635528003,Block Group 3,G5030,S,254200,0,+42.3912289,-083.0505248,0
26,163,552800,4,261635528004,Block Group 4,G5030,S,154167,0,+42.3941320,-083.0515326,0
26,163,552800,1,261635528001,Block Group 1,G5030,S,816657,0,+42.3857417,-083.0479636,0
26,163,553000,1,261635530001,Block Group 1,G5030,S,634566,0,+42.4156680,-083.0968849,0
26,163,553100,1,261635531001,Block Group 1,G5030,S,252557,0,+42.4153966,-083.1121547,0
26,163,553100,3,261635531003,Block Group 3,G5030,S,286309,0,+42.4103096,-083.1065773,0
26,163,553300,2,261635533002,Block Group 2,G5030,S,490929,0,+42.4005847,-083.1076691,0
26,163,553400,1,261635534001,Block Group 1,G5030,S,261172,0,+42.4028986,-083.1008623,0
26,163,553600,1,261635536001,Block Group 1,G5030,S,474858,0,+42.3976908,-083.0880089,0
26,125,183900,3,261251839003,Block Group 3,G5030,S,628217,0,+42.5011949,-083.1394911,0
26,125,162300,1,261251623001,Block Group 1,G5030,S,1058167,0,+42.4490707,-083.2141748,0
26,125,170200,2,261251702002,Block Group 2,G5030,S,448299,0,+42.4993999,-083.1935694,0
26,147,620000,1,261476200001,Block Group 1,G5030,S,1490897,0,+42.9564293,-082.4426751,0
26,125,171300,2,261251713002,Block Group 2,G5030,S,755380,0,+42.4701118,-083.1774889,0
26,125,181200,1,261251812001,Block Group 1,G5030,S,639362,0,+42.5168626,-083.1025941,0
26,147,633100,2,261476331002,Block Group 2,G5030,S,6902452,0,+43.0170694,-082.5280480,0
26,125,184400,1,261251844001,Block Group 1,G5030,S,327164,0,+42.4884540,-083.1293183,0
26,147,632000,5,261476320005,Block Group 5,G5030,S,1155468,5490142,+43.0916960,-082.4774263,0
26,147,633100,1,261476331001,Block Group 1,G5030,S,1758866,80643,+43.0004912,-082.5197096,0
26,147,633200,2,261476332002,Block Group 2,G5030,S,40024541,498881,+43.0586948,-082.5850586,0
26,049,012100,3,260490121003,Block Group 3,G5030,S,5978060,487362,+43.1157454,-083.6123935,0
26,049,013401,3,260490134013,Block Group 3,G5030,S,11846259,1037313,+42.8915978,-083.5198496,0
26,065,003500,1,260650035001,Block Group 1,G5030,S,428739,0,+42.7363087,-084.5887963,0
26,065,004490,1,260650044901,Block Group 1,G5030,S,164467,0,+42.7230904,-084.4890634,0
26,163,559000,1,261635590001,Block Group 1,G5030,S,284193,0,+42.3602452,-083.3375192,0
26,147,634100,2,261476341002,Block Group 2,G5030,S,21981503,47722,+42.9492141,-082.5775363,0
26,147,634100,3,261476341003,Block Group 3,G5030,S,20278749,192631,+42.9190589,-082.5858134,0
26,125,121400,1,261251214001,Block Group 1,G5030,S,21028652,841416,+42.8482391,-083.3032511,0
26,059,050800,1,260590508001,Block Group 1,G5030,S,929105,0,+41.9149318,-084.6374976,0
26,125,121000,1,261251210001,Block Group 1,G5030,S,27019404,83765,+42.8592409,-083.2568146,0
26,113,960300,2,261139603002,Block Group 2,G5030,S,68334236,141760,+44.2606726,-085.2536696,0
26,097,950500,3,260979505003,Block Group 3,G5030,S,1018882,21319,+45.8678628,-084.7294358,0
26,105,950500,3,261059505003,Block Group 3,G5030,S,2453540,836893,+43.9411020,-086.4313413,0
26,105,950600,4,261059506004,Block Group 4,G5030,S,41163729,118734,+43.9113641,-086.2492738,0
26,163,554800,3,261635548003,Block Group 3,G5030,S,576856,0,+42.3979507,-083.2879615,0
26,163,555600,1,261635556001,Block Group 1,G5030,S,466617,0,+42.3605169,-083.2998059,0
26,163,556400,2,261635564002,Block Group 2,G5030,S,356120,0,+42.4298305,-083.3817447,0
26,163,556400,3,261635564003,Block Group 3,G5030,S,3830432,11219,+42.4338543,-083.3990684,0
26,163,556600,2,261635566002,Block Group 2,G5030,S,1311861,0,+42.4182988,-083.4088128,0
26,163,556700,1,261635567001,Block Group 1,G5030,S,601313,0,+42.4225849,-083.3793574,0
26,163,556700,2,261635567002,Block Group 2,G5030,S,1977600,4304,+42.4173222,-083.3857326,0
26,163,557300,2,261635573002,Block Group 2,G5030,S,1285377,0,+42.4045702,-083.3690542,0
26,041,971000,1,260419710001,Block Group 1,G5030,S,514489,0,+45.7451512,-087.0663289,0
26,041,971000,2,260419710002,Block Group 2,G5030,S,549288,0,+45.7387938,-087.0657066,0
26,041,971100,1,260419711001,Block Group 1,G5030,S,1684537,0,+45.7353430,-087.0750398,0
26,041,970800,3,260419708003,Block Group 3,G5030,S,1395307,0,+45.7398801,-087.0881548,0
26,105,950800,3,261059508003,Block Group 3,G5030,S,61176785,1195034,+43.8470321,-086.3387441,0
26,163,556800,1,261635568001,Block Group 1,G5030,S,1595846,0,+42.4195484,-083.3611148,0
26,163,556800,2,261635568002,Block Group 2,G5030,S,1000533,0,+42.4184482,-083.3707350,0
26,163,556900,1,261635569001,Block Group 1,G5030,S,936334,0,+42.4221555,-083.3411356,0
26,163,556900,2,261635569002,Block Group 2,G5030,S,1151552,0,+42.4157216,-083.3462968,0
26,163,557000,1,261635570001,Block Group 1,G5030,S,674785,0,+42.4231700,-083.3201394,0
26,163,557000,2,261635570002,Block Group 2,G5030,S,410970,0,+42.4164112,-083.3200326,0
26,163,557000,3,261635570003,Block Group 3,G5030,S,1513813,2401,+42.4204998,-083.3319935,0
26,163,557100,1,261635571001,Block Group 1,G5030,S,1230247,0,+42.4094103,-083.3247139,0
26,163,557100,2,261635571002,Block Group 2,G5030,S,658409,0,+42.4021993,-083.3203300,0
26,163,557100,3,261635571003,Block Group 3,G5030,S,717316,0,+42.4022633,-083.3299509,0
26,163,557200,2,261635572002,Block Group 2,G5030,S,1777634,0,+42.4063122,-083.3469026,0
26,163,557300,1,261635573001,Block Group 1,G5030,S,1290020,0,+42.4047917,-083.3592672,0
26,065,000100,2,260650001002,Block Group 2,G5030,S,1241959,0,+42.7583742,-084.5504676,0
26,065,000700,1,260650007001,Block Group 1,G5030,S,441428,33682,+42.7454684,-084.5529215,0
26,035,000400,1,260350004001,Block Group 1,G5030,S,94028662,3264679,+43.8950129,-085.0274627,0
26,163,557400,1,261635574001,Block Group 1,G5030,S,1145629,0,+42.4008206,-083.3821375,0
26,163,558500,1,261635585001,Block Group 1,G5030,S,807051,2503,+42.3631731,-083.4001528,0
26,163,558500,4,261635585004,Block Group 4,G5030,S,823668,0,+42.3565532,-083.4048075,0
26,163,558600,2,261635586002,Block Group 2,G5030,S,868704,22341,+42.3606527,-083.3841178,0
26,163,558700,3,261635587003,Block Group 3,G5030,S,684022,0,+42.3645870,-083.3669561,0
26,163,558800,1,261635588001,Block Group 1,G5030,S,563287,0,+42.3574629,-083.3563435,0
26,163,558800,2,261635588002,Block Group 2,G5030,S,723420,0,+42.3577304,-083.3659124,0
26,163,558900,1,261635589001,Block Group 1,G5030,S,831062,0,+42.3665740,-083.3428263,0
26,163,557500,4,261635575004,Block Group 4,G5030,S,693709,0,+42.4069049,-083.4085011,0
