zone_id,centroid,geometry,on_count,off_count
0,"(-86.38040952841658, 42.07597029404763)","POLYGON ((-86.37252100000001 42.072337, -86.387868 42.072427, -86.387957 42.079665, -86.38307 42.07966, -86.38058100000001 42.079651, -86.38020899999999 42.079652, -86.378254 42.079647, -86.37630900000001 42.079634, -86.37540199999999 42.079629, -86.37479399999999 42.079629, -86.374206 42.079626, -86.373679 42.079623, -86.373009 42.076917, -86.372829 42.076009, -86.37270700000001 42.075123, -86.37263 42.074491, -86.372573 42.073803, -86.37252100000001 42.07302, -86.37252100000001 42.072337))",0.0,0.0
1,"(-86.3658842157999, 42.076010205991466)","POLYGON ((-86.37252100000001 42.072337, -86.37252100000001 42.07302, -86.372573 42.073803, -86.37263 42.074491, -86.37270700000001 42.075123, -86.372829 42.076009, -86.373009 42.076917, -86.373679 42.079623, -86.37346599999999 42.079622, -86.36859699999999 42.079588, -86.365117 42.079576, -86.364384 42.079574, -86.36127500000001 42.079558, -86.360834 42.079557, -86.358818 42.079551, -86.358813 42.078077, -86.358814 42.076005, -86.358791 42.072339, -86.37252100000001 42.072337))",0.0,0.0
2,"(-86.44089145868426, 42.062470402047644)","POLYGON ((-86.43646699999999 42.065924, -86.436458 42.058831, -86.438575 42.058115, -86.439804 42.058405, -86.444552 42.059887, -86.447519 42.060929, -86.449134 42.061856, -86.448244 42.062272, -86.439341 42.066729, -86.436463 42.068187, -86.436455 42.067253, -86.436453 42.06713, -86.436432 42.066544, -86.436431 42.066377, -86.436435 42.066215, -86.436452 42.066081, -86.436465 42.06596, -86.43646699999999 42.065924))",0.0,0.0
3,"(-86.42428287005157, 42.078551690738124)","POLYGON ((-86.427786 42.072533, -86.42834999999999 42.072553, -86.430836 42.072538, -86.430825 42.073232, -86.430797 42.073424, -86.43078 42.07364, -86.430733 42.0739, -86.430719 42.074206, -86.430719 42.074602, -86.430735 42.076179, -86.430747 42.076568, -86.430769 42.078939, -86.43078199999999 42.079867, -86.430268 42.080246, -86.429885 42.080303, -86.429348 42.08036, -86.429016 42.080341, -86.428658 42.080227, -86.42824899999999 42.080189, -86.427814 42.080132, -86.42584600000001 42.081479, -86.42536 42.081897, -86.425207 42.082144, -86.42513 42.082523, -86.42513 42.083054, -86.42472100000001 42.083111, -86.424772 42.083358, -86.42242 42.084117, -86.422138 42.084326, -86.421959 42.084515, -86.42170400000001 42.084591, -86.42142200000001 42.084762, -86.421192 42.084876, -86.420834 42.084914, -86.420323 42.084952, -86.419403 42.084825, -86.419299 42.08433, -86.41925000000001 42.084061, -86.419191 42.083813, -86.419117 42.083608, -86.41904599999999 42.083443, -86.418931 42.083231, -86.41856300000001 42.08272, -86.41826 42.082291, -86.41799 42.081919, -86.41782000000001 42.08171, -86.41768999999999 42.081509, -86.41755000000001 42.081264, -86.41741500000001 42.080999, -86.417309 42.080697, -86.41721200000001 42.080385, -86.41714899999999 42.08014, -86.417089 42.079783, -86.417075 42.079584, -86.41707 42.079217, -86.41706499999999 42.078836, -86.41752200000001 42.078432, -86.41785 42.078138, -86.41821400000001 42.077855, -86.418497 42.07764, -86.418808 42.07739, -86.420535 42.076243, -86.420929 42.076023, -86.421296 42.075833, -86.421639 42.075646, -86.427786 42.072533))",803.0,986.0
4,"(-86.42873377290401, 42.08387216624637)","POLYGON ((-86.42513 42.083054, -86.42513 42.082523, -86.425207 42.082144, -86.42536 42.081897, -86.42584600000001 42.081479, -86.427814 42.080132, -86.42824899999999 42.080189, -86.428658 42.080227, -86.429016 42.080341, -86.429348 42.08036, -86.429885 42.080303, -86.430268 42.080246, -86.43078199999999 42.079867, -86.430814 42.082141, -86.430817 42.082783, -86.430809 42.082978, -86.43082200000001 42.083092, -86.430832 42.083145, -86.430863 42.083191, -86.430913 42.08324, -86.430921 42.083248, -86.430997 42.083288, -86.431095 42.083311, -86.43119799999999 42.083314, -86.431344 42.083334, -86.43145 42.083362, -86.43160399999999 42.083425, -86.43163300000001 42.08348, -86.43165399999999 42.083568, -86.43167 42.084586, -86.431679 42.086853, -86.431687 42.087039, -86.43154199999999 42.08704, -86.430834 42.087033, -86.430324 42.087029, -86.430155 42.087039, -86.430021 42.08705, -86.429748 42.087089, -86.429573 42.087118, -86.429453 42.087148, -86.429304 42.087188, -86.42914 42.087236, -86.428084 42.087684, -86.426922 42.088173, -86.426894 42.086944, -86.426613 42.086375, -86.426689 42.085957, -86.426664 42.085445, -86.42645899999999 42.083434, -86.426255 42.083206, -86.425871 42.083111, -86.42513 42.083054))",356.0,254.0
5,"(-86.42362580987147, 42.08638904665912)","POLYGON ((-86.419403 42.084825, -86.420323 42.084952, -86.420834 42.084914, -86.421192 42.084876, -86.42142200000001 42.084762, -86.42170400000001 42.084591, -86.421959 42.084515, -86.422138 42.084326, -86.42242 42.084117, -86.424772 42.083358, -86.42472100000001 42.083111, -86.42513 42.083054, -86.425871 42.083111, -86.426255 42.083206, -86.42645899999999 42.083434, -86.426664 42.085445, -86.426689 42.085957, -86.426613 42.086375, -86.426894 42.086944, -86.426922 42.088173, -86.42506899999999 42.088971, -86.423136 42.089792, -86.42293600000001 42.089871, -86.422714 42.089691, -86.42226599999999 42.08925, -86.420148 42.087198, -86.420057 42.087088, -86.419982 42.086981, -86.419923 42.08687, -86.41987899999999 42.08679, -86.41978400000001 42.086551, -86.419692 42.086147, -86.41953100000001 42.085419, -86.419403 42.084825))",39.0,62.0
6,"(-86.41785453552833, 42.08463543842992)","POLYGON ((-86.41741500000001 42.080999, -86.41755000000001 42.081264, -86.41768999999999 42.081509, -86.41782000000001 42.08171, -86.41799 42.081919, -86.41826 42.082291, -86.41856300000001 42.08272, -86.418931 42.083231, -86.41904599999999 42.083443, -86.419117 42.083608, -86.419191 42.083813, -86.41925000000001 42.084061, -86.419299 42.08433, -86.419403 42.084825, -86.41953100000001 42.085419, -86.419692 42.086147, -86.41978400000001 42.086551, -86.41987899999999 42.08679, -86.419923 42.08687, -86.419982 42.086981, -86.420057 42.087088, -86.420148 42.087198, -86.42226599999999 42.08925, -86.422714 42.089691, -86.42293600000001 42.089871, -86.42259300000001 42.090012, -86.422392 42.090072, -86.422186 42.090127, -86.42185499999999 42.090203, -86.421447 42.090291, -86.421291 42.090322, -86.421004 42.090376, -86.420852 42.0904, -86.420542 42.089816, -86.420205 42.089433, -86.41986799999999 42.088899, -86.418588 42.087649, -86.416588 42.085731, -86.416431 42.085414, -86.416071 42.085131, -86.415892 42.084881, -86.415263 42.084097, -86.41488099999999 42.083697, -86.41443200000001 42.083014, -86.41427400000001 42.08288, -86.41407700000001 42.082612, -86.414429 42.082008, -86.414608 42.081725, -86.414754 42.081516, -86.41496600000001 42.081199, -86.415273 42.080744, -86.41560800000001 42.080395, -86.415705 42.08027, -86.41593899999999 42.080004, -86.416174 42.079734, -86.41706499999999 42.078836, -86.41707 42.079217, -86.417075 42.079584, -86.417089 42.079783, -86.41714899999999 42.08014, -86.41721200000001 42.080385, -86.417309 42.080697, -86.41741500000001 42.080999))",85.0,68.0
7,"(-86.42052408147276, 42.074471757485064)","POLYGON ((-86.426599 42.072463, -86.427786 42.072533, -86.421639 42.075646, -86.421296 42.075833, -86.420929 42.076023, -86.420535 42.076243, -86.418808 42.07739, -86.418497 42.07764, -86.41821400000001 42.077855, -86.41785 42.078138, -86.41752200000001 42.078432, -86.41706499999999 42.078836, -86.417057 42.078291, -86.41704900000001 42.077934, -86.41705399999999 42.077718, -86.41703800000001 42.076555, -86.417036 42.075614, -86.417007 42.072497, -86.419603 42.07251, -86.423108 42.072517, -86.426289 42.072523, -86.426406 42.072518, -86.42651600000001 42.072496, -86.426599 42.072463))",11.0,20.0
8,"(-86.41305060895414, 42.076126658222975)","POLYGON ((-86.417057 42.078291, -86.41706499999999 42.078836, -86.416174 42.079734, -86.41593899999999 42.080004, -86.415705 42.08027, -86.41560800000001 42.080395, -86.415273 42.080744, -86.41496600000001 42.081199, -86.414754 42.081516, -86.414608 42.081725, -86.414429 42.082008, -86.41407700000001 42.082612, -86.41197200000001 42.079741, -86.407281 42.073486, -86.406553 42.072458, -86.407352 42.072452, -86.412102 42.072469, -86.417007 42.072497, -86.417036 42.075614, -86.41703800000001 42.076555, -86.41705399999999 42.077718, -86.41704900000001 42.077934, -86.417057 42.078291))",1.0,15.0
9,"(-86.39863629496075, 42.07622299966251)","POLYGON ((-86.406553 42.072458, -86.407281 42.073486, -86.41197200000001 42.079741, -86.407359 42.079711, -86.402438 42.07971, -86.400857 42.079703, -86.397649 42.079695, -86.392742 42.079689, -86.39069600000001 42.079688, -86.387957 42.079665, -86.387868 42.072427, -86.392669 42.072427, -86.397593 42.072448, -86.39999 42.07245, -86.402413 42.072453, -86.404269 42.072442, -86.406553 42.072458))",0.0,0.0
