Name,Lat,Long,Type,Order
Empire and Union,42.101646,-86.441657,red,1
Emipre and Columbus,42.101634,-86.448961,red,2
TCAT Wallstreet,42.116034,-86.452483,red,3
Michigan Works,42.115074,-86.465348,red,4
Whitecome Tower St. Joe,42.111264,-86.481872,red,5
Lakeland hospital St. Joe,42.08881,-86.478394,red,6
Harding's Grocerry St. Joe,42.084126,-86.486379,red,7
Martin's Grocerry St. Joe,42.079074,-86.49349,red,8
Mc Donald's Stevenvilles,42.033439,-86.513542,red,9
Maijor Stevenvilles,42.026502,-86.516012,red,10
Briarwood apartment,42.086425,-86.440537,red,11
Union and May,42.097967,-86.441592,red,12
