ID,NAN,ED,LA,O,D,SL
0,999,0,184,1,24,10
1,999,0,184,1,24,10
2,999,0,184,1,24,10
3,999,0,184,1,24,10
4,999,0,184,1,24,10
5,999,0,184,1,24,10
6,999,0,184,1,24,10
7,999,0,184,1,24,10
8,999,0,184,1,24,10
9,999,0,184,1,24,10
10,999,0,184,6,24,10
11,999,0,184,6,24,10
12,999,0,184,6,24,10
13,999,0,184,6,24,10
14,999,0,184,31,35,10
15,999,0,184,31,35,10
16,999,0,184,31,35,10
17,999,0,184,31,35,10
18,999,0,184,31,35,10
19,999,0,184,31,35,10
20,999,0,184,31,35,10
21,999,0,184,31,35,10
22,999,0,184,31,35,10
23,999,0,184,31,35,10
24,999,0,184,0,24,10
25,999,0,184,0,24,10
26,999,0,184,0,24,10
27,999,0,184,0,24,10
28,999,0,184,0,24,10
29,999,0,184,24,35,10
30,999,0,184,24,35,10
31,999,0,184,24,35,10
32,999,0,184,24,35,10
33,999,0,184,24,35,10
34,999,0,184,24,35,10
35,999,0,184,24,35,10
36,999,0,184,24,35,10
37,999,0,184,24,35,10
38,999,0,184,24,35,10
39,999,0,184,24,35,10
40,999,0,184,24,35,10
41,999,0,184,24,35,10
42,999,0,184,24,35,10
43,999,0,184,24,35,10
44,999,0,184,24,35,10
45,999,0,184,24,35,10
46,999,0,184,24,35,10
47,999,0,184,24,35,10
48,999,0,184,24,35,10
49,999,0,184,24,35,10
50,999,0,184,24,35,10
51,999,0,184,30,35,10
52,999,0,184,30,35,10
53,999,0,184,30,35,10
54,999,0,184,30,35,10
55,999,0,184,30,35,10
56,999,0,184,30,35,10
57,999,0,184,30,35,10
58,999,0,184,30,35,10
59,999,0,184,30,35,10
60,999,0,184,30,35,10
61,999,0,184,30,35,10
62,999,0,184,30,35,10
63,999,0,184,30,35,10
64,999,0,184,30,35,10
65,999,0,184,30,35,10
66,999,0,184,30,35,10
67,999,0,184,30,35,10
68,999,0,184,30,35,10
69,999,0,184,30,35,10
70,999,0,184,30,35,10
71,999,0,184,30,35,10
72,999,0,184,30,35,10
73,999,0,184,5,35,10
74,999,0,184,5,35,10
75,999,0,184,5,35,10
76,999,0,184,5,35,10
77,999,0,184,5,35,10
78,999,0,184,5,35,10
79,999,0,184,5,35,10
80,999,0,184,5,35,10
81,999,0,184,5,35,10
82,999,0,184,5,35,10
83,999,0,184,5,35,10
84,999,0,184,5,35,10
85,999,0,184,5,35,10
86,999,0,184,0,35,10
87,999,0,184,0,35,10
88,999,0,184,0,35,10
89,999,0,184,0,35,10
90,999,0,184,0,35,10
91,999,0,184,0,35,10
92,999,0,184,20,30,10
93,999,0,184,20,30,10
94,999,0,184,20,30,10
95,999,0,184,20,30,10
96,999,0,184,20,30,10
97,999,0,184,20,30,10
98,999,0,184,20,35,10
99,999,0,184,20,35,10
100,999,0,184,20,35,10
101,999,0,184,20,35,10
102,999,0,184,20,35,10
103,999,0,184,20,35,10
104,999,0,184,20,35,10
105,999,0,184,20,35,10
106,999,0,184,20,35,10
107,999,0,184,20,35,10
108,999,0,184,20,35,10
109,999,0,184,20,35,10
110,999,0,184,20,35,10
111,999,0,184,20,35,10
112,999,0,184,20,35,10
113,999,0,184,20,35,10
114,999,0,184,20,35,10
115,999,0,184,31,5,10
116,999,0,184,35,24,10
117,999,0,184,35,24,10
118,999,0,184,35,24,10
119,999,0,184,35,24,10
120,999,0,184,35,24,10
121,999,0,184,35,24,10
122,999,0,184,35,24,10
123,999,0,184,35,24,10
124,999,0,184,35,24,10
125,999,0,184,35,24,10
126,999,0,184,35,24,10
127,999,0,184,35,24,10
128,999,0,184,35,24,10
129,999,0,184,35,24,10
130,999,0,184,30,24,10
131,999,0,184,30,24,10
132,999,0,184,30,24,10
133,999,0,184,30,24,10
134,999,0,184,30,24,10
135,999,0,184,30,24,10
136,999,0,184,30,24,10
137,999,0,184,20,5,10
138,999,0,184,20,5,10
139,999,0,184,20,5,10
140,999,0,184,20,5,10
141,999,0,184,20,5,10
142,999,0,184,24,5,10
143,999,0,184,24,5,10
144,999,0,184,24,5,10
145,999,0,184,24,5,10
146,999,0,184,24,5,10
147,999,0,184,23,35,10
148,999,0,184,23,35,10
149,999,0,184,24,30,10
150,999,0,184,24,30,10
151,999,0,184,24,30,10
152,999,0,184,24,30,10
153,999,0,184,24,30,10
154,999,0,184,1,5,10
155,999,0,184,1,5,10
156,999,0,184,1,5,10
157,999,0,184,1,5,10
158,999,0,184,1,5,10
159,999,0,184,1,5,10
160,999,0,184,6,20,10
161,999,0,184,6,20,10
162,999,0,184,6,20,10
163,999,0,184,6,20,10
164,999,0,184,6,20,10
165,999,0,184,6,20,10
166,999,0,184,1,35,10
167,999,0,184,1,35,10
168,999,0,184,1,35,10
169,999,0,184,1,35,10
170,999,0,184,1,35,10
171,999,0,184,1,35,10
172,999,0,184,6,30,10
173,999,0,184,20,24,10
174,999,0,184,20,24,10
175,999,0,184,20,24,10
176,999,0,184,20,24,10
177,999,0,184,20,24,10
178,999,0,184,20,24,10
179,999,0,184,20,24,10
180,999,0,184,20,24,10
181,999,0,184,20,24,10
182,999,0,184,20,24,10
183,999,0,184,30,5,10
184,999,0,184,30,5,10
185,999,0,184,30,5,10
186,999,0,184,30,5,10
187,999,0,184,30,5,10
188,999,0,184,35,5,10
189,999,0,184,35,5,10
190,999,0,184,35,5,10
191,999,0,184,35,5,10
192,999,0,184,35,5,10
193,999,0,184,35,5,10
194,999,0,184,35,5,10
195,999,0,184,35,5,10
196,999,0,184,25,24,10
197,999,0,184,25,24,10
198,999,0,184,25,24,10
199,999,0,184,2,35,10
200,999,0,184,2,35,10
201,999,0,184,2,35,10
202,999,0,184,2,35,10
203,999,0,184,2,35,10
204,999,0,184,2,35,10
205,999,0,184,2,35,10
206,999,0,184,2,35,10
207,999,0,184,12,35,10
208,999,0,184,12,35,10
209,999,0,184,12,35,10
210,999,0,184,12,35,10
211,999,0,184,12,35,10
212,999,0,184,12,35,10
213,999,0,184,12,35,10
214,999,0,184,12,35,10
215,999,0,184,6,35,10
216,999,0,184,6,35,10
217,999,0,184,6,35,10
218,999,0,184,6,35,10
219,999,0,184,6,35,10
220,999,0,184,6,35,10
221,999,0,184,6,35,10
