r,d
7,0
8,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
250,0
251,0
252,0
275,0
276,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
9,1
167,1
168,1
169,1
225,1
227,1
245,1
246,1
247,1
255,1
278,1
48,2
53,2
54,2
57,2
60,2
67,2
68,2
74,2
75,2
77,2
78,2
79,2
80,2
81,2
83,2
84,2
85,2
86,2
87,2
88,2
97,2
98,2
104,2
108,2
131,2
132,2
133,2
134,2
135,2
187,2
188,2
189,2
190,2
191,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
273,2
255,3
257,3
258,3
259,3
70,4
71,4
72,4
73,4
76,4
82,4
83,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
97,4
98,4
104,4
108,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
176,4
192,4
193,4
194,4
195,4
196,4
219,4
220,4
229,4
230,4
231,4
248,4
249,4
267,4
272,4
273,4
277,4
