ID,NAN,ED,LA,O,D,SL
0,999,0,61,0,29,10
1,999,0,61,1,8,10
2,999,0,61,1,29,10
3,999,0,61,1,39,10
4,999,0,61,1,45,10
5,999,0,61,1,53,10
6,999,0,61,2,18,10
7,999,0,61,2,18,10
8,999,0,61,2,18,10
9,999,0,61,2,24,10
10,999,0,61,2,24,10
11,999,0,61,4,7,10
12,999,0,61,4,29,10
13,999,0,61,4,45,10
14,999,0,61,4,62,10
15,999,0,61,5,29,10
16,999,0,61,5,52,10
17,999,0,61,5,52,10
18,999,0,61,5,52,10
19,999,0,61,6,43,10
20,999,0,61,6,57,10
21,999,0,61,6,57,10
22,999,0,61,6,57,10
23,999,0,61,7,45,10
24,999,0,61,7,45,10
25,999,0,61,8,35,10
26,999,0,61,13,1,10
27,999,0,61,13,17,10
28,999,0,61,13,24,10
29,999,0,61,15,13,10
30,999,0,61,15,20,10
31,999,0,61,15,27,10
32,999,0,61,15,27,10
33,999,0,61,15,27,10
34,999,0,61,15,39,10
35,999,0,61,15,39,10
36,999,0,61,16,20,10
37,999,0,61,16,22,10
38,999,0,61,16,24,10
39,999,0,61,16,29,10
40,999,0,61,16,36,10
41,999,0,61,16,47,10
42,999,0,61,16,64,10
43,999,0,61,19,39,10
44,999,0,61,19,47,10
45,999,0,61,19,50,10
46,999,0,61,19,50,10
47,999,0,61,19,66,10
48,999,0,61,20,18,10
49,999,0,61,20,19,10
50,999,0,61,20,21,10
51,999,0,61,20,21,10
52,999,0,61,20,24,10
53,999,0,61,20,39,10
54,999,0,61,20,43,10
55,999,0,61,20,43,10
56,999,0,61,21,20,10
57,999,0,61,21,58,10
58,999,0,61,22,29,10
59,999,0,61,22,45,10
60,999,0,61,22,45,10
61,999,0,61,22,48,10
62,999,0,61,22,48,10
63,999,0,61,22,48,10
64,999,0,61,22,62,10
65,999,0,61,23,13,10
66,999,0,61,23,13,10
67,999,0,61,24,1,10
68,999,0,61,25,1,10
69,999,0,61,25,1,10
70,999,0,61,25,5,10
71,999,0,61,25,5,10
72,999,0,61,25,5,10
73,999,0,61,25,5,10
74,999,0,61,25,18,10
75,999,0,61,25,45,10
76,999,0,61,25,45,10
77,999,0,61,26,19,10
78,999,0,61,26,19,10
79,999,0,61,26,39,10
80,999,0,61,26,41,10
81,999,0,61,26,45,10
82,999,0,61,26,66,10
83,999,0,61,26,66,10
84,999,0,61,26,66,10
85,999,0,61,28,20,10
86,999,0,61,28,20,10
87,999,0,61,28,24,10
88,999,0,61,28,24,10
89,999,0,61,28,24,10
90,999,0,61,28,24,10
91,999,0,61,29,52,10
92,999,0,61,29,58,10
93,999,0,61,29,58,10
94,999,0,61,29,58,10
95,999,0,61,29,58,10
96,999,0,61,29,58,10
97,999,0,61,29,58,10
98,999,0,61,30,39,10
99,999,0,61,31,29,10
100,999,0,61,32,1,10
101,999,0,61,32,29,10
102,999,0,61,32,62,10
103,999,0,61,32,65,10
104,999,0,61,33,8,10
105,999,0,61,33,32,10
106,999,0,61,33,34,10
107,999,0,61,33,38,10
108,999,0,61,33,39,10
109,999,0,61,33,41,10
110,999,0,61,33,63,10
111,999,0,61,34,24,10
112,999,0,61,35,36,10
113,999,0,61,36,17,10
114,999,0,61,37,26,10
115,999,0,61,37,45,10
116,999,0,61,39,1,10
117,999,0,61,39,8,10
118,999,0,61,39,16,10
119,999,0,61,40,0,10
120,999,0,61,41,32,10
121,999,0,61,41,39,10
122,999,0,61,41,39,10
123,999,0,61,42,1,10
124,999,0,61,42,39,10
125,999,0,61,43,29,10
126,999,0,61,43,39,10
127,999,0,61,44,47,10
128,999,0,61,44,47,10
129,999,0,61,44,47,10
130,999,0,61,44,62,10
131,999,0,61,46,1,10
132,999,0,61,46,1,10
133,999,0,61,46,1,10
134,999,0,61,46,20,10
135,999,0,61,46,20,10
136,999,0,61,48,45,10
137,999,0,61,48,45,10
138,999,0,61,49,0,10
139,999,0,61,49,6,10
140,999,0,61,49,39,10
141,999,0,61,49,52,10
142,999,0,61,50,29,10
143,999,0,61,50,53,10
144,999,0,61,50,65,10
145,999,0,61,51,36,10
146,999,0,61,51,36,10
147,999,0,61,52,17,10
148,999,0,61,52,17,10
149,999,0,61,52,18,10
150,999,0,61,52,21,10
151,999,0,61,52,21,10
152,999,0,61,52,21,10
153,999,0,61,52,21,10
154,999,0,61,52,21,10
155,999,0,61,52,21,10
156,999,0,61,52,53,10
157,999,0,61,53,16,10
158,999,0,61,53,16,10
159,999,0,61,53,16,10
160,999,0,61,53,16,10
161,999,0,61,53,18,10
162,999,0,61,53,18,10
163,999,0,61,53,36,10
164,999,0,61,53,39,10
165,999,0,61,53,45,10
166,999,0,61,53,52,10
167,999,0,61,57,27,10
168,999,0,61,62,1,10
169,999,0,61,63,5,10
170,999,0,61,64,39,10
171,999,0,61,65,32,10
172,999,0,61,66,16,10
173,999,0,61,66,17,10
174,999,0,61,66,17,10
175,999,0,61,66,20,10
176,999,0,61,66,20,10
177,999,0,61,66,45,10
178,999,0,61,67,18,10
179,999,0,61,67,18,10
180,999,0,61,67,18,10
181,999,0,61,67,18,10
182,999,0,61,67,18,10
183,999,0,61,67,18,10
184,999,0,61,67,18,10
185,999,0,61,67,18,10
186,999,0,61,67,18,10
187,999,0,61,67,18,10
188,999,0,61,67,18,10
189,999,0,61,67,18,10
190,999,0,61,68,52,10
191,999,0,61,68,52,10
192,999,0,61,68,52,10
