r,d
2,0
3,0
4,0
5,0
8,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
275,0
276,0
0,1
1,1
6,1
7,1
9,1
167,1
168,1
169,1
225,1
227,1
245,1
246,1
247,1
255,1
278,1
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
86,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
131,2
132,2
133,2
134,2
135,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
248,2
249,2
267,2
272,2
273,2
250,3
251,3
252,3
255,3
257,3
258,3
259,3
