r,d
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
255,0
257,0
258,0
278,0
167,1
168,1
169,1
225,1
227,1
250,1
251,1
252,1
259,1
276,1
48,2
52,2
54,2
55,2
57,2
60,2
61,2
62,2
63,2
68,2
70,2
73,2
74,2
75,2
77,2
78,2
79,2
81,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
131,2
132,2
133,2
134,2
135,2
187,2
189,2
191,2
192,2
193,2
194,2
195,2
196,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
267,2
272,2
48,3
49,3
51,3
52,3
54,3
56,3
57,3
60,3
61,3
63,3
68,3
71,3
72,3
76,3
80,3
82,3
94,3
131,3
188,3
190,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
224,3
248,3
249,3
273,3
1,4
2,4
3,4
4,4
5,4
6,4
177,4
178,4
179,4
180,4
181,4
182,4
183,4
184,4
185,4
186,4
275,4
0,5
7,5
8,5
9,5
221,5
222,5
223,5
245,7
246,7
247,7
