r,d
0,0
2,0
4,0
6,0
7,0
8,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
275,0
1,1
3,1
5,1
9,1
167,1
169,1
225,1
227,1
255,1
278,1
48,2
50,2
54,2
55,2
56,2
58,2
62,2
64,2
67,2
69,2
71,2
74,2
77,2
78,2
81,2
82,2
85,2
96,2
99,2
101,2
102,2
103,2
104,2
105,2
107,2
108,2
109,2
110,2
131,2
132,2
133,2
134,2
135,2
187,2
188,2
189,2
190,2
191,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
51,3
52,3
53,3
76,3
83,3
84,3
85,3
86,3
87,3
88,3
95,3
97,3
98,3
100,3
106,3
111,3
114,3
117,3
120,3
123,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
224,3
232,3
233,3
273,3
156,4
157,4
158,4
159,4
160,4
178,4
250,4
251,4
252,4
255,4
114,5
117,5
120,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
221,5
222,5
223,5
232,5
233,5
70,6
73,6
75,6
79,6
80,6
89,6
90,6
91,6
92,6
93,6
94,6
96,6
99,6
101,6
102,6
103,6
104,6
105,6
107,6
108,6
109,6
110,6
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,6
139,6
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
192,6
193,6
194,6
195,6
196,6
248,6
249,6
272,6
277,6
49,7
57,7
59,7
60,7
61,7
63,7
65,7
66,7
68,7
72,7
114,7
117,7
120,7
123,7
124,7
125,7
126,7
127,7
128,7
129,7
130,7
156,7
157,7
158,7
159,7
160,7
168,7
176,7
219,7
220,7
221,7
222,7
223,7
229,7
230,7
231,7
232,7
233,7
240,7
241,7
242,7
243,7
267,7
274,7
245,8
246,8
257,8
258,8
259,8
276,8
247,9
