ID,NAN,ED,LA,O,D,SL
0,999,0,184,11,1,10
1,999,0,184,11,1,10
2,999,0,184,11,1,10
3,999,0,184,11,1,10
4,999,0,184,11,11,10
5,999,0,184,11,4,10
6,999,0,184,11,4,10
7,999,0,184,11,5,10
8,999,0,184,1,4,10
9,999,0,184,1,4,10
10,999,0,184,1,15,10
11,999,0,184,1,5,10
12,999,0,184,1,15,10
13,999,0,184,1,30,10
14,999,0,184,1,30,10
15,999,0,184,1,30,10
16,999,0,184,1,5,10
17,999,0,184,1,10,10
18,999,0,184,11,20,10
19,999,0,184,11,20,10
20,999,0,184,11,20,10
21,999,0,184,11,20,10
22,999,0,184,11,20,10
23,999,0,184,11,20,10
24,999,0,184,11,18,10
25,999,0,184,11,13,10
26,999,0,184,11,13,10
27,999,0,184,11,20,10
28,999,0,184,11,13,10
29,999,0,184,11,13,10
30,999,0,184,11,13,10
31,999,0,184,11,13,10
32,999,0,184,11,13,10
33,999,0,184,11,28,10
34,999,0,184,25,13,10
35,999,0,184,25,30,10
36,999,0,184,25,30,10
37,999,0,184,25,30,10
38,999,0,184,25,30,10
39,999,0,184,25,30,10
40,999,0,184,25,23,10
41,999,0,184,25,14,10
42,999,0,184,25,16,10
43,999,0,184,8,29,10
44,999,0,184,8,29,10
45,999,0,184,8,29,10
46,999,0,184,8,29,10
47,999,0,184,8,29,10
48,999,0,184,8,23,10
49,999,0,184,8,23,10
50,999,0,184,8,23,10
51,999,0,184,8,23,10
52,999,0,184,3,5,10
53,999,0,184,3,5,10
54,999,0,184,3,22,10
55,999,0,184,3,22,10
56,999,0,184,3,22,10
57,999,0,184,3,22,10
58,999,0,184,3,22,10
59,999,0,184,3,22,10
60,999,0,184,3,22,10
61,999,0,184,3,22,10
62,999,0,184,3,22,10
63,999,0,184,3,22,10
64,999,0,184,28,30,10
65,999,0,184,28,30,10
66,999,0,184,28,30,10
67,999,0,184,28,30,10
68,999,0,184,28,30,10
69,999,0,184,28,30,10
70,999,0,184,28,30,10
71,999,0,184,28,30,10
72,999,0,184,28,30,10
73,999,0,184,28,30,10
74,999,0,184,4,15,10
75,999,0,184,4,30,10
76,999,0,184,4,30,10
77,999,0,184,4,5,10
78,999,0,184,4,7,10
79,999,0,184,4,7,10
80,999,0,184,4,7,10
81,999,0,184,4,7,10
82,999,0,184,4,7,10
83,999,0,184,4,7,10
84,999,0,184,4,7,10
85,999,0,184,4,7,10
86,999,0,184,4,7,10
87,999,0,184,4,7,10
88,999,0,184,1,9,10
89,999,0,184,1,13,10
90,999,0,184,1,13,10
91,999,0,184,1,13,10
92,999,0,184,1,13,10
93,999,0,184,1,13,10
94,999,0,184,1,13,10
95,999,0,184,1,2,10
96,999,0,184,1,2,10
97,999,0,184,1,2,10
98,999,0,184,1,2,10
99,999,0,184,1,2,10
100,999,0,184,1,2,10
101,999,0,184,1,2,10
102,999,0,184,1,2,10
103,999,0,184,1,2,10
104,999,0,184,1,2,10
105,999,0,184,1,2,10
106,999,0,184,1,2,10
107,999,0,184,1,2,10
108,999,0,184,1,2,10
109,999,0,184,6,1,10
110,999,0,184,6,1,10
111,999,0,184,6,1,10
112,999,0,184,6,13,10
113,999,0,184,6,10,10
114,999,0,184,6,10,10
115,999,0,184,6,10,10
116,999,0,184,6,15,10
117,999,0,184,15,1,10
118,999,0,184,15,1,10
119,999,0,184,15,1,10
120,999,0,184,15,1,10
121,999,0,184,15,1,10
122,999,0,184,15,1,10
123,999,0,184,15,1,10
124,999,0,184,15,1,10
125,999,0,184,15,30,10
126,999,0,184,15,30,10
127,999,0,184,15,30,10
128,999,0,184,15,30,10
129,999,0,184,15,30,10
130,999,0,184,15,30,10
131,999,0,184,15,30,10
132,999,0,184,15,30,10
133,999,0,184,15,30,10
134,999,0,184,15,30,10
135,999,0,184,15,30,10
136,999,0,184,15,5,10
137,999,0,184,15,5,10
138,999,0,184,26,4,10
139,999,0,184,26,20,10
140,999,0,184,26,20,10
141,999,0,184,26,18,10
142,999,0,184,26,20,10
143,999,0,184,26,20,10
144,999,0,184,26,9,10
145,999,0,184,26,9,10
146,999,0,184,26,9,10
147,999,0,184,26,9,10
148,999,0,184,26,9,10
149,999,0,184,26,9,10
150,999,0,184,26,9,10
