t1,t2,s1,s2,n1,n2
0,4.0,20,31.0,20,187.0
4,16.0,31,0.0,187,624.0
16,24.0,0,25.0,624,961.0
24,30.0,25,6.0,961,1176.0
30,34.0,6,23.0,1176,1349.0
34,38.0,23,6.0,1349,1488.0
38,44.0,6,25.0,1488,1741.0
44,52.0,25,0.0,1741,2028.0
52,64.0,0,31.0,2028,2527.0
64,68.0,31,20.0,2527,2672.0
68,72.0,20,31.0,2672,2839.0
72,84.0,31,0.0,2839,3276.0
84,92.0,0,25.0,3276,3613.0
92,98.0,25,6.0,3613,3828.0
98,102.0,6,23.0,3828,4001.0
102,106.0,23,6.0,4001,4140.0
106,112.0,6,25.0,4140,4393.0
112,120.0,25,0.0,4393,4680.0
120,132.0,0,31.0,4680,5179.0
132,136.0,31,20.0,5179,5324.0
