r,d,t1,t2,s1,s2,n1,n2
5,3,11,17,13,28,431,674
5,3,17,22,28,36,674,872
5,3,22,25,36,26,872,976
5,5,25,26,26,26,976,1014
5,0,26,29,26,24,1014,1126
5,0,29,32,24,18,1126,1234
6,3,11,17,13,28,431,674
6,3,17,22,28,36,674,872
6,3,22,25,36,26,872,976
6,5,25,26,26,26,976,1014
6,0,26,29,26,24,1014,1126
6,0,29,32,24,18,1126,1234
7,3,39,46,13,32,1495,1780
7,3,46,50,32,23,1780,1923
8,3,39,46,13,32,1495,1780
12,2,55,58,14,15,2104,2219
12,2,58,60,15,25,2219,2305
12,2,60,62,25,18,2305,2374
13,2,55,58,14,15,2104,2219
13,2,58,60,15,25,2219,2305
13,2,60,62,25,18,2305,2374
14,4,15,20,14,37,584,797
14,4,20,23,37,19,797,893
14,4,23,28,19,21,893,1085
14,4,28,32,21,12,1085,1228
15,4,15,20,14,37,584,797
15,4,20,23,37,19,797,893
15,4,23,28,19,21,893,1085
15,5,28,29,21,21,1085,1123
15,5,29,30,21,21,1123,1161
15,5,30,31,21,21,1161,1199
15,5,31,32,21,21,1199,1237
15,5,32,33,21,21,1237,1275
15,5,33,34,21,21,1275,1313
15,2,34,38,21,22,1313,1466
16,0,17,22,14,27,660,863
130,4,12,15,15,14,471,584
130,4,15,20,14,37,584,797
130,4,20,23,37,19,797,893
130,4,23,28,19,21,893,1085
130,4,28,32,21,12,1085,1228
130,4,32,36,12,33,1228,1401
157,2,15,18,16,35,586,719
157,2,18,22,35,33,719,869
157,2,22,25,33,34,869,984
157,2,25,30,34,20,984,1160
157,2,30,34,20,21,1160,1313
157,2,34,38,21,22,1313,1466
158,2,15,18,16,35,586,719
158,2,18,22,35,33,719,869
158,2,22,25,33,34,869,984
158,2,25,30,34,20,984,1160
158,2,30,34,20,21,1160,1313
158,2,34,38,21,22,1313,1466
192,4,8,10,18,25,322,405
192,4,10,12,25,15,405,471
192,4,12,15,15,14,471,584
192,5,15,16,14,14,584,622
192,5,16,17,14,14,622,660
192,0,17,22,14,27,660,863
249,4,32,36,12,33,1228,1401
249,4,36,40,33,11,1401,1531
249,4,40,44,11,31,1531,1703
249,4,44,51,31,32,1703,1970
250,4,32,36,12,33,1228,1401
250,4,36,40,33,11,1401,1531
250,4,40,44,11,31,1531,1703
250,4,44,51,31,32,1703,1970
251,4,32,36,12,33,1228,1401
251,4,36,40,33,11,1401,1531
251,4,40,44,11,31,1531,1703
251,4,44,51,31,32,1703,1970
256,4,28,32,21,12,1085,1228
256,4,32,36,12,33,1228,1401
256,4,36,40,33,11,1401,1531
257,4,28,32,21,12,1085,1228
257,4,32,36,12,33,1228,1401
257,4,36,40,33,11,1401,1531
258,4,28,32,21,12,1085,1228
258,4,32,36,12,33,1228,1401
258,4,36,40,33,11,1401,1531
265,4,28,32,21,12,1085,1228
265,4,32,36,12,33,1228,1401
265,4,36,40,33,11,1401,1531
265,4,40,44,11,31,1531,1703
265,4,44,51,31,32,1703,1970
266,4,28,32,21,12,1085,1228
266,4,32,36,12,33,1228,1401
266,4,36,40,33,11,1401,1531
266,4,40,44,11,31,1531,1703
266,4,44,51,31,32,1703,1970
267,4,28,32,21,12,1085,1228
267,4,32,36,12,33,1228,1401
267,4,36,40,33,11,1401,1531
267,4,40,44,11,31,1531,1703
267,4,44,51,31,32,1703,1970
268,4,28,32,21,12,1085,1228
268,4,32,36,12,33,1228,1401
268,4,36,40,33,11,1401,1531
268,4,40,44,11,31,1531,1703
268,4,44,51,31,32,1703,1970
269,4,28,32,21,12,1085,1228
269,4,32,36,12,33,1228,1401
269,4,36,40,33,11,1401,1531
269,4,40,44,11,31,1531,1703
269,4,44,51,31,32,1703,1970
599,2,4,9,23,31,175,373
602,4,10,12,25,15,405,471
602,4,12,15,15,14,471,584
602,5,15,16,14,14,584,622
602,5,16,17,14,14,622,660
602,0,17,22,14,27,660,863
603,4,10,12,25,15,405,471
603,4,12,15,15,14,471,584
603,5,15,16,14,14,584,622
603,5,16,17,14,14,622,660
603,0,17,22,14,27,660,863
628,4,40,44,11,31,1531,1703
628,4,44,51,31,32,1703,1970
628,4,51,55,32,23,1970,2113
633,0,22,26,27,26,863,1014
633,0,26,29,26,24,1014,1126
633,0,29,32,24,18,1126,1234
652,4,4,8,29,18,181,322
652,4,8,10,18,25,322,405
652,4,10,12,25,15,405,471
652,4,12,15,15,14,471,584
652,4,15,20,14,37,584,797
652,4,20,23,37,19,797,893
652,4,23,28,19,21,893,1085
652,5,28,29,21,21,1085,1123
652,5,29,30,21,21,1123,1161
652,5,30,31,21,21,1161,1199
652,5,31,32,21,21,1199,1237
652,5,32,33,21,21,1237,1275
652,5,33,34,21,21,1275,1313
652,2,34,38,21,22,1313,1466
653,4,4,8,29,18,181,322
653,4,8,10,18,25,322,405
653,4,10,12,25,15,405,471
653,4,12,15,15,14,471,584
653,4,15,20,14,37,584,797
653,4,20,23,37,19,797,893
653,4,23,28,19,21,893,1085
653,5,28,29,21,21,1085,1123
653,5,29,30,21,21,1123,1161
653,5,30,31,21,21,1161,1199
653,5,31,32,21,21,1199,1237
653,5,32,33,21,21,1237,1275
653,5,33,34,21,21,1275,1313
653,2,34,38,21,22,1313,1466
654,4,4,8,29,18,181,322
654,4,8,10,18,25,322,405
654,4,10,12,25,15,405,471
654,4,12,15,15,14,471,584
654,4,15,20,14,37,584,797
654,4,20,23,37,19,797,893
654,4,23,28,19,21,893,1085
654,5,28,29,21,21,1085,1123
654,5,29,30,21,21,1123,1161
654,5,30,31,21,21,1161,1199
654,5,31,32,21,21,1199,1237
654,5,32,33,21,21,1237,1275
654,5,33,34,21,21,1275,1313
654,2,34,38,21,22,1313,1466
655,4,4,8,29,18,181,322
655,4,8,10,18,25,322,405
655,4,10,12,25,15,405,471
655,4,12,15,15,14,471,584
655,4,15,20,14,37,584,797
655,4,20,23,37,19,797,893
655,4,23,28,19,21,893,1085
655,5,28,29,21,21,1085,1123
655,5,29,30,21,21,1123,1161
655,5,30,31,21,21,1161,1199
655,5,31,32,21,21,1199,1237
655,5,32,33,21,21,1237,1275
655,5,33,34,21,21,1275,1313
655,2,34,38,21,22,1313,1466
656,4,4,8,29,18,181,322
656,4,8,10,18,25,322,405
656,4,10,12,25,15,405,471
656,4,12,15,15,14,471,584
656,4,15,20,14,37,584,797
656,4,20,23,37,19,797,893
656,4,23,28,19,21,893,1085
656,5,28,29,21,21,1085,1123
656,5,29,30,21,21,1123,1161
656,5,30,31,21,21,1161,1199
656,5,31,32,21,21,1199,1237
656,5,32,33,21,21,1237,1275
656,5,33,34,21,21,1275,1313
656,2,34,38,21,22,1313,1466
657,4,4,8,29,18,181,322
657,4,8,10,18,25,322,405
657,4,10,12,25,15,405,471
657,4,12,15,15,14,471,584
657,4,15,20,14,37,584,797
657,4,20,23,37,19,797,893
657,4,23,28,19,21,893,1085
657,5,28,29,21,21,1085,1123
657,5,29,30,21,21,1123,1161
657,5,30,31,21,21,1161,1199
