t1,t2,s1,s2,n1,n2
0,4,23,29,23,181
4,8,29,18,181,322
8,10,18,25,322,405
10,12,25,15,405,471
12,15,15,14,471,584
15,20,14,37,584,797
20,23,37,19,797,893
23,28,19,21,893,1085
28,32,21,12,1085,1228
32,36,12,33,1228,1401
36,40,33,11,1401,1531
40,44,11,31,1531,1703
44,51,31,32,1703,1970
51,55,32,23,1970,2113
55,59,23,29,2113,2271
59,63,29,18,2271,2412
63,65,18,25,2412,2495
65,67,25,15,2495,2561
67,70,15,14,2561,2674
70,75,14,37,2674,2887
75,78,37,19,2887,2983
78,83,19,21,2983,3175
83,87,21,12,3175,3318
87,91,12,33,3318,3491
91,95,33,11,3491,3621
95,99,11,31,3621,3793
99,106,31,32,3793,4060
106,110,32,23,4060,4203
110,114,23,29,4203,4361
114,118,29,18,4361,4502
118,120,18,25,4502,4585
120,122,25,15,4585,4651
122,125,15,14,4651,4764
125,130,14,37,4764,4977
130,133,37,19,4977,5073
133,138,19,21,5073,5265
138,142,21,12,5265,5408
142,146,12,33,5408,5581
146,150,33,11,5581,5711
150,154,11,31,5711,5883
154,161,31,32,5883,6150
161,165,32,23,6150,6293
