t1,t2,s1,s2,n1,n2
0.0,4.0,53,29,53.0,305.0
4.0,8.0,29,49,305.0,601.0
8.0,12.0,49,8,601.0,836.0
12.0,14.0,8,31,836.0,997.0
14.0,16.0,31,4,997.0,1108.0
16.0,19.0,4,1,1108.0,1312.0
19.0,24.0,1,66,1312.0,1722.0
24.0,27.0,66,12,1722.0,1875.0
27.0,32.0,12,16,1875.0,2224.0
32.0,36.0,16,13,2224.0,2497.0
36.0,40.0,13,62,2497.0,2822.0
40.0,44.0,62,36,2822.0,3072.0
44.0,48.0,36,52,3072.0,3364.0
48.0,55.0,52,53,3364.0,3848.0
55.0,59.0,53,29,3848.0,4100.0
59.0,63.0,29,49,4100.0,4396.0
63.0,67.0,49,8,4396.0,4631.0
67.0,69.0,8,31,4631.0,4792.0
69.0,71.0,31,4,4792.0,4903.0
71.0,74.0,4,1,4903.0,5107.0
74.0,79.0,1,66,5107.0,5517.0
79.0,82.0,66,12,5517.0,5670.0
82.0,87.0,12,16,5670.0,6019.0
87.0,91.0,16,13,6019.0,6292.0
91.0,95.0,13,62,6292.0,6617.0
95.0,99.0,62,36,6617.0,6867.0
99.0,103.0,36,52,6867.0,7159.0
103.0,110.0,52,53,7159.0,7643.0
110.0,114.0,53,29,7643.0,7895.0
114.0,118.0,29,49,7895.0,8191.0
118.0,122.0,49,8,8191.0,8426.0
122.0,124.0,8,31,8426.0,8587.0
124.0,126.0,31,4,8587.0,8698.0
126.0,129.0,4,1,8698.0,8902.0
129.0,134.0,1,66,8902.0,9312.0
134.0,137.0,66,12,9312.0,9465.0
137.0,142.0,12,16,9465.0,9814.0
142.0,146.0,16,13,9814.0,10087.0
146.0,150.0,13,62,10087.0,10412.0
150.0,154.0,62,36,10412.0,10662.0
154.0,158.0,36,52,10662.0,10954.0
158.0,165.0,52,53,10954.0,11438.0
