r,d
1,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
161,0
232,0
240,0
241,0
242,0
243,0
244,0
264,0
0,1
2,1
3,1
10,1
11,1
12,1
13,1
162,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
266,1
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
92,2
93,2
94,2
95,2
137,2
138,2
139,2
140,2
141,2
160,2
163,2
164,2
165,2
172,2
183,2
184,2
185,2
186,2
187,2
216,2
218,2
220,2
237,2
238,2
239,2
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
96,4
97,4
99,4
101,4
102,4
104,4
105,4
108,4
110,4
112,4
113,4
114,4
245,4
246,4
257,4
Matching Rate: 0.40823970037453183
