r,d,t1,t2,s1,s2,n1,n2
0,1,17,22,1,24,664,882
1,0,17,22,1,24,664,882
2,1,17,22,1,24,664,882
3,1,17,22,1,24,664,882
4,0,17,22,1,24,664,882
5,0,17,22,1,24,664,882
6,0,17,22,1,24,664,882
7,0,17,22,1,24,664,882
8,0,17,22,1,24,664,882
9,0,17,22,1,24,664,882
10,0,4,8,6,23,162,335
10,0,8,13,23,4,335,511
10,1,13,17,4,1,511,664
10,0,17,22,1,24,664,882
11,0,4,8,6,23,162,335
11,0,8,13,23,4,335,511
11,1,13,17,4,1,511,664
11,0,17,22,1,24,664,882
12,0,4,8,6,23,162,335
12,0,8,13,23,4,335,511
12,1,13,17,4,1,511,664
12,0,17,22,1,24,664,882
13,0,4,8,6,23,162,335
13,0,8,13,23,4,335,511
13,1,13,17,4,1,511,664
13,0,17,22,1,24,664,882
51,4,21,28,30,35,849,1127
52,4,21,28,30,35,849,1127
53,4,21,28,30,35,849,1127
54,4,6,13,30,35,264,542
55,4,21,28,30,35,849,1127
56,4,6,13,30,35,264,542
57,4,6,13,30,35,264,542
58,4,21,28,30,35,849,1127
59,4,21,28,30,35,849,1127
60,4,6,13,30,35,264,542
61,4,6,13,30,35,264,542
62,4,6,13,30,35,264,542
63,4,21,28,30,35,849,1127
64,4,21,28,30,35,849,1127
65,4,21,28,30,35,849,1127
66,4,21,28,30,35,849,1127
67,4,21,28,30,35,849,1127
68,4,21,28,30,35,849,1127
69,4,21,28,30,35,849,1127
70,4,21,28,30,35,849,1127
71,4,21,28,30,35,849,1127
72,4,21,28,30,35,849,1127
73,2,16,23,5,35,629,932
74,2,16,23,5,35,629,932
75,2,16,23,5,35,629,932
76,2,16,23,5,35,629,932
77,2,16,23,5,35,629,932
78,2,16,23,5,35,629,932
79,2,16,23,5,35,629,932
80,2,16,23,5,35,629,932
81,2,16,23,5,35,629,932
82,2,16,23,5,35,629,932
83,2,16,23,5,35,629,932
84,2,16,23,5,35,629,932
85,2,16,23,5,35,629,932
92,2,4,9,20,30,176,381
93,2,4,9,20,30,176,381
94,2,4,9,20,30,176,381
95,2,4,9,20,30,176,381
96,4,0,5,20,30,20,225
97,4,0,5,20,30,20,225
99,4,0,5,20,30,20,225
99,5,5,6,30,30,225,264
99,4,6,13,30,35,264,542
101,4,0,5,20,30,20,225
101,5,5,6,30,30,225,264
101,4,6,13,30,35,264,542
102,4,0,5,20,30,20,225
102,5,5,6,30,30,225,264
102,4,6,13,30,35,264,542
104,4,0,5,20,30,20,225
104,5,5,6,30,30,225,264
104,4,6,13,30,35,264,542
105,4,0,5,20,30,20,225
105,5,5,6,30,30,225,264
105,4,6,13,30,35,264,542
108,4,0,5,20,30,20,225
108,5,5,6,30,30,225,264
108,4,6,13,30,35,264,542
