t1,t2,s1,s2,n1,n2
0,5.0,20,30.0,20,225.0
5,6.0,30,30.0,225,264.0
6,13.0,30,35.0,264,542.0
13,14.0,35,35.0,542,581.0
14,21.0,35,30.0,581,849.0
21,28.0,30,35.0,849,1127.0
28,35.0,35,30.0,1127,1395.0
35,40.0,30,20.0,1395,1580.0
40,45.0,20,30.0,1580,1785.0
45,46.0,30,30.0,1785,1824.0
46,53.0,30,35.0,1824,2102.0
53,54.0,35,35.0,2102,2141.0
54,61.0,35,30.0,2141,2409.0
61,68.0,30,35.0,2409,2687.0
68,75.0,35,30.0,2687,2955.0
75,80.0,30,20.0,2955,3140.0
80,85.0,20,30.0,3140,3345.0
85,86.0,30,30.0,3345,3384.0
86,93.0,30,35.0,3384,3662.0
93,94.0,35,35.0,3662,3701.0
94,101.0,35,30.0,3701,3969.0
101,108.0,30,35.0,3969,4247.0
108,115.0,35,30.0,4247,4515.0
115,120.0,30,20.0,4515,4700.0
120,125.0,20,30.0,4700,4905.0
125,126.0,30,30.0,4905,4944.0
126,133.0,30,35.0,4944,5222.0
133,134.0,35,35.0,5222,5261.0
134,141.0,35,30.0,5261,5529.0
141,148.0,30,35.0,5529,5807.0
148,155.0,35,30.0,5807,6075.0
155,160.0,30,20.0,6075,6260.0
