t1,t2,s1,s2,n1,n2
0.0,3.0,62,63,62.0,270.0
3.0,6.0,63,62,270.0,476.0
6.0,12.0,62,52,476.0,880.0
12.0,17.0,52,29,880.0,1202.0
17.0,22.0,29,52,1202.0,1570.0
22.0,28.0,52,62,1570.0,1994.0
28.0,31.0,62,63,1994.0,2202.0
31.0,34.0,63,62,2202.0,2408.0
34.0,40.0,62,52,2408.0,2812.0
40.0,45.0,52,29,2812.0,3134.0
45.0,50.0,29,52,3134.0,3502.0
50.0,56.0,52,62,3502.0,3926.0
56.0,59.0,62,63,3926.0,4134.0
59.0,62.0,63,62,4134.0,4340.0
62.0,68.0,62,52,4340.0,4744.0
68.0,73.0,52,29,4744.0,5066.0
73.0,78.0,29,52,5066.0,5434.0
78.0,84.0,52,62,5434.0,5858.0
84.0,87.0,62,63,5858.0,6066.0
87.0,90.0,63,62,6066.0,6272.0
90.0,96.0,62,52,6272.0,6676.0
96.0,101.0,52,29,6676.0,6998.0
101.0,106.0,29,52,6998.0,7366.0
106.0,112.0,52,62,7366.0,7790.0
112.0,115.0,62,63,7790.0,7998.0
115.0,118.0,63,62,7998.0,8204.0
118.0,124.0,62,52,8204.0,8608.0
124.0,129.0,52,29,8608.0,8930.0
129.0,134.0,29,52,8930.0,9298.0
134.0,140.0,52,62,9298.0,9722.0
140.0,143.0,62,63,9722.0,9930.0
143.0,146.0,63,62,9930.0,10136.0
146.0,152.0,62,52,10136.0,10540.0
152.0,157.0,52,29,10540.0,10862.0
157.0,162.0,29,52,10862.0,11230.0
162.0,168.0,52,62,11230.0,11654.0
