t1,t2,s1,s2,n1,n2
0,6.0,20,21.0,20,255.0
6,9.0,21,1.0,255,352.0
9,14.0,1,24.0,352,570.0
14,20.0,24,28.0,570,808.0
20,25.0,28,3.0,808,978.0
25,28.0,3,23.0,978,1115.0
28,33.0,23,4.0,1115,1291.0
33,40.0,4,20.0,1291,1580.0
40,46.0,20,21.0,1580,1815.0
46,49.0,21,1.0,1815,1912.0
49,54.0,1,24.0,1912,2130.0
54,60.0,24,28.0,2130,2368.0
60,65.0,28,3.0,2368,2538.0
65,68.0,3,23.0,2538,2675.0
68,73.0,23,4.0,2675,2851.0
73,80.0,4,20.0,2851,3140.0
80,86.0,20,21.0,3140,3375.0
86,89.0,21,1.0,3375,3472.0
89,94.0,1,24.0,3472,3690.0
94,100.0,24,28.0,3690,3928.0
100,105.0,28,3.0,3928,4098.0
105,108.0,3,23.0,4098,4235.0
108,113.0,23,4.0,4235,4411.0
113,120.0,4,20.0,4411,4700.0
120,126.0,20,21.0,4700,4935.0
126,129.0,21,1.0,4935,5032.0
129,134.0,1,24.0,5032,5250.0
134,140.0,24,28.0,5250,5488.0
140,145.0,28,3.0,5488,5658.0
145,148.0,3,23.0,5658,5795.0
148,153.0,23,4.0,5795,5971.0
153,160.0,4,20.0,5971,6260.0
