r,d,t1,t2,s1,s2,n1,n2
0,0,17,22,1,24,664,882
1,1,17,22,1,24,664,882
2,1,17,22,1,24,664,882
3,1,17,22,1,24,664,882
4,0,17,22,1,24,664,882
5,0,17,22,1,24,664,882
6,0,17,22,1,24,664,882
7,0,17,22,1,24,664,882
8,0,17,22,1,24,664,882
9,0,17,22,1,24,664,882
10,0,4,8,6,23,162,335
10,0,8,13,23,4,335,511
10,0,13,17,4,1,511,664
10,0,17,22,1,24,664,882
11,0,4,8,6,23,162,335
11,0,8,13,23,4,335,511
11,0,13,17,4,1,511,664
11,0,17,22,1,24,664,882
12,0,4,8,6,23,162,335
12,0,8,13,23,4,335,511
12,0,13,17,4,1,511,664
12,0,17,22,1,24,664,882
13,0,4,8,6,23,162,335
13,0,8,13,23,4,335,511
13,0,13,17,4,1,511,664
13,0,17,22,1,24,664,882
51,4,6,13,30,35,264,542
52,4,6,13,30,35,264,542
53,4,6,13,30,35,264,542
54,4,6,13,30,35,264,542
55,4,21,28,30,35,849,1127
56,4,6,13,30,35,264,542
57,4,21,28,30,35,849,1127
58,4,21,28,30,35,849,1127
59,4,6,13,30,35,264,542
60,4,6,13,30,35,264,542
61,4,6,13,30,35,264,542
62,4,6,13,30,35,264,542
63,4,21,28,30,35,849,1127
64,4,21,28,30,35,849,1127
65,4,21,28,30,35,849,1127
66,4,6,13,30,35,264,542
67,4,21,28,30,35,849,1127
68,4,21,28,30,35,849,1127
69,4,6,13,30,35,264,542
70,5,6,13,30,35,264,542
71,4,21,28,30,35,849,1127
72,5,6,13,30,35,264,542
73,2,16,23,5,35,629,932
74,2,16,23,5,35,629,932
75,2,16,23,5,35,629,932
76,2,16,23,5,35,629,932
77,2,16,23,5,35,629,932
78,2,16,23,5,35,629,932
79,2,16,23,5,35,629,932
80,2,16,23,5,35,629,932
81,2,16,23,5,35,629,932
82,2,16,23,5,35,629,932
83,2,16,23,5,35,629,932
84,2,16,23,5,35,629,932
85,2,16,23,5,35,629,932
92,5,0,5,20,30,20,225
93,5,0,5,20,30,20,225
94,5,0,5,20,30,20,225
95,5,0,5,20,30,20,225
96,5,0,5,20,30,20,225
97,5,0,5,20,30,20,225
98,5,0,5,20,30,20,225
98,6,5,6,30,30,225,264
98,5,6,13,30,35,264,542
99,5,0,5,20,30,20,225
99,6,5,6,30,30,225,264
99,5,6,13,30,35,264,542
100,5,0,5,20,30,20,225
100,6,5,6,30,30,225,264
100,5,6,13,30,35,264,542
101,5,0,5,20,30,20,225
101,6,5,6,30,30,225,264
101,5,6,13,30,35,264,542
102,4,0,5,20,30,20,225
102,6,5,6,30,30,225,264
102,5,6,13,30,35,264,542
103,4,0,5,20,30,20,225
103,6,5,6,30,30,225,264
103,5,6,13,30,35,264,542
104,4,0,5,20,30,20,225
104,6,5,6,30,30,225,264
104,5,6,13,30,35,264,542
105,4,0,5,20,30,20,225
105,6,5,6,30,30,225,264
105,5,6,13,30,35,264,542
106,4,0,5,20,30,20,225
106,6,5,6,30,30,225,264
106,4,6,13,30,35,264,542
107,4,0,5,20,30,20,225
107,6,5,6,30,30,225,264
107,4,6,13,30,35,264,542
108,5,0,5,20,30,20,225
108,6,5,6,30,30,225,264
108,5,6,13,30,35,264,542
109,4,0,5,20,30,20,225
109,6,5,6,30,30,225,264
109,4,6,13,30,35,264,542
110,5,0,5,20,30,20,225
110,6,5,6,30,30,225,264
110,5,6,13,30,35,264,542
111,4,0,5,20,30,20,225
111,6,5,6,30,30,225,264
111,4,6,13,30,35,264,542
112,5,0,5,20,30,20,225
112,6,5,6,30,30,225,264
112,5,6,13,30,35,264,542
113,5,0,5,20,30,20,225
113,6,5,6,30,30,225,264
113,5,6,13,30,35,264,542
114,5,0,5,20,30,20,225
114,6,5,6,30,30,225,264
114,5,6,13,30,35,264,542
116,5,13,17,35,36,542,699
116,5,17,22,36,1,699,859
116,5,22,27,1,24,859,1077
117,5,13,17,35,36,542,699
117,5,17,22,36,1,699,859
117,5,22,27,1,24,859,1077
118,5,13,17,35,36,542,699
