t1,t2,s1,s2,n1,n2
0,5.0,20,30.0,20,225.0
5,6.0,30,30.0,225,264.0
6,13.0,30,35.0,264,542.0
13,17.0,35,36.0,542,699.0
17,22.0,36,1.0,699,859.0
22,27.0,1,24.0,859,1077.0
27,28.0,24,24.0,1077,1116.0
28,33.0,24,4.0,1116,1291.0
33,40.0,4,20.0,1291,1580.0
40,45.0,20,30.0,1580,1785.0
45,46.0,30,30.0,1785,1824.0
46,53.0,30,35.0,1824,2102.0
53,57.0,35,36.0,2102,2259.0
57,62.0,36,1.0,2259,2419.0
62,67.0,1,24.0,2419,2637.0
67,68.0,24,24.0,2637,2676.0
68,73.0,24,4.0,2676,2851.0
73,80.0,4,20.0,2851,3140.0
80,85.0,20,30.0,3140,3345.0
85,86.0,30,30.0,3345,3384.0
86,93.0,30,35.0,3384,3662.0
93,97.0,35,36.0,3662,3819.0
97,102.0,36,1.0,3819,3979.0
102,107.0,1,24.0,3979,4197.0
107,108.0,24,24.0,4197,4236.0
108,113.0,24,4.0,4236,4411.0
113,120.0,4,20.0,4411,4700.0
120,125.0,20,30.0,4700,4905.0
125,126.0,30,30.0,4905,4944.0
126,133.0,30,35.0,4944,5222.0
133,137.0,35,36.0,5222,5379.0
137,142.0,36,1.0,5379,5539.0
142,147.0,1,24.0,5539,5757.0
147,148.0,24,24.0,5757,5796.0
148,153.0,24,4.0,5796,5971.0
153,160.0,4,20.0,5971,6260.0
