t1,t2,s1,s2,n1,n2
0.0,5.0,1,66,1.0,411.0
5.0,12.0,66,63,411.0,891.0
12.0,15.0,63,62,891.0,1097.0
15.0,21.0,62,52,1097.0,1501.0
21.0,26.0,52,29,1501.0,1823.0
26.0,31.0,29,31,1823.0,2170.0
31.0,33.0,31,4,2170.0,2281.0
33.0,36.0,4,30,2281.0,2514.0
36.0,37.0,30,7,2514.0,2560.0
37.0,41.0,7,39,2560.0,2868.0
41.0,46.0,39,1,2868.0,3175.0
46.0,51.0,1,66,3175.0,3585.0
51.0,58.0,66,63,3585.0,4065.0
58.0,61.0,63,62,4065.0,4271.0
61.0,67.0,62,52,4271.0,4675.0
67.0,72.0,52,29,4675.0,4997.0
72.0,77.0,29,31,4997.0,5344.0
77.0,79.0,31,4,5344.0,5455.0
79.0,82.0,4,30,5455.0,5688.0
82.0,83.0,30,7,5688.0,5734.0
83.0,87.0,7,39,5734.0,6042.0
87.0,92.0,39,1,6042.0,6349.0
92.0,97.0,1,66,6349.0,6759.0
97.0,104.0,66,63,6759.0,7239.0
104.0,107.0,63,62,7239.0,7445.0
107.0,113.0,62,52,7445.0,7849.0
113.0,118.0,52,29,7849.0,8171.0
118.0,123.0,29,31,8171.0,8518.0
123.0,125.0,31,4,8518.0,8629.0
125.0,128.0,4,30,8629.0,8862.0
128.0,129.0,30,7,8862.0,8908.0
129.0,133.0,7,39,8908.0,9216.0
133.0,138.0,39,1,9216.0,9523.0
138.0,143.0,1,66,9523.0,9933.0
143.0,150.0,66,63,9933.0,10413.0
150.0,153.0,63,62,10413.0,10619.0
153.0,159.0,62,52,10619.0,11023.0
159.0,164.0,52,29,11023.0,11345.0
164.0,169.0,29,31,11345.0,11692.0
169.0,171.0,31,4,11692.0,11803.0
171.0,174.0,4,30,11803.0,12036.0
174.0,175.0,30,7,12036.0,12082.0
175.0,179.0,7,39,12082.0,12390.0
179.0,184.0,39,1,12390.0,12697.0
