r,d,t1,t2,s1,s2,n1,n2
5,3,16,24,0,25,624,961
5,3,24,30,25,6,961,1176
6,3,16,24,0,25,624,961
6,3,24,30,25,6,961,1176
15,3,52,64,0,31,2028,2527
15,3,64,68,31,20,2527,2672
21,3,52,64,0,31,2028,2527
30,2,45,49,1,4,1756,1915
30,2,49,54,4,6,1915,2112
31,2,45,49,1,4,1756,1915
31,2,49,54,4,6,1915,2112
33,0,17,22,1,24,664,882
37,4,13,18,1,36,508,738
37,4,18,22,36,35,738,893
37,4,22,29,35,30,893,1161
37,4,29,36,30,31,1161,1435
38,4,13,18,1,36,508,738
38,4,18,22,36,35,738,893
42,2,32,37,2,10,1250,1453
42,2,37,40,10,36,1453,1596
42,2,40,45,36,1,1596,1756
42,2,45,49,1,4,1756,1915
42,2,49,54,4,6,1915,2112
43,2,32,37,2,10,1250,1453
43,2,37,40,10,36,1453,1596
43,2,40,45,36,1,1596,1756
43,2,45,49,1,4,1756,1915
43,2,49,54,4,6,1915,2112
44,2,32,37,2,10,1250,1453
44,2,37,40,10,36,1453,1596
44,2,40,45,36,1,1596,1756
44,2,45,49,1,4,1756,1915
44,2,49,54,4,6,1915,2112
45,2,32,37,2,10,1250,1453
45,2,37,40,10,36,1453,1596
45,2,40,45,36,1,1596,1756
45,2,45,49,1,4,1756,1915
45,2,49,54,4,6,1915,2112
46,2,32,37,2,10,1250,1453
46,2,37,40,10,36,1453,1596
46,2,40,45,36,1,1596,1756
46,2,45,49,1,4,1756,1915
46,2,49,54,4,6,1915,2112
47,2,32,37,2,10,1250,1453
47,2,37,40,10,36,1453,1596
47,2,40,45,36,1,1596,1756
47,2,45,49,1,4,1756,1915
47,2,49,54,4,6,1915,2112
48,2,32,37,2,10,1250,1453
48,2,37,40,10,36,1453,1596
48,2,40,45,36,1,1596,1756
48,2,45,49,1,4,1756,1915
48,2,49,54,4,6,1915,2112
49,2,32,37,2,10,1250,1453
49,2,37,40,10,36,1453,1596
49,2,40,45,36,1,1596,1756
49,2,45,49,1,4,1756,1915
49,2,49,54,4,6,1915,2112
50,2,32,37,2,10,1250,1453
50,2,37,40,10,36,1453,1596
50,2,40,45,36,1,1596,1756
50,2,45,49,1,4,1756,1915
50,2,49,54,4,6,1915,2112
51,2,32,37,2,10,1250,1453
51,2,37,40,10,36,1453,1596
51,2,40,45,36,1,1596,1756
51,2,45,49,1,4,1756,1915
51,2,49,54,4,6,1915,2112
103,1,13,17,4,1,511,664
103,5,17,20,1,21,664,801
103,5,20,24,21,5,801,941
104,1,13,17,4,1,511,664
104,1,17,22,1,24,664,882
104,1,22,26,24,23,882,1037
104,1,26,30,23,6,1037,1176
104,1,30,34,6,20,1176,1346
105,6,10,15,4,24,394,609
106,6,10,15,4,24,394,609
107,6,10,15,4,24,394,609
107,6,15,21,24,28,609,847
108,6,10,15,4,24,394,609
108,6,15,21,24,28,609,847
109,6,10,15,4,24,394,609
109,6,15,21,24,28,609,847
110,6,10,15,4,24,394,609
110,6,15,21,24,28,609,847
111,6,10,15,4,24,394,609
111,6,15,21,24,28,609,847
112,6,10,15,4,24,394,609
112,6,15,21,24,28,609,847
113,6,10,15,4,24,394,609
113,6,15,21,24,28,609,847
114,6,10,15,4,24,394,609
114,6,15,21,24,28,609,847
115,6,10,15,4,24,394,609
115,6,15,21,24,28,609,847
116,6,10,15,4,24,394,609
116,6,15,21,24,28,609,847
117,6,10,15,4,24,394,609
117,6,15,21,24,28,609,847
118,6,10,15,4,24,394,609
118,6,15,21,24,28,609,847
119,6,10,15,4,24,394,609
119,6,15,21,24,28,609,847
120,6,10,15,4,24,394,609
120,6,15,21,24,28,609,847
121,6,10,15,4,24,394,609
121,6,15,21,24,28,609,847
124,5,10,14,5,21,395,567
124,5,14,17,21,1,567,664
125,5,10,14,5,21,395,567
125,5,14,17,21,1,567,664
126,5,10,14,5,21,395,567
126,5,14,17,21,1,567,664
127,2,16,23,5,35,629,932
127,2,23,27,35,10,932,1063
127,2,27,32,10,2,1063,1250
128,2,16,23,5,35,629,932
128,2,23,27,35,10,932,1063
128,2,27,32,10,2,1063,1250
129,5,25,29,5,21,980,1152
129,5,29,36,21,6,1152,1410
136,5,25,29,5,21,980,1152
136,5,29,36,21,6,1152,1410
136,5,36,40,6,20,1410,1580
137,5,10,14,5,21,395,567
137,5,14,17,21,1,567,664
137,0,17,22,1,24,664,882
138,5,10,14,5,21,395,567
138,5,14,17,21,1,567,664
138,0,17,22,1,24,664,882
150,2,0,4,6,20,6,176
150,2,4,9,20,30,176,381
150,2,9,16,30,5,381,629
150,2,16,23,5,35,629,932
150,2,23,27,35,10,932,1063
150,2,27,32,10,2,1063,1250
151,2,0,4,6,20,6,176
151,2,4,9,20,30,176,381
151,2,9,16,30,5,381,629
151,2,16,23,5,35,629,932
151,2,23,27,35,10,932,1063
151,2,27,32,10,2,1063,1250
152,2,0,4,6,20,6,176
152,2,4,9,20,30,176,381
152,2,9,16,30,5,381,629
152,2,16,23,5,35,629,932
152,2,23,27,35,10,932,1063
152,2,27,32,10,2,1063,1250
153,2,0,4,6,20,6,176
153,2,4,9,20,30,176,381
153,2,9,16,30,5,381,629
153,2,16,23,5,35,629,932
153,2,23,27,35,10,932,1063
153,2,27,32,10,2,1063,1250
154,2,0,4,6,20,6,176
154,2,4,9,20,30,176,381
154,2,9,16,30,5,381,629
154,2,16,23,5,35,629,932
154,2,23,27,35,10,932,1063
154,2,27,32,10,2,1063,1250
155,2,0,4,6,20,6,176
155,2,4,9,20,30,176,381
155,2,9,16,30,5,381,629
155,2,16,23,5,35,629,932
155,2,23,27,35,10,932,1063
155,2,27,32,10,2,1063,1250
156,2,0,4,6,20,6,176
156,2,4,9,20,30,176,381
156,2,9,16,30,5,381,629
156,2,16,23,5,35,629,932
156,2,23,27,35,10,932,1063
156,2,27,32,10,2,1063,1250
157,2,0,4,6,20,6,176
157,2,4,9,20,30,176,381
157,2,9,16,30,5,381,629
157,2,16,23,5,35,629,932
157,2,23,27,35,10,932,1063
157,2,27,32,10,2,1063,1250
158,2,0,4,6,20,6,176
158,2,4,9,20,30,176,381
158,2,9,16,30,5,381,629
158,2,16,23,5,35,629,932
158,2,23,27,35,10,932,1063
158,2,27,32,10,2,1063,1250
159,2,0,4,6,20,6,176
159,2,4,9,20,30,176,381
159,2,9,16,30,5,381,629
159,2,16,23,5,35,629,932
159,2,23,27,35,10,932,1063
