t1,t2,s1,s2,n1,n2
0.0,3.0,1,34,1.0,241.0
3.0,5.0,34,35,241.0,380.0
5.0,8.0,35,33,380.0,585.0
8.0,13.0,33,29,585.0,926.0
13.0,17.0,29,32,926.0,1205.0
17.0,19.0,32,31,1205.0,1342.0
19.0,21.0,31,4,1342.0,1453.0
21.0,23.0,4,7,1453.0,1594.0
23.0,24.0,7,30,1594.0,1686.0
24.0,27.0,30,38,1686.0,1901.0
27.0,30.0,38,3,1901.0,2073.0
30.0,35.0,3,45,2073.0,2460.0
35.0,41.0,45,39,2460.0,2868.0
41.0,46.0,39,1,2868.0,3175.0
46.0,49.0,1,34,3175.0,3415.0
49.0,51.0,34,35,3415.0,3554.0
51.0,54.0,35,33,3554.0,3759.0
54.0,59.0,33,29,3759.0,4100.0
59.0,63.0,29,32,4100.0,4379.0
63.0,65.0,32,31,4379.0,4516.0
65.0,67.0,31,4,4516.0,4627.0
67.0,69.0,4,7,4627.0,4768.0
69.0,70.0,7,30,4768.0,4860.0
70.0,73.0,30,38,4860.0,5075.0
73.0,76.0,38,3,5075.0,5247.0
76.0,81.0,3,45,5247.0,5634.0
81.0,87.0,45,39,5634.0,6042.0
87.0,92.0,39,1,6042.0,6349.0
92.0,95.0,1,34,6349.0,6589.0
95.0,97.0,34,35,6589.0,6728.0
97.0,100.0,35,33,6728.0,6933.0
100.0,105.0,33,29,6933.0,7274.0
105.0,109.0,29,32,7274.0,7553.0
109.0,111.0,32,31,7553.0,7690.0
111.0,113.0,31,4,7690.0,7801.0
113.0,115.0,4,7,7801.0,7942.0
115.0,116.0,7,30,7942.0,8034.0
116.0,119.0,30,38,8034.0,8249.0
119.0,122.0,38,3,8249.0,8421.0
122.0,127.0,3,45,8421.0,8808.0
127.0,133.0,45,39,8808.0,9216.0
133.0,138.0,39,1,9216.0,9523.0
138.0,141.0,1,34,9523.0,9763.0
141.0,143.0,34,35,9763.0,9902.0
143.0,146.0,35,33,9902.0,10107.0
146.0,151.0,33,29,10107.0,10448.0
151.0,155.0,29,32,10448.0,10727.0
155.0,157.0,32,31,10727.0,10864.0
157.0,159.0,31,4,10864.0,10975.0
159.0,161.0,4,7,10975.0,11116.0
161.0,162.0,7,30,11116.0,11208.0
162.0,165.0,30,38,11208.0,11423.0
165.0,168.0,38,3,11423.0,11595.0
168.0,173.0,3,45,11595.0,11982.0
173.0,179.0,45,39,11982.0,12390.0
179.0,184.0,39,1,12390.0,12697.0
