t1,t2,s1,s2,n1,n2
0,4.0,20,6.0,20,162.0
4,10.0,6,25.0,162,415.0
10,11.0,25,25.0,415,454.0
11,19.0,25,0.0,454,741.0
19,30.0,0,37.0,741,1207.0
30,36.0,37,31.0,1207,1435.0
36,40.0,31,20.0,1435,1580.0
40,44.0,20,6.0,1580,1722.0
44,50.0,6,25.0,1722,1975.0
50,51.0,25,25.0,1975,2014.0
51,59.0,25,0.0,2014,2301.0
59,70.0,0,37.0,2301,2767.0
70,76.0,37,31.0,2767,2995.0
76,80.0,31,20.0,2995,3140.0
80,84.0,20,6.0,3140,3282.0
84,90.0,6,25.0,3282,3535.0
90,91.0,25,25.0,3535,3574.0
91,99.0,25,0.0,3574,3861.0
99,110.0,0,37.0,3861,4327.0
110,116.0,37,31.0,4327,4555.0
116,120.0,31,20.0,4555,4700.0
120,124.0,20,6.0,4700,4842.0
124,130.0,6,25.0,4842,5095.0
130,131.0,25,25.0,5095,5134.0
131,139.0,25,0.0,5134,5421.0
139,150.0,0,37.0,5421,5887.0
150,156.0,37,31.0,5887,6115.0
156,160.0,31,20.0,6115,6260.0
