t1,t2,s1,s2,n1,n2
0,4.0,20,6.0,20,162.0
4,9.0,6,4.0,162,355.0
9,13.0,4,1.0,355,508.0
13,18.0,1,36.0,508,738.0
18,22.0,36,35.0,738,893.0
22,29.0,35,30.0,893,1161.0
29,30.0,30,30.0,1161,1200.0
30,31.0,30,30.0,1200,1239.0
31,32.0,30,30.0,1239,1278.0
32,33.0,30,30.0,1278,1317.0
33,34.0,30,30.0,1317,1356.0
34,35.0,30,30.0,1356,1395.0
35,40.0,30,20.0,1395,1580.0
40,44.0,20,6.0,1580,1722.0
44,49.0,6,4.0,1722,1915.0
49,53.0,4,1.0,1915,2068.0
53,58.0,1,36.0,2068,2298.0
58,62.0,36,35.0,2298,2453.0
62,69.0,35,30.0,2453,2721.0
69,70.0,30,30.0,2721,2760.0
70,71.0,30,30.0,2760,2799.0
71,72.0,30,30.0,2799,2838.0
72,73.0,30,30.0,2838,2877.0
73,74.0,30,30.0,2877,2916.0
74,75.0,30,30.0,2916,2955.0
75,80.0,30,20.0,2955,3140.0
80,84.0,20,6.0,3140,3282.0
84,89.0,6,4.0,3282,3475.0
89,93.0,4,1.0,3475,3628.0
93,98.0,1,36.0,3628,3858.0
98,102.0,36,35.0,3858,4013.0
102,109.0,35,30.0,4013,4281.0
109,110.0,30,30.0,4281,4320.0
110,111.0,30,30.0,4320,4359.0
111,112.0,30,30.0,4359,4398.0
112,113.0,30,30.0,4398,4437.0
113,114.0,30,30.0,4437,4476.0
114,115.0,30,30.0,4476,4515.0
115,120.0,30,20.0,4515,4700.0
120,124.0,20,6.0,4700,4842.0
124,129.0,6,4.0,4842,5035.0
129,133.0,4,1.0,5035,5188.0
133,138.0,1,36.0,5188,5418.0
138,142.0,36,35.0,5418,5573.0
142,149.0,35,30.0,5573,5841.0
149,150.0,30,30.0,5841,5880.0
150,151.0,30,30.0,5880,5919.0
151,152.0,30,30.0,5919,5958.0
152,153.0,30,30.0,5958,5997.0
153,154.0,30,30.0,5997,6036.0
154,155.0,30,30.0,6036,6075.0
155,160.0,30,20.0,6075,6260.0
