t1,t2,s1,s2,n1,n2
0.0,3.0,1,4,1.0,211.0
3.0,5.0,4,7,211.0,352.0
5.0,6.0,7,30,352.0,444.0
6.0,8.0,30,31,444.0,583.0
8.0,10.0,31,8,583.0,698.0
10.0,13.0,8,65,698.0,962.0
13.0,16.0,65,49,962.0,1153.0
16.0,20.0,49,29,1153.0,1409.0
20.0,25.0,29,52,1409.0,1777.0
25.0,31.0,52,62,1777.0,2201.0
31.0,34.0,62,63,2201.0,2409.0
34.0,41.0,63,66,2409.0,2895.0
41.0,46.0,66,1,2895.0,3175.0
46.0,49.0,1,4,3175.0,3385.0
49.0,51.0,4,7,3385.0,3526.0
51.0,52.0,7,30,3526.0,3618.0
52.0,54.0,30,31,3618.0,3757.0
54.0,56.0,31,8,3757.0,3872.0
56.0,59.0,8,65,3872.0,4136.0
59.0,62.0,65,49,4136.0,4327.0
62.0,66.0,49,29,4327.0,4583.0
66.0,71.0,29,52,4583.0,4951.0
71.0,77.0,52,62,4951.0,5375.0
77.0,80.0,62,63,5375.0,5583.0
80.0,87.0,63,66,5583.0,6069.0
87.0,92.0,66,1,6069.0,6349.0
92.0,95.0,1,4,6349.0,6559.0
95.0,97.0,4,7,6559.0,6700.0
97.0,98.0,7,30,6700.0,6792.0
98.0,100.0,30,31,6792.0,6931.0
100.0,102.0,31,8,6931.0,7046.0
102.0,105.0,8,65,7046.0,7310.0
105.0,108.0,65,49,7310.0,7501.0
108.0,112.0,49,29,7501.0,7757.0
112.0,117.0,29,52,7757.0,8125.0
117.0,123.0,52,62,8125.0,8549.0
123.0,126.0,62,63,8549.0,8757.0
126.0,133.0,63,66,8757.0,9243.0
133.0,138.0,66,1,9243.0,9523.0
138.0,141.0,1,4,9523.0,9733.0
141.0,143.0,4,7,9733.0,9874.0
143.0,144.0,7,30,9874.0,9966.0
144.0,146.0,30,31,9966.0,10105.0
146.0,148.0,31,8,10105.0,10220.0
148.0,151.0,8,65,10220.0,10484.0
151.0,154.0,65,49,10484.0,10675.0
154.0,158.0,49,29,10675.0,10931.0
158.0,163.0,29,52,10931.0,11299.0
163.0,169.0,52,62,11299.0,11723.0
169.0,172.0,62,63,11723.0,11931.0
172.0,179.0,63,66,11931.0,12417.0
179.0,184.0,66,1,12417.0,12697.0
