r,d
33,0
640,0
30,2
31,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
104,2
128,2
129,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
594,2
671,2
672,2
673,2
674,2
5,3
6,3
15,3
21,3
705,3
105,4
222,4
223,4
224,4
225,4
226,4
227,4
228,4
229,4
238,4
239,4
240,4
717,4
34,5
35,5
36,5
113,5
124,5
623,5
629,5
630,5
631,5
632,5
633,5
642,5
101,6
106,6
107,6
108,6
109,6
110,6
111,6
112,6
114,6
115,6
116,6
117,6
118,6
119,6
120,6
121,6
122,6
171,6
172,6
174,6
175,6
137,7
208,7
209,7
210,7
211,7
212,7
213,7
215,7
613,7
614,7
638,7
639,7
38,8
124,8
238,8
239,8
240,8
612,8
623,8
629,8
630,8
631,8
632,8
633,8
634,8
688,8
689,8
735,8
736,8
737,8
738,8
739,8
740,8
741,8
Matching Rate: 0.14323607427055704
