r,d
33,0
105,0
106,0
171,0
616,0
617,0
170,1
5,2
6,2
30,2
31,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
124,2
126,2
127,2
128,2
129,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
175,2
588,2
609,2
670,2
671,2
672,2
673,2
715,2
298,3
299,3
300,3
301,3
302,3
349,3
358,3
418,3
419,3
420,3
422,3
424,3
425,3
427,3
429,3
460,3
461,3
462,3
463,3
555,3
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,3
569,3
570,3
571,3
667,3
668,3
669,3
15,4
32,4
37,4
38,4
136,4
139,4
175,4
606,4
607,4
608,4
609,4
614,4
615,4
616,4
617,4
685,4
687,4
688,4
704,4
733,4
734,4
735,4
736,4
737,4
738,4
739,4
0,5
1,5
2,5
3,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
169,5
172,5
173,5
174,5
207,5
208,5
209,5
632,5
633,5
638,5
0,6
1,6
2,6
3,6
4,6
5,6
6,6
16,6
101,6
104,6
207,6
208,6
209,6
213,6
214,6
15,7
21,7
643,7
644,7
645,7
646,7
647,7
648,7
649,7
650,7
651,7
452,8
453,8
614,8
615,8
680,8
681,8
682,8
683,8
684,8
715,8
726,8
Matching Rate: 0.20877659574468085
