t1,t2,s1,s2,n1,n2
0.0,6.0,0,42,0.0,456.0
6.0,8.0,42,5,456.0,557.0
8.0,18.0,5,67,557.0,1309.0
18.0,24.0,67,53,1309.0,1709.0
24.0,28.0,53,29,1709.0,1961.0
28.0,32.0,29,49,1961.0,2257.0
32.0,36.0,49,8,2257.0,2492.0
36.0,39.0,8,65,2492.0,2756.0
39.0,44.0,65,41,2756.0,3077.0
44.0,49.0,41,40,3077.0,3421.0
49.0,52.0,40,0,3421.0,3588.0
52.0,58.0,0,42,3588.0,4044.0
58.0,60.0,42,5,4044.0,4145.0
60.0,70.0,5,67,4145.0,4897.0
70.0,76.0,67,53,4897.0,5297.0
76.0,80.0,53,29,5297.0,5549.0
80.0,84.0,29,49,5549.0,5845.0
84.0,88.0,49,8,5845.0,6080.0
88.0,91.0,8,65,6080.0,6344.0
91.0,96.0,65,41,6344.0,6665.0
96.0,101.0,41,40,6665.0,7009.0
101.0,104.0,40,0,7009.0,7176.0
104.0,110.0,0,42,7176.0,7632.0
110.0,112.0,42,5,7632.0,7733.0
112.0,122.0,5,67,7733.0,8485.0
122.0,128.0,67,53,8485.0,8885.0
128.0,132.0,53,29,8885.0,9137.0
132.0,136.0,29,49,9137.0,9433.0
136.0,140.0,49,8,9433.0,9668.0
140.0,143.0,8,65,9668.0,9932.0
143.0,148.0,65,41,9932.0,10253.0
148.0,153.0,41,40,10253.0,10597.0
153.0,156.0,40,0,10597.0,10764.0
