r,d,t1,t2,s1,s2,n1,n2
5,3,11,18,25,8,443,692
5,3,18,23,8,21,692,895
5,3,23,26,21,14,895,1002
5,5,26,27,14,15,1002,1041
5,1,27,30,15,16,1041,1156
5,1,30,33,16,13,1156,1267
6,3,11,18,25,8,443,692
6,3,18,23,8,21,692,895
6,3,23,26,21,14,895,1002
6,5,26,27,14,15,1002,1041
6,0,27,30,15,16,1041,1156
6,0,30,33,16,13,1156,1267
7,3,40,48,15,3,1535,1827
8,2,56,59,32,36,2160,2278
8,2,59,62,36,10,2278,2366
8,2,62,64,10,5,2366,2437
9,2,56,59,32,36,2160,2278
9,2,59,62,36,10,2278,2366
9,2,62,64,10,5,2366,2437
11,4,18,24,33,23,717,935
11,4,24,27,23,8,935,1034
11,4,27,32,8,15,1034,1231
11,5,32,33,15,16,1231,1270
11,5,33,34,16,17,1270,1309
11,5,34,35,17,18,1309,1348
11,2,35,39,18,23,1348,1505
12,0,17,23,32,12,678,886
17,4,18,24,33,23,717,935
17,4,24,27,23,8,935,1034
17,4,27,32,8,15,1034,1231
17,4,32,36,15,18,1231,1386
17,4,36,41,18,37,1386,1595
52,2,15,19,32,16,602,738
52,2,19,23,16,18,738,892
52,2,23,26,18,22,892,1010
52,2,26,31,22,13,1010,1191
52,2,31,35,13,18,1191,1348
52,2,35,39,18,23,1348,1505
53,2,15,19,32,16,602,738
53,2,19,23,16,18,738,892
53,2,23,26,18,22,892,1010
53,2,26,31,22,13,1010,1191
53,2,31,35,13,18,1191,1348
53,2,35,39,18,23,1348,1505
74,0,4,7,23,32,175,298
74,4,7,8,32,26,298,330
74,4,8,13,26,2,330,496
166,4,32,36,15,18,1231,1386
166,4,36,41,18,37,1386,1595
166,4,41,45,37,1,1595,1711
166,4,45,51,1,5,1711,1943
166,4,51,58,5,13,1943,2217
166,4,58,62,13,8,2217,2364
167,4,32,36,15,18,1231,1386
167,4,36,41,18,37,1386,1595
167,4,41,45,37,1,1595,1711
167,4,45,51,1,5,1711,1943
167,4,51,58,5,13,1943,2217
167,4,58,62,13,8,2217,2364
168,4,32,36,15,18,1231,1386
168,4,36,41,18,37,1386,1595
168,4,41,45,37,1,1595,1711
168,4,45,51,1,5,1711,1943
168,4,51,58,5,13,1943,2217
168,4,58,62,13,8,2217,2364
179,4,32,36,15,18,1231,1386
179,4,36,41,18,37,1386,1595
179,4,41,45,37,1,1595,1711
179,4,45,51,1,5,1711,1943
179,4,51,58,5,13,1943,2217
180,4,32,36,15,18,1231,1386
180,4,36,41,18,37,1386,1595
180,4,41,45,37,1,1595,1711
180,4,45,51,1,5,1711,1943
180,4,51,58,5,13,1943,2217
181,4,32,36,15,18,1231,1386
181,4,36,41,18,37,1386,1595
181,4,41,45,37,1,1595,1711
181,4,45,51,1,5,1711,1943
181,4,51,58,5,13,1943,2217
182,4,32,36,15,18,1231,1386
182,4,36,41,18,37,1386,1595
182,4,41,45,37,1,1595,1711
182,4,45,51,1,5,1711,1943
182,4,51,58,5,13,1943,2217
183,4,32,36,15,18,1231,1386
183,4,36,41,18,37,1386,1595
183,4,41,45,37,1,1595,1711
183,4,45,51,1,5,1711,1943
183,4,51,58,5,13,1943,2217
184,4,32,36,15,18,1231,1386
184,4,36,41,18,37,1386,1595
495,2,4,10,28,3,180,383
513,4,7,8,32,26,298,330
513,4,8,13,26,2,330,496
514,4,5,7,31,32,221,298
514,4,7,8,32,26,298,330
514,4,8,13,26,2,330,496
515,4,5,7,31,32,221,298
515,4,7,8,32,26,298,330
515,4,8,13,26,2,330,496
543,4,13,17,2,32,496,678
544,4,13,17,2,32,496,678
545,4,13,17,2,32,496,678
545,5,17,18,32,33,678,717
545,4,18,24,33,23,717,935
545,4,24,27,23,8,935,1034
545,4,27,32,8,15,1034,1231
546,4,13,17,2,32,496,678
546,5,17,18,32,33,678,717
546,4,18,24,33,23,717,935
546,4,24,27,23,8,935,1034
546,4,27,32,8,15,1034,1231
547,4,13,17,2,32,496,678
