t1,t2,s1,s2,n1,n2
0,4,24,19,24,175
4,7,19,25,175,298
7,10,25,27,298,417
10,13,27,25,417,532
13,14,25,18,532,564
14,17,18,15,564,678
17,22,15,28,678,886
22,26,28,27,886,1041
26,29,27,25,1041,1156
29,32,25,19,1156,1267
32,36,19,30,1267,1434
36,40,30,24,1434,1584
40,44,24,19,1584,1735
44,47,19,25,1735,1858
47,50,25,27,1858,1977
50,53,27,25,1977,2092
53,54,25,18,2092,2124
54,57,18,15,2124,2238
57,62,15,28,2238,2446
62,66,28,27,2446,2601
66,69,27,25,2601,2716
69,72,25,19,2716,2827
72,76,19,30,2827,2994
76,80,30,24,2994,3144
80,84,24,19,3144,3295
84,87,19,25,3295,3418
87,90,25,27,3418,3537
90,93,27,25,3537,3652
93,94,25,18,3652,3684
94,97,18,15,3684,3798
97,102,15,28,3798,4006
102,106,28,27,4006,4161
106,109,27,25,4161,4276
109,112,25,19,4276,4387
112,116,19,30,4387,4554
116,120,30,24,4554,4704
120,124,24,19,4704,4855
124,127,19,25,4855,4978
127,130,25,27,4978,5097
130,133,27,25,5097,5212
133,134,25,18,5212,5244
134,137,18,15,5244,5358
137,142,15,28,5358,5566
142,146,28,27,5566,5721
146,149,27,25,5721,5836
149,152,25,19,5836,5947
152,156,19,30,5947,6114
156,160,30,24,6114,6264
