t1,t2,s1,s2,n1,n2
0.0,7.0,52,53,52.0,536.0
7.0,11.0,53,29,536.0,788.0
11.0,16.0,29,31,788.0,1135.0
16.0,18.0,31,30,1135.0,1272.0
18.0,19.0,30,7,1272.0,1318.0
19.0,23.0,7,39,1318.0,1626.0
23.0,28.0,39,1,1626.0,1933.0
28.0,33.0,1,66,1933.0,2343.0
33.0,36.0,66,12,2343.0,2496.0
36.0,41.0,12,16,2496.0,2845.0
41.0,45.0,16,14,2845.0,3119.0
45.0,50.0,14,63,3119.0,3513.0
50.0,53.0,63,62,3513.0,3719.0
53.0,59.0,62,52,3719.0,4123.0
59.0,66.0,52,53,4123.0,4607.0
66.0,70.0,53,29,4607.0,4859.0
70.0,75.0,29,31,4859.0,5206.0
75.0,77.0,31,30,5206.0,5343.0
77.0,78.0,30,7,5343.0,5389.0
78.0,82.0,7,39,5389.0,5697.0
82.0,87.0,39,1,5697.0,6004.0
87.0,92.0,1,66,6004.0,6414.0
92.0,95.0,66,12,6414.0,6567.0
95.0,100.0,12,16,6567.0,6916.0
100.0,104.0,16,14,6916.0,7190.0
104.0,109.0,14,63,7190.0,7584.0
109.0,112.0,63,62,7584.0,7790.0
112.0,118.0,62,52,7790.0,8194.0
118.0,125.0,52,53,8194.0,8678.0
125.0,129.0,53,29,8678.0,8930.0
129.0,134.0,29,31,8930.0,9277.0
134.0,136.0,31,30,9277.0,9414.0
136.0,137.0,30,7,9414.0,9460.0
137.0,141.0,7,39,9460.0,9768.0
141.0,146.0,39,1,9768.0,10075.0
146.0,151.0,1,66,10075.0,10485.0
151.0,154.0,66,12,10485.0,10638.0
154.0,159.0,12,16,10638.0,10987.0
159.0,163.0,16,14,10987.0,11261.0
163.0,168.0,14,63,11261.0,11655.0
168.0,171.0,63,62,11655.0,11861.0
171.0,177.0,62,52,11861.0,12265.0
