r,d
10,0
142,0
143,0
144,0
145,0
146,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
240,0
241,0
242,0
243,0
244,0
252,0
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
98,1
109,1
245,1
246,1
257,1
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
92,2
93,2
94,2
95,2
96,2
97,2
113,2
137,2
138,2
139,2
140,2
141,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
262,2
7,3
8,3
9,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
110,3
111,3
112,3
113,3
114,3
116,3
117,3
118,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
137,3
160,3
161,3
162,3
163,3
164,3
165,3
232,3
264,3
Matching Rate: 0.5131086142322098
