r,d,t1,t2,s1,s2,n1,n2
7,3,22,27,1,24,859,1077
8,3,22,27,1,24,859,1077
9,3,22,27,1,24,859,1077
10,0,4,9,6,4,162,355
10,0,9,14,4,24,355,570
51,1,5,12,30,35,225,503
52,1,5,12,30,35,225,503
53,1,20,27,30,35,810,1088
54,1,20,27,30,35,810,1088
55,1,20,27,30,35,810,1088
56,1,5,12,30,35,225,503
57,1,5,12,30,35,225,503
58,1,20,27,30,35,810,1088
59,1,5,12,30,35,225,503
60,1,20,27,30,35,810,1088
61,1,20,27,30,35,810,1088
62,1,5,12,30,35,225,503
63,1,5,12,30,35,225,503
64,1,5,12,30,35,225,503
65,1,20,27,30,35,810,1088
66,1,20,27,30,35,810,1088
67,1,5,12,30,35,225,503
68,1,20,27,30,35,810,1088
69,1,20,27,30,35,810,1088
70,1,20,27,30,35,810,1088
71,1,20,27,30,35,810,1088
72,1,20,27,30,35,810,1088
73,2,12,19,5,35,473,776
74,2,12,19,5,35,473,776
75,2,12,19,5,35,473,776
76,2,12,19,5,35,473,776
77,2,12,19,5,35,473,776
78,2,12,19,5,35,473,776
79,2,12,19,5,35,473,776
80,2,12,19,5,35,473,776
81,2,12,19,5,35,473,776
82,2,12,19,5,35,473,776
83,2,12,19,5,35,473,776
84,2,12,19,5,35,473,776
85,2,12,19,5,35,473,776
92,2,0,5,20,30,20,225
93,2,0,5,20,30,20,225
94,2,0,5,20,30,20,225
95,2,0,5,20,30,20,225
96,2,0,5,20,30,20,225
97,2,0,5,20,30,20,225
98,1,0,5,20,30,20,225
98,3,5,12,30,35,225,503
99,3,0,5,20,30,20,225
99,3,5,12,30,35,225,503
100,3,0,5,20,30,20,225
100,3,5,12,30,35,225,503
101,3,0,5,20,30,20,225
101,3,5,12,30,35,225,503
102,3,0,5,20,30,20,225
102,3,5,12,30,35,225,503
103,3,0,5,20,30,20,225
103,3,5,12,30,35,225,503
104,3,0,5,20,30,20,225
104,3,5,12,30,35,225,503
105,3,0,5,20,30,20,225
105,3,5,12,30,35,225,503
106,3,0,5,20,30,20,225
106,3,5,12,30,35,225,503
107,3,0,5,20,30,20,225
107,3,5,12,30,35,225,503
108,3,0,5,20,30,20,225
108,3,5,12,30,35,225,503
109,1,0,5,20,30,20,225
109,1,5,12,30,35,225,503
110,3,0,5,20,30,20,225
110,3,5,12,30,35,225,503
111,3,0,5,20,30,20,225
111,3,5,12,30,35,225,503
112,3,0,5,20,30,20,225
112,3,5,12,30,35,225,503
113,2,0,5,20,30,20,225
113,3,5,12,30,35,225,503
114,3,0,5,20,30,20,225
114,3,5,12,30,35,225,503
116,3,13,17,35,36,542,699
116,3,17,22,36,1,699,859
116,3,22,27,1,24,859,1077
117,3,13,17,35,36,542,699
117,3,17,22,36,1,699,859
117,3,22,27,1,24,859,1077
118,3,13,17,35,36,542,699
118,3,17,22,36,1,699,859
118,3,22,27,1,24,859,1077
120,3,13,17,35,36,542,699
120,3,17,22,36,1,699,859
120,3,22,27,1,24,859,1077
121,3,13,17,35,36,542,699
121,3,17,22,36,1,699,859
121,3,22,27,1,24,859,1077
122,3,13,17,35,36,542,699
122,3,17,22,36,1,699,859
122,3,22,27,1,24,859,1077
123,3,13,17,35,36,542,699
123,3,17,22,36,1,699,859
123,3,22,27,1,24,859,1077
124,3,13,17,35,36,542,699
124,3,17,22,36,1,699,859
124,3,22,27,1,24,859,1077
125,3,13,17,35,36,542,699
125,3,17,22,36,1,699,859
125,3,22,27,1,24,859,1077
126,3,13,17,35,36,542,699
126,3,17,22,36,1,699,859
126,3,22,27,1,24,859,1077
127,3,13,17,35,36,542,699
127,3,17,22,36,1,699,859
127,3,22,27,1,24,859,1077
128,3,13,17,35,36,542,699
128,3,17,22,36,1,699,859
128,3,22,27,1,24,859,1077
129,3,13,17,35,36,542,699
129,3,17,22,36,1,699,859
129,3,22,27,1,24,859,1077
137,3,0,5,20,30,20,225
137,2,5,12,30,5,225,473
138,2,0,5,20,30,20,225
138,2,5,12,30,5,225,473
139,2,0,5,20,30,20,225
139,2,5,12,30,5,225,473
140,2,0,5,20,30,20,225
140,2,5,12,30,5,225,473
141,2,0,5,20,30,20,225
141,2,5,12,30,5,225,473
142,0,16,21,24,1,648,820
142,0,21,24,1,21,820,957
142,0,24,28,21,5,957,1097
143,0,16,21,24,1,648,820
143,0,21,24,1,21,820,957
143,0,24,28,21,5,957,1097
144,0,16,21,24,1,648,820
144,0,21,24,1,21,820,957
144,0,24,28,21,5,957,1097
145,0,16,21,24,1,648,820
145,0,21,24,1,21,820,957
145,0,24,28,21,5,957,1097
146,0,16,21,24,1,648,820
146,0,21,24,1,21,820,957
146,0,24,28,21,5,957,1097
149,0,16,21,24,1,648,820
149,0,21,24,1,21,820,957
149,0,24,28,21,5,957,1097
149,0,28,35,5,30,1097,1395
150,0,16,21,24,1,648,820
150,0,21,24,1,21,820,957
150,0,24,28,21,5,957,1097
150,0,28,35,5,30,1097,1395
