t1,t2,s1,s2,n1,n2
0,5.0,20,30.0,20,225.0
5,12.0,30,5.0,225,473.0
12,19.0,5,35.0,473,776.0
19,20.0,35,35.0,776,815.0
20,27.0,35,5.0,815,1058.0
27,34.0,5,30.0,1058,1356.0
34,35.0,30,30.0,1356,1395.0
35,40.0,30,20.0,1395,1580.0
40,45.0,20,30.0,1580,1785.0
45,52.0,30,5.0,1785,2033.0
52,59.0,5,35.0,2033,2336.0
59,60.0,35,35.0,2336,2375.0
60,67.0,35,5.0,2375,2618.0
67,74.0,5,30.0,2618,2916.0
74,75.0,30,30.0,2916,2955.0
75,80.0,30,20.0,2955,3140.0
80,85.0,20,30.0,3140,3345.0
85,92.0,30,5.0,3345,3593.0
92,99.0,5,35.0,3593,3896.0
99,100.0,35,35.0,3896,3935.0
100,107.0,35,5.0,3935,4178.0
107,114.0,5,30.0,4178,4476.0
114,115.0,30,30.0,4476,4515.0
115,120.0,30,20.0,4515,4700.0
120,125.0,20,30.0,4700,4905.0
125,132.0,30,5.0,4905,5153.0
132,139.0,5,35.0,5153,5456.0
139,140.0,35,35.0,5456,5495.0
140,147.0,35,5.0,5495,5738.0
147,154.0,5,30.0,5738,6036.0
154,155.0,30,30.0,6036,6075.0
155,160.0,30,20.0,6075,6260.0
