t1,t2,s1,s2,n1,n2
0.0,5.0,52,29,52.0,374.0
5.0,8.0,29,50,374.0,602.0
8.0,10.0,50,6,602.0,696.0
10.0,13.0,6,64,696.0,961.0
13.0,17.0,64,62,961.0,1235.0
17.0,20.0,62,63,1235.0,1443.0
20.0,23.0,63,62,1443.0,1649.0
23.0,27.0,62,36,1649.0,1899.0
27.0,31.0,36,52,1899.0,2191.0
31.0,36.0,52,29,2191.0,2513.0
36.0,39.0,29,50,2513.0,2741.0
39.0,41.0,50,6,2741.0,2835.0
41.0,44.0,6,64,2835.0,3100.0
44.0,48.0,64,62,3100.0,3374.0
48.0,51.0,62,63,3374.0,3582.0
51.0,54.0,63,62,3582.0,3788.0
54.0,58.0,62,36,3788.0,4038.0
58.0,62.0,36,52,4038.0,4330.0
62.0,67.0,52,29,4330.0,4652.0
67.0,70.0,29,50,4652.0,4880.0
70.0,72.0,50,6,4880.0,4974.0
72.0,75.0,6,64,4974.0,5239.0
75.0,79.0,64,62,5239.0,5513.0
79.0,82.0,62,63,5513.0,5721.0
82.0,85.0,63,62,5721.0,5927.0
85.0,89.0,62,36,5927.0,6177.0
89.0,93.0,36,52,6177.0,6469.0
93.0,98.0,52,29,6469.0,6791.0
98.0,101.0,29,50,6791.0,7019.0
101.0,103.0,50,6,7019.0,7113.0
103.0,106.0,6,64,7113.0,7378.0
106.0,110.0,64,62,7378.0,7652.0
110.0,113.0,62,63,7652.0,7860.0
113.0,116.0,63,62,7860.0,8066.0
116.0,120.0,62,36,8066.0,8316.0
120.0,124.0,36,52,8316.0,8608.0
124.0,129.0,52,29,8608.0,8930.0
129.0,132.0,29,50,8930.0,9158.0
132.0,134.0,50,6,9158.0,9252.0
134.0,137.0,6,64,9252.0,9517.0
137.0,141.0,64,62,9517.0,9791.0
141.0,144.0,62,63,9791.0,9999.0
144.0,147.0,63,62,9999.0,10205.0
147.0,151.0,62,36,10205.0,10455.0
151.0,155.0,36,52,10455.0,10747.0
