r,d,t1,t2,s1,s2,n1,n2
0,1,17,22,1,24,664,882
1,0,17,22,1,24,664,882
2,1,17,22,1,24,664,882
3,1,17,22,1,24,664,882
4,0,17,22,1,24,664,882
5,0,17,22,1,24,664,882
6,0,17,22,1,24,664,882
7,0,17,22,1,24,664,882
8,0,17,22,1,24,664,882
9,0,17,22,1,24,664,882
10,0,4,8,6,23,162,335
10,0,8,13,23,4,335,511
10,1,13,17,4,1,511,664
10,0,17,22,1,24,664,882
11,0,4,8,6,23,162,335
11,0,8,13,23,4,335,511
11,1,13,17,4,1,511,664
11,0,17,22,1,24,664,882
12,0,4,8,6,23,162,335
12,0,8,13,23,4,335,511
12,1,13,17,4,1,511,664
12,0,17,22,1,24,664,882
13,0,4,8,6,23,162,335
13,0,8,13,23,4,335,511
13,1,13,17,4,1,511,664
13,0,17,22,1,24,664,882
52,2,9,16,30,5,381,629
52,2,16,23,5,35,629,932
68,2,9,16,30,5,381,629
68,2,16,23,5,35,629,932
73,2,16,23,5,35,629,932
74,2,16,23,5,35,629,932
75,2,16,23,5,35,629,932
76,2,16,23,5,35,629,932
77,2,16,23,5,35,629,932
78,2,16,23,5,35,629,932
79,2,16,23,5,35,629,932
80,2,16,23,5,35,629,932
81,2,16,23,5,35,629,932
82,2,16,23,5,35,629,932
83,2,16,23,5,35,629,932
84,2,16,23,5,35,629,932
85,2,16,23,5,35,629,932
92,2,4,9,20,30,176,381
93,2,4,9,20,30,176,381
94,2,4,9,20,30,176,381
95,2,4,9,20,30,176,381
96,2,4,9,20,30,176,381
97,2,4,9,20,30,176,381
137,2,4,9,20,30,176,381
137,2,9,16,30,5,381,629
138,2,4,9,20,30,176,381
138,2,9,16,30,5,381,629
139,2,4,9,20,30,176,381
139,2,9,16,30,5,381,629
140,2,4,9,20,30,176,381
140,2,9,16,30,5,381,629
141,2,4,9,20,30,176,381
141,2,9,16,30,5,381,629
160,2,0,4,6,20,6,176
161,2,0,4,6,20,6,176
162,2,0,4,6,20,6,176
163,2,0,4,6,20,6,176
164,2,0,4,6,20,6,176
165,2,0,4,6,20,6,176
172,2,0,4,6,20,6,176
172,2,4,9,20,30,176,381
173,1,0,4,20,6,20,162
173,1,4,8,6,23,162,335
173,1,8,13,23,4,335,511
173,1,13,17,4,1,511,664
173,1,17,22,1,24,664,882
174,1,0,4,20,6,20,162
174,1,4,8,6,23,162,335
174,1,8,13,23,4,335,511
174,1,13,17,4,1,511,664
174,1,17,22,1,24,664,882
175,1,0,4,20,6,20,162
175,1,4,8,6,23,162,335
175,1,8,13,23,4,335,511
175,1,13,17,4,1,511,664
175,1,17,22,1,24,664,882
176,1,0,4,20,6,20,162
176,1,4,8,6,23,162,335
176,1,8,13,23,4,335,511
176,1,13,17,4,1,511,664
176,1,17,22,1,24,664,882
177,1,0,4,20,6,20,162
177,1,4,8,6,23,162,335
177,1,8,13,23,4,335,511
177,1,13,17,4,1,511,664
177,1,17,22,1,24,664,882
178,1,0,4,20,6,20,162
178,1,4,8,6,23,162,335
178,1,8,13,23,4,335,511
178,1,13,17,4,1,511,664
178,1,17,22,1,24,664,882
179,1,0,4,20,6,20,162
179,1,4,8,6,23,162,335
179,1,8,13,23,4,335,511
179,1,13,17,4,1,511,664
179,1,17,22,1,24,664,882
180,1,0,4,20,6,20,162
180,1,4,8,6,23,162,335
180,1,8,13,23,4,335,511
180,1,13,17,4,1,511,664
180,1,17,22,1,24,664,882
181,1,0,4,20,6,20,162
181,1,4,8,6,23,162,335
181,1,8,13,23,4,335,511
181,1,13,17,4,1,511,664
181,1,17,22,1,24,664,882
182,1,0,4,20,6,20,162
182,1,4,8,6,23,162,335
182,1,8,13,23,4,335,511
182,1,13,17,4,1,511,664
182,1,17,22,1,24,664,882
183,2,9,16,30,5,381,629
184,2,9,16,30,5,381,629
185,2,9,16,30,5,381,629
186,2,9,16,30,5,381,629
187,2,9,16,30,5,381,629
218,2,0,4,6,20,6,176
218,2,4,9,20,30,176,381
218,2,9,16,30,5,381,629
218,2,16,23,5,35,629,932
232,0,22,26,24,23,882,1037
232,0,26,30,23,6,1037,1176
232,0,30,34,6,20,1176,1346
237,2,0,4,6,20,6,176
237,2,4,9,20,30,176,381
237,2,9,16,30,5,381,629
238,2,0,4,6,20,6,176
238,2,4,9,20,30,176,381
238,2,9,16,30,5,381,629
239,2,0,4,6,20,6,176
239,2,4,9,20,30,176,381
239,2,9,16,30,5,381,629
240,0,13,17,4,1,511,664
240,0,17,22,1,24,664,882
241,0,13,17,4,1,511,664
241,0,17,22,1,24,664,882
242,0,13,17,4,1,511,664
242,0,17,22,1,24,664,882
243,0,13,17,4,1,511,664
243,0,17,22,1,24,664,882
244,0,13,17,4,1,511,664
244,0,17,22,1,24,664,882
264,1,22,26,24,23,882,1037
266,1,0,4,20,6,20,162
266,1,4,8,6,23,162,335
Matching Rate: 0.27715355805243447
