t1,t2,s1,s2,n1,n2
0,4.0,29,8.0,29,284.0
4.0,7.0,8.0,30.0,284.0,513.0
7.0,10.0,30.0,38.0,513.0,728.0
10.0,13.0,38.0,30.0,728.0,927.0
13.0,14.0,30.0,7.0,927.0,973.0
14.0,17.0,7.0,1.0,973.0,1174.0
17.0,22.0,1.0,39.0,1174.0,1557.0
22.0,26.0,39.0,38.0,1557.0,1832.0
26.0,29.0,38.0,30.0,1832.0,2031.0
29.0,32.0,30.0,8.0,2031.0,2216.0
32.0,36.0,8.0,49.0,2216.0,2533.0
36.0,40.0,49.0,29.0,2533.0,2789.0
40.0,44.0,29.0,8.0,2789.0,3044.0
44.0,47.0,8.0,30.0,3044.0,3273.0
47.0,50.0,30.0,38.0,3273.0,3488.0
50.0,53.0,38.0,30.0,3488.0,3687.0
53.0,54.0,30.0,7.0,3687.0,3733.0
54.0,57.0,7.0,1.0,3733.0,3934.0
57.0,62.0,1.0,39.0,3934.0,4317.0
62.0,66.0,39.0,38.0,4317.0,4592.0
66.0,69.0,38.0,30.0,4592.0,4791.0
69.0,72.0,30.0,8.0,4791.0,4976.0
72.0,76.0,8.0,49.0,4976.0,5293.0
76.0,80.0,49.0,29.0,5293.0,5549.0
80.0,84.0,29.0,8.0,5549.0,5804.0
84.0,87.0,8.0,30.0,5804.0,6033.0
87.0,90.0,30.0,38.0,6033.0,6248.0
90.0,93.0,38.0,30.0,6248.0,6447.0
93.0,94.0,30.0,7.0,6447.0,6493.0
94.0,97.0,7.0,1.0,6493.0,6694.0
97.0,102.0,1.0,39.0,6694.0,7077.0
102.0,106.0,39.0,38.0,7077.0,7352.0
106.0,109.0,38.0,30.0,7352.0,7551.0
109.0,112.0,30.0,8.0,7551.0,7736.0
112.0,116.0,8.0,49.0,7736.0,8053.0
116.0,120.0,49.0,29.0,8053.0,8309.0
120.0,124.0,29.0,8.0,8309.0,8564.0
124.0,127.0,8.0,30.0,8564.0,8793.0
127.0,130.0,30.0,38.0,8793.0,9008.0
130.0,133.0,38.0,30.0,9008.0,9207.0
133.0,134.0,30.0,7.0,9207.0,9253.0
134.0,137.0,7.0,1.0,9253.0,9454.0
137.0,142.0,1.0,39.0,9454.0,9837.0
142.0,146.0,39.0,38.0,9837.0,10112.0
146.0,149.0,38.0,30.0,10112.0,10311.0
149.0,152.0,30.0,8.0,10311.0,10496.0
152.0,156.0,8.0,49.0,10496.0,10813.0
156.0,160.0,49.0,29.0,10813.0,11069.0
