r,d,t1,t2,s1,s2,n1,n2
0,1,0,5,1,39,1,384
1,0,35,40,1,39,2416,2799
2,0,35,40,1,39,2416,2799
3,0,35,40,1,39,2416,2799
4,0,35,40,1,39,2416,2799
5,0,35,40,1,39,2416,2799
6,0,35,40,1,39,2416,2799
7,3,22,27,1,39,1519,1902
8,3,22,27,1,39,1519,1902
9,3,22,27,1,39,1519,1902
70,2,38,42,64,62,2686,2960
71,2,38,42,64,62,2686,2960
72,2,38,42,64,62,2686,2960
73,2,38,42,64,62,2686,2960
74,2,38,42,64,62,2686,2960
75,2,38,42,64,62,2686,2960
76,2,38,42,64,62,2686,2960
77,2,38,42,64,62,2686,2960
78,2,38,42,64,62,2686,2960
79,2,38,42,64,62,2686,2960
80,2,38,42,64,62,2686,2960
81,2,38,42,64,62,2686,2960
82,2,38,42,64,62,2686,2960
83,2,9,14,0,29,621,995
83,2,14,19,29,52,995,1363
83,2,19,23,52,50,1363,1637
83,4,23,24,50,50,1637,1706
83,4,24,25,50,50,1706,1775
83,4,25,26,50,50,1775,1844
83,4,26,27,50,50,1844,1913
83,4,27,28,50,50,1913,1982
83,4,28,29,50,50,1982,2051
83,4,29,30,50,50,2051,2120
83,4,30,31,50,50,2120,2189
83,2,31,33,50,6,2189,2283
83,4,33,34,6,6,2283,2352
83,4,34,35,6,6,2352,2421
83,2,35,38,6,64,2421,2686
83,2,38,42,64,62,2686,2960
87,2,9,14,0,29,621,995
87,2,14,19,29,52,995,1363
87,2,19,23,52,50,1363,1637
87,4,23,24,50,50,1637,1706
87,4,24,25,50,50,1706,1775
87,4,25,26,50,50,1775,1844
87,4,26,27,50,50,1844,1913
87,4,27,28,50,50,1913,1982
87,4,28,29,50,50,1982,2051
87,4,29,30,50,50,2051,2120
87,4,30,31,50,50,2120,2189
87,2,31,33,50,6,2189,2283
87,4,33,34,6,6,2283,2352
87,4,34,35,6,6,2352,2421
87,2,35,38,6,64,2421,2686
87,2,38,42,64,62,2686,2960
88,2,9,14,0,29,621,995
88,2,14,19,29,52,995,1363
88,2,19,23,52,50,1363,1637
88,4,23,24,50,50,1637,1706
