r,d,t1,t2,s1,s2,n1,n2
0,1,3,8,1,39,208,591
1,1,3,8,1,39,208,591
2,1,3,8,1,39,208,591
3,1,3,8,1,39,208,591
4,1,3,8,1,39,208,591
5,1,3,8,1,39,208,591
6,1,3,8,1,39,208,591
7,1,3,8,1,39,208,591
8,1,3,8,1,39,208,591
9,1,3,8,1,39,208,591
70,2,18,22,64,62,1306,1580
71,2,18,22,64,62,1306,1580
72,2,18,22,64,62,1306,1580
73,2,18,22,64,62,1306,1580
74,2,18,22,64,62,1306,1580
75,2,18,22,64,62,1306,1580
76,2,18,22,64,62,1306,1580
77,2,18,22,64,62,1306,1580
78,2,18,22,64,62,1306,1580
79,2,18,22,64,62,1306,1580
80,2,18,22,64,62,1306,1580
81,2,18,22,64,62,1306,1580
82,2,18,22,64,62,1306,1580
89,2,4,9,29,52,305,673
90,2,4,9,29,52,305,673
91,2,4,9,29,52,305,673
92,2,4,9,29,52,305,673
93,2,4,9,29,52,305,673
94,2,4,9,29,52,305,673
95,2,4,9,29,52,305,673
95,2,9,13,52,50,673,947
95,2,13,15,50,6,947,1041
95,2,15,18,6,64,1041,1306
95,2,18,22,64,62,1306,1580
96,2,4,9,29,52,305,673
96,2,9,13,52,50,673,947
96,2,13,15,50,6,947,1041
96,2,15,18,6,64,1041,1306
96,2,18,22,64,62,1306,1580
97,2,4,9,29,52,305,673
97,2,9,13,52,50,673,947
97,2,13,15,50,6,947,1041
97,2,15,18,6,64,1041,1306
97,2,18,22,64,62,1306,1580
131,2,4,9,29,52,305,673
131,2,9,13,52,50,673,947
131,2,13,15,50,6,947,1041
131,2,15,18,6,64,1041,1306
132,2,4,9,29,52,305,673
132,2,9,13,52,50,673,947
132,2,13,15,50,6,947,1041
132,2,15,18,6,64,1041,1306
133,2,4,9,29,52,305,673
133,2,9,13,52,50,673,947
133,2,13,15,50,6,947,1041
133,2,15,18,6,64,1041,1306
134,2,4,9,29,52,305,673
134,2,9,13,52,50,673,947
134,2,13,15,50,6,947,1041
134,2,15,18,6,64,1041,1306
135,2,4,9,29,52,305,673
135,2,9,13,52,50,673,947
135,2,13,15,50,6,947,1041
135,2,15,18,6,64,1041,1306
167,2,0,4,8,29,8,305
168,2,0,4,8,29,8,305
169,2,0,4,8,29,8,305
176,2,0,4,8,29,8,305
176,2,4,9,29,52,305,673
177,0,0,4,29,8,29,284
177,0,4,7,8,30,284,513
177,4,7,8,30,30,513,582
177,4,8,9,30,30,582,651
177,4,9,10,30,30,651,720
177,4,10,11,30,30,720,789
177,4,11,12,30,30,789,858
177,4,12,13,30,30,858,927
177,0,13,14,30,7,927,973
177,0,14,17,7,1,973,1174
177,0,17,22,1,39,1174,1557
178,0,0,4,29,8,29,284
178,0,4,7,8,30,284,513
178,4,7,8,30,30,513,582
178,4,8,9,30,30,582,651
178,4,9,10,30,30,651,720
178,4,10,11,30,30,720,789
178,4,11,12,30,30,789,858
178,4,12,13,30,30,858,927
178,0,13,14,30,7,927,973
178,0,14,17,7,1,973,1174
178,0,17,22,1,39,1174,1557
179,0,0,4,29,8,29,284
179,0,4,7,8,30,284,513
179,4,7,8,30,30,513,582
179,4,8,9,30,30,582,651
179,4,9,10,30,30,651,720
179,4,10,11,30,30,720,789
179,4,11,12,30,30,789,858
179,4,12,13,30,30,858,927
179,0,13,14,30,7,927,973
179,0,14,17,7,1,973,1174
179,0,17,22,1,39,1174,1557
180,0,0,4,29,8,29,284
180,0,4,7,8,30,284,513
180,4,7,8,30,30,513,582
180,4,8,9,30,30,582,651
180,4,9,10,30,30,651,720
180,4,10,11,30,30,720,789
180,4,11,12,30,30,789,858
180,4,12,13,30,30,858,927
180,0,13,14,30,7,927,973
180,0,14,17,7,1,973,1174
180,0,17,22,1,39,1174,1557
181,0,0,4,29,8,29,284
181,0,4,7,8,30,284,513
181,4,7,8,30,30,513,582
181,4,8,9,30,30,582,651
181,4,9,10,30,30,651,720
181,4,10,11,30,30,720,789
181,4,11,12,30,30,789,858
181,4,12,13,30,30,858,927
181,0,13,14,30,7,927,973
181,0,14,17,7,1,973,1174
181,0,17,22,1,39,1174,1557
182,0,0,4,29,8,29,284
182,0,4,7,8,30,284,513
182,4,7,8,30,30,513,582
182,4,8,9,30,30,582,651
182,4,9,10,30,30,651,720
182,4,10,11,30,30,720,789
182,4,11,12,30,30,789,858
182,4,12,13,30,30,858,927
182,0,13,14,30,7,927,973
182,0,14,17,7,1,973,1174
182,0,17,22,1,39,1174,1557
183,0,0,4,29,8,29,284
183,0,4,7,8,30,284,513
183,4,7,8,30,30,513,582
183,4,8,9,30,30,582,651
183,4,9,10,30,30,651,720
183,4,10,11,30,30,720,789
183,4,11,12,30,30,789,858
183,4,12,13,30,30,858,927
183,0,13,14,30,7,927,973
183,0,14,17,7,1,973,1174
183,0,17,22,1,39,1174,1557
184,0,0,4,29,8,29,284
184,0,4,7,8,30,284,513
184,4,7,8,30,30,513,582
184,4,8,9,30,30,582,651
184,4,9,10,30,30,651,720
184,4,10,11,30,30,720,789
184,4,11,12,30,30,789,858
184,4,12,13,30,30,858,927
184,0,13,14,30,7,927,973
184,0,14,17,7,1,973,1174
184,0,17,22,1,39,1174,1557
185,0,0,4,29,8,29,284
185,0,4,7,8,30,284,513
185,4,7,8,30,30,513,582
185,4,8,9,30,30,582,651
185,4,9,10,30,30,651,720
185,4,10,11,30,30,720,789
185,4,11,12,30,30,789,858
185,4,12,13,30,30,858,927
185,0,13,14,30,7,927,973
185,0,14,17,7,1,973,1174
185,0,17,22,1,39,1174,1557
186,0,0,4,29,8,29,284
186,0,4,7,8,30,284,513
186,4,7,8,30,30,513,582
186,4,8,9,30,30,582,651
186,4,9,10,30,30,651,720
186,4,10,11,30,30,720,789
186,4,11,12,30,30,789,858
186,4,12,13,30,30,858,927
186,0,13,14,30,7,927,973
186,0,14,17,7,1,973,1174
186,0,17,22,1,39,1174,1557
187,2,9,13,52,50,673,947
187,2,13,15,50,6,947,1041
187,2,15,18,6,64,1041,1306
188,2,9,13,52,50,673,947
188,2,13,15,50,6,947,1041
188,2,15,18,6,64,1041,1306
189,2,9,13,52,50,673,947
189,2,13,15,50,6,947,1041
189,2,15,18,6,64,1041,1306
190,2,9,13,52,50,673,947
190,2,13,15,50,6,947,1041
190,2,15,18,6,64,1041,1306
191,2,9,13,52,50,673,947
191,2,13,15,50,6,947,1041
191,2,15,18,6,64,1041,1306
225,1,22,26,49,29,1567,1823
227,1,8,12,39,38,591,866
227,1,12,15,38,30,866,1065
227,1,15,18,30,8,1065,1250
227,1,18,22,8,49,1250,1567
227,1,22,26,49,29,1567,1823
235,2,0,4,8,29,8,305
235,2,4,9,29,52,305,673
235,2,9,13,52,50,673,947
235,2,13,15,50,6,947,1041
235,2,15,18,6,64,1041,1306
245,1,0,3,7,1,7,208
245,1,3,8,1,39,208,591
246,1,0,3,7,1,7,208
246,1,3,8,1,39,208,591
247,1,0,3,7,1,7,208
247,1,3,8,1,39,208,591
250,0,13,14,30,7,927,973
250,0,14,17,7,1,973,1174
250,0,17,22,1,39,1174,1557
251,0,13,14,30,7,927,973
251,0,14,17,7,1,973,1174
251,0,17,22,1,39,1174,1557
252,0,13,14,30,7,927,973
252,0,14,17,7,1,973,1174
252,0,17,22,1,39,1174,1557
257,0,4,7,8,30,284,513
257,0,7,10,30,38,513,728
257,0,10,13,38,30,728,927
257,0,13,14,30,7,927,973
257,0,14,17,7,1,973,1174
257,0,17,22,1,39,1174,1557
258,0,4,7,8,30,284,513
258,0,7,10,30,38,513,728
258,0,10,13,38,30,728,927
258,0,13,14,30,7,927,973
258,0,14,17,7,1,973,1174
258,0,17,22,1,39,1174,1557
259,0,4,7,8,30,284,513
259,4,7,8,30,30,513,582
259,4,8,9,30,30,582,651
259,4,9,10,30,30,651,720
259,4,10,11,30,30,720,789
259,4,11,12,30,30,789,858
259,4,12,13,30,30,858,927
259,0,13,14,30,7,927,973
259,0,14,17,7,1,973,1174
259,0,17,22,1,39,1174,1557
275,0,22,26,39,38,1557,1832
278,1,26,30,29,8,1823,2078
278,1,30,33,8,30,2078,2307
278,1,33,36,30,38,2307,2522
Matching Rate: 0.25089605734767023
