t1,t2,s1,s2,n1,n2
0,3.0,7,1.0,7,208.0
3.0,8.0,1.0,39.0,208.0,591.0
8.0,12.0,39.0,38.0,591.0,866.0
12.0,15.0,38.0,30.0,866.0,1065.0
15.0,18.0,30.0,8.0,1065.0,1250.0
18.0,22.0,8.0,49.0,1250.0,1567.0
22.0,26.0,49.0,29.0,1567.0,1823.0
26.0,30.0,29.0,8.0,1823.0,2078.0
30.0,33.0,8.0,30.0,2078.0,2307.0
33.0,36.0,30.0,38.0,2307.0,2522.0
36.0,39.0,38.0,30.0,2522.0,2721.0
39.0,40.0,30.0,7.0,2721.0,2767.0
40.0,43.0,7.0,1.0,2767.0,2968.0
43.0,48.0,1.0,39.0,2968.0,3351.0
48.0,52.0,39.0,38.0,3351.0,3626.0
52.0,55.0,38.0,30.0,3626.0,3825.0
55.0,58.0,30.0,8.0,3825.0,4010.0
58.0,62.0,8.0,49.0,4010.0,4327.0
62.0,66.0,49.0,29.0,4327.0,4583.0
66.0,70.0,29.0,8.0,4583.0,4838.0
70.0,73.0,8.0,30.0,4838.0,5067.0
73.0,76.0,30.0,38.0,5067.0,5282.0
76.0,79.0,38.0,30.0,5282.0,5481.0
79.0,80.0,30.0,7.0,5481.0,5527.0
80.0,83.0,7.0,1.0,5527.0,5728.0
83.0,88.0,1.0,39.0,5728.0,6111.0
88.0,92.0,39.0,38.0,6111.0,6386.0
92.0,95.0,38.0,30.0,6386.0,6585.0
95.0,98.0,30.0,8.0,6585.0,6770.0
98.0,102.0,8.0,49.0,6770.0,7087.0
102.0,106.0,49.0,29.0,7087.0,7343.0
106.0,110.0,29.0,8.0,7343.0,7598.0
110.0,113.0,8.0,30.0,7598.0,7827.0
113.0,116.0,30.0,38.0,7827.0,8042.0
116.0,119.0,38.0,30.0,8042.0,8241.0
119.0,120.0,30.0,7.0,8241.0,8287.0
120.0,123.0,7.0,1.0,8287.0,8488.0
123.0,128.0,1.0,39.0,8488.0,8871.0
128.0,132.0,39.0,38.0,8871.0,9146.0
132.0,135.0,38.0,30.0,9146.0,9345.0
135.0,138.0,30.0,8.0,9345.0,9530.0
138.0,142.0,8.0,49.0,9530.0,9847.0
142.0,146.0,49.0,29.0,9847.0,10103.0
146.0,150.0,29.0,8.0,10103.0,10358.0
150.0,153.0,8.0,30.0,10358.0,10587.0
153.0,156.0,30.0,38.0,10587.0,10802.0
156.0,159.0,38.0,30.0,10802.0,11001.0
159.0,160.0,30.0,7.0,11001.0,11047.0
