r,d,t1,t2,s1,s2,n1,n2
2,0,50,53,1,4,3451,3661
2,0,53,55,4,31,3661,3826
2,0,55,60,31,29,3826,4169
9,0,35,41,2,24,2417,2853
10,0,35,41,2,24,2417,2853
12,0,53,55,4,31,3661,3826
12,0,55,60,31,29,3826,4169
33,0,15,19,13,16,1048,1327
33,0,19,23,16,17,1327,1604
34,0,15,19,13,16,1048,1327
34,0,19,23,16,17,1327,1604
34,0,23,26,17,20,1604,1814
34,0,26,31,20,21,1814,2160
34,0,31,35,21,2,2160,2417
34,0,35,41,2,24,2417,2853
42,0,19,23,16,17,1327,1604
42,0,23,26,17,20,1604,1814
44,0,19,23,16,17,1327,1604
44,0,23,26,17,20,1604,1814
44,0,26,31,20,21,1814,2160
44,0,31,35,21,2,2160,2417
44,0,35,41,2,24,2417,2853
45,0,19,23,16,17,1327,1604
45,0,23,26,17,20,1604,1814
45,0,26,31,20,21,1814,2160
45,0,31,35,21,2,2160,2417
45,0,35,41,2,24,2417,2853
45,0,41,50,24,1,2853,3451
45,0,50,53,1,4,3451,3661
45,0,53,55,4,31,3661,3826
45,0,55,60,31,29,3826,4169
62,0,26,31,20,21,1814,2160
63,0,26,31,20,21,1814,2160
64,0,26,31,20,21,1814,2160
64,0,31,35,21,2,2160,2417
64,0,35,41,2,24,2417,2853
88,0,41,50,24,1,2853,3451
114,0,0,5,29,52,29,397
122,0,55,60,31,29,3826,4169
170,0,5,11,52,62,397,821
170,0,11,15,62,13,821,1048
170,0,15,19,13,16,1048,1327
170,0,19,23,16,17,1327,1604
171,0,5,11,52,62,397,821
171,0,11,15,62,13,821,1048
171,0,15,19,13,16,1048,1327
171,0,19,23,16,17,1327,1604
173,0,5,11,52,62,397,821
173,0,11,15,62,13,821,1048
173,0,15,19,13,16,1048,1327
173,0,19,23,16,17,1327,1604
173,0,23,26,17,20,1604,1814
173,0,26,31,20,21,1814,2160
174,0,5,11,52,62,397,821
174,0,11,15,62,13,821,1048
174,0,15,19,13,16,1048,1327
174,0,19,23,16,17,1327,1604
174,0,23,26,17,20,1604,1814
174,0,26,31,20,21,1814,2160
175,0,5,11,52,62,397,821
175,0,11,15,62,13,821,1048
175,0,15,19,13,16,1048,1327
175,0,19,23,16,17,1327,1604
175,0,23,26,17,20,1604,1814
175,0,26,31,20,21,1814,2160
176,0,5,11,52,62,397,821
176,0,11,15,62,13,821,1048
176,0,15,19,13,16,1048,1327
176,0,19,23,16,17,1327,1604
176,0,23,26,17,20,1604,1814
176,0,26,31,20,21,1814,2160
177,0,5,11,52,62,397,821
177,0,11,15,62,13,821,1048
177,0,15,19,13,16,1048,1327
177,0,19,23,16,17,1327,1604
177,0,23,26,17,20,1604,1814
177,0,26,31,20,21,1814,2160
178,0,5,11,52,62,397,821
178,0,11,15,62,13,821,1048
178,0,15,19,13,16,1048,1327
178,0,19,23,16,17,1327,1604
178,0,23,26,17,20,1604,1814
178,0,26,31,20,21,1814,2160
Matching Rate: 0.10648148148148148
