zone_id,indegree,outdegree,total,net
0,2,1,3,1
1,10,5,15,5
2,0,5,5,5
3,0,0,0,0
4,0,4,4,4
5,5,4,9,1
6,1,5,6,4
7,1,3,4,2
8,3,2,5,1
9,0,1,1,1
10,1,3,4,2
11,0,0,0,0
12,0,0,0,0
13,3,2,5,1
14,0,0,0,0
15,0,7,7,7
16,6,7,13,1
17,7,0,7,7
18,22,0,22,22
19,4,11,15,7
20,11,10,21,1
21,10,3,13,7
22,2,13,15,11
23,0,2,2,2
24,10,2,12,8
25,0,10,10,10
26,1,8,9,7
27,4,0,4,4
28,0,6,6,6
29,13,7,20,6
30,0,1,1,1
31,0,1,1,1
32,3,4,7,1
33,0,7,7,7
34,1,1,2,0
35,1,1,2,0
36,5,1,6,4
37,0,2,2,2
38,1,0,1,1
39,20,3,23,17
40,0,1,1,1
41,2,3,5,1
42,0,2,2,2
43,3,2,5,1
44,1,4,5,3
45,17,0,17,17
46,0,5,5,5
47,5,0,5,5
48,3,2,5,1
49,0,4,4,4
50,2,3,5,1
51,0,2,2,2
52,9,10,19,1
53,3,10,13,7
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,4,1,5,3
58,8,0,8,8
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,4,1,5,3
63,1,1,2,0
64,1,1,2,0
65,2,1,3,1
66,4,6,10,2
67,0,12,12,12
68,0,3,3,3
