r,d,t1,t2,s1,s2,n1,n2
0,5,66,71,1,39,4555,4938
1,4,22,27,1,39,1519,1902
2,4,22,27,1,39,1519,1902
3,4,22,27,1,39,1519,1902
4,4,22,27,1,39,1519,1902
5,4,22,27,1,39,1519,1902
6,4,22,27,1,39,1519,1902
7,5,66,71,1,39,4555,4938
8,5,66,71,1,39,4555,4938
9,5,66,71,1,39,4555,4938
48,3,95,99,52,50,6607,6881
48,3,99,101,50,6,6881,6975
48,2,101,102,6,6,6975,7044
48,8,102,103,6,6,7044,7113
48,3,103,106,6,64,7113,7378
48,3,106,110,64,62,7378,7652
49,3,95,99,52,50,6607,6881
49,3,99,101,50,6,6881,6975
49,8,101,102,6,6,6975,7044
49,8,102,103,6,6,7044,7113
49,3,103,106,6,64,7113,7378
49,3,106,110,64,62,7378,7652
51,3,95,99,52,50,6607,6881
51,3,99,101,50,6,6881,6975
51,8,101,102,6,6,6975,7044
51,8,102,103,6,6,7044,7113
51,3,103,106,6,64,7113,7378
51,3,106,110,64,62,7378,7652
52,3,95,99,52,50,6607,6881
52,3,99,101,50,6,6881,6975
52,2,101,102,6,6,6975,7044
52,8,102,103,6,6,7044,7113
52,3,103,106,6,64,7113,7378
52,3,106,110,64,62,7378,7652
54,3,95,99,52,50,6607,6881
54,3,99,101,50,6,6881,6975
54,2,101,102,6,6,6975,7044
54,8,102,103,6,6,7044,7113
54,3,103,106,6,64,7113,7378
54,3,106,110,64,62,7378,7652
55,2,27,31,52,50,1915,2189
55,2,31,33,50,6,2189,2283
55,2,33,34,6,6,2283,2352
55,2,34,35,6,6,2352,2421
55,2,35,38,6,64,2421,2686
55,2,38,42,64,62,2686,2960
56,3,95,99,52,50,6607,6881
56,3,99,101,50,6,6881,6975
56,8,101,102,6,6,6975,7044
56,8,102,103,6,6,7044,7113
56,3,103,106,6,64,7113,7378
56,3,106,110,64,62,7378,7652
57,3,95,99,52,50,6607,6881
57,3,99,101,50,6,6881,6975
57,2,101,102,6,6,6975,7044
57,8,102,103,6,6,7044,7113
57,3,103,106,6,64,7113,7378
57,3,106,110,64,62,7378,7652
60,3,95,99,52,50,6607,6881
60,3,99,101,50,6,6881,6975
60,2,101,102,6,6,6975,7044
60,8,102,103,6,6,7044,7113
