t1,t2,s1,s2,n1,n2
0,5.0,1,39.0,1,384.0
5.0,6.0,39.0,39.0,384.0,453.0
6.0,7.0,39.0,39.0,453.0,522.0
7.0,8.0,39.0,39.0,522.0,591.0
8.0,9.0,39.0,39.0,591.0,660.0
9.0,14.0,39.0,30.0,660.0,996.0
14.0,17.0,30.0,8.0,996.0,1181.0
17.0,21.0,8.0,49.0,1181.0,1498.0
21.0,25.0,49.0,29.0,1498.0,1754.0
25.0,26.0,29.0,29.0,1754.0,1823.0
26.0,27.0,29.0,29.0,1823.0,1892.0
27.0,28.0,29.0,29.0,1892.0,1961.0
28.0,29.0,29.0,29.0,1961.0,2030.0
29.0,30.0,29.0,29.0,2030.0,2099.0
30.0,31.0,29.0,29.0,2099.0,2168.0
31.0,36.0,29.0,31.0,2168.0,2515.0
36.0,38.0,31.0,30.0,2515.0,2652.0
38.0,41.0,30.0,8.0,2652.0,2837.0
41.0,44.0,8.0,30.0,2837.0,3066.0
44.0,47.0,30.0,38.0,3066.0,3281.0
47.0,51.0,38.0,39.0,3281.0,3558.0
51.0,56.0,39.0,1.0,3558.0,3865.0
56.0,61.0,1.0,39.0,3865.0,4248.0
61.0,62.0,39.0,39.0,4248.0,4317.0
62.0,63.0,39.0,39.0,4317.0,4386.0
63.0,64.0,39.0,39.0,4386.0,4455.0
64.0,65.0,39.0,39.0,4455.0,4524.0
65.0,70.0,39.0,30.0,4524.0,4860.0
70.0,73.0,30.0,8.0,4860.0,5045.0
73.0,77.0,8.0,49.0,5045.0,5362.0
77.0,81.0,49.0,29.0,5362.0,5618.0
81.0,82.0,29.0,29.0,5618.0,5687.0
82.0,83.0,29.0,29.0,5687.0,5756.0
83.0,84.0,29.0,29.0,5756.0,5825.0
84.0,85.0,29.0,29.0,5825.0,5894.0
85.0,86.0,29.0,29.0,5894.0,5963.0
86.0,87.0,29.0,29.0,5963.0,6032.0
87.0,92.0,29.0,31.0,6032.0,6379.0
92.0,94.0,31.0,30.0,6379.0,6516.0
94.0,97.0,30.0,8.0,6516.0,6701.0
97.0,100.0,8.0,30.0,6701.0,6930.0
100.0,103.0,30.0,38.0,6930.0,7145.0
103.0,107.0,38.0,39.0,7145.0,7422.0
107.0,112.0,39.0,1.0,7422.0,7729.0
112.0,117.0,1.0,39.0,7729.0,8112.0
117.0,118.0,39.0,39.0,8112.0,8181.0
118.0,119.0,39.0,39.0,8181.0,8250.0
119.0,120.0,39.0,39.0,8250.0,8319.0
120.0,121.0,39.0,39.0,8319.0,8388.0
121.0,126.0,39.0,30.0,8388.0,8724.0
126.0,129.0,30.0,8.0,8724.0,8909.0
129.0,133.0,8.0,49.0,8909.0,9226.0
133.0,137.0,49.0,29.0,9226.0,9482.0
137.0,138.0,29.0,29.0,9482.0,9551.0
138.0,139.0,29.0,29.0,9551.0,9620.0
139.0,140.0,29.0,29.0,9620.0,9689.0
140.0,141.0,29.0,29.0,9689.0,9758.0
141.0,142.0,29.0,29.0,9758.0,9827.0
142.0,143.0,29.0,29.0,9827.0,9896.0
143.0,148.0,29.0,31.0,9896.0,10243.0
148.0,150.0,31.0,30.0,10243.0,10380.0
150.0,153.0,30.0,8.0,10380.0,10565.0
153.0,156.0,8.0,30.0,10565.0,10794.0
156.0,159.0,30.0,38.0,10794.0,11009.0
159.0,163.0,38.0,39.0,11009.0,11286.0
163.0,168.0,39.0,1.0,11286.0,11593.0
