t1,t2,s1,s2,n1,n2
0.0,6.0,39,45,39.0,459.0
6.0,12.0,45,39,459.0,867.0
12.0,17.0,39,1,867.0,1174.0
17.0,22.0,1,39,1174.0,1557.0
22.0,28.0,39,45,1557.0,1977.0
28.0,34.0,45,39,1977.0,2385.0
34.0,39.0,39,1,2385.0,2692.0
39.0,44.0,1,39,2692.0,3075.0
44.0,50.0,39,45,3075.0,3495.0
50.0,56.0,45,39,3495.0,3903.0
56.0,61.0,39,1,3903.0,4210.0
61.0,66.0,1,39,4210.0,4593.0
66.0,72.0,39,45,4593.0,5013.0
72.0,78.0,45,39,5013.0,5421.0
78.0,83.0,39,1,5421.0,5728.0
83.0,88.0,1,39,5728.0,6111.0
88.0,94.0,39,45,6111.0,6531.0
94.0,100.0,45,39,6531.0,6939.0
100.0,105.0,39,1,6939.0,7246.0
105.0,110.0,1,39,7246.0,7629.0
110.0,116.0,39,45,7629.0,8049.0
116.0,122.0,45,39,8049.0,8457.0
122.0,127.0,39,1,8457.0,8764.0
127.0,132.0,1,39,8764.0,9147.0
132.0,138.0,39,45,9147.0,9567.0
138.0,144.0,45,39,9567.0,9975.0
144.0,149.0,39,1,9975.0,10282.0
149.0,154.0,1,39,10282.0,10665.0
154.0,160.0,39,45,10665.0,11085.0
160.0,166.0,45,39,11085.0,11493.0
166.0,171.0,39,1,11493.0,11800.0
171.0,176.0,1,39,11800.0,12183.0
