t1,t2,s1,s2,n1,n2
3,26,18,21,87,619
26,27,21,21,619,642
27,28,21,21,642,665
28,29,21,21,665,688
29,30,21,21,688,711
30,31,21,21,711,734
31,32,21,21,734,757
32,33,21,21,757,780
33,34,21,21,780,803
34,35,21,21,803,826
35,36,21,21,826,849
36,37,21,21,849,872
37,38,21,21,872,895
38,39,21,21,895,918
39,40,21,21,918,941
40,63,21,18,941,1467
63,86,18,21,1467,1999
86,87,21,21,1999,2022
87,88,21,21,2022,2045
88,89,21,21,2045,2068
89,90,21,21,2068,2091
90,91,21,21,2091,2114
91,92,21,21,2114,2137
92,93,21,21,2137,2160
93,94,21,21,2160,2183
94,95,21,21,2183,2206
95,96,21,21,2206,2229
96,97,21,21,2229,2252
97,98,21,21,2252,2275
98,99,21,21,2275,2298
99,100,21,21,2298,2321
100,123,21,18,2321,2847
123,146,18,21,2847,3379
146,147,21,21,3379,3402
147,148,21,21,3402,3425
148,149,21,21,3425,3448
149,150,21,21,3448,3471
150,151,21,21,3471,3494
151,152,21,21,3494,3517
152,153,21,21,3517,3540
153,154,21,21,3540,3563
154,155,21,21,3563,3586
155,156,21,21,3586,3609
156,157,21,21,3609,3632
157,158,21,21,3632,3655
158,159,21,21,3655,3678
159,160,21,21,3678,3701
160,183,21,18,3701,4227
