r,d
32,0
33,0
34,0
35,0
108,0
109,0
116,0
117,0
119,0
169,0
611,0
622,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
640,0
139,1
593,1
633,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
694,1
695,1
711,1
723,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
139,2
452,2
453,2
612,2
613,2
619,2
620,2
633,2
682,2
683,2
684,2
685,2
686,2
687,2
688,2
689,2
690,2
691,2
692,2
723,2
734,2
103,3
104,3
105,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
171,3
172,3
173,3
174,3
625,3
627,3
628,3
631,3
632,3
639,3
640,3
Matching Rate: 0.09473684210526316
