r,d,t1,t2,s1,s2,n1,n2
32,0,9,14,1,24,352,570
33,0,9,14,1,24,352,570
33,0,14,20,24,28,570,808
34,0,9,14,1,24,352,570
34,0,14,20,24,28,570,808
35,0,9,14,1,24,352,570
35,0,14,20,24,28,570,808
103,3,31,36,4,6,1213,1410
104,3,31,36,4,6,1213,1410
104,3,36,40,6,20,1410,1580
105,3,9,14,4,24,355,570
107,3,9,14,4,24,355,570
107,3,14,20,24,28,570,808
108,3,9,14,4,24,355,570
108,0,14,20,24,28,570,808
109,3,9,14,4,24,355,570
109,0,14,20,24,28,570,808
110,3,9,14,4,24,355,570
110,3,14,20,24,28,570,808
111,3,9,14,4,24,355,570
111,3,14,20,24,28,570,808
112,3,9,14,4,24,355,570
112,3,14,20,24,28,570,808
113,3,9,14,4,24,355,570
113,3,14,20,24,28,570,808
114,3,9,14,4,24,355,570
114,3,14,20,24,28,570,808
115,3,9,14,4,24,355,570
115,3,14,20,24,28,570,808
116,3,9,14,4,24,355,570
116,0,14,20,24,28,570,808
117,3,9,14,4,24,355,570
117,0,14,20,24,28,570,808
118,3,9,14,4,24,355,570
118,3,14,20,24,28,570,808
119,3,9,14,4,24,355,570
119,0,14,20,24,28,570,808
120,3,9,14,4,24,355,570
120,3,14,20,24,28,570,808
121,3,9,14,4,24,355,570
121,3,14,20,24,28,570,808
139,2,10,17,5,36,395,699
139,1,17,21,36,35,699,854
139,1,21,28,35,30,854,1122
139,1,28,35,30,31,1122,1396
169,0,36,40,6,20,1410,1580
171,3,4,9,6,4,162,355
171,3,9,14,4,24,355,570
172,3,4,9,6,4,162,355
172,3,9,14,4,24,355,570
172,3,14,20,24,28,570,808
173,3,4,9,6,4,162,355
173,3,9,14,4,24,355,570
173,3,14,20,24,28,570,808
174,3,4,9,6,4,162,355
174,3,9,14,4,24,355,570
174,3,14,20,24,28,570,808
452,2,23,31,15,1,912,1210
453,2,23,31,15,1,912,1210
593,1,0,5,20,30,20,225
611,0,6,9,21,1,255,352
612,2,6,10,21,5,255,395
613,2,6,10,21,5,255,395
619,2,6,10,21,5,255,395
619,2,10,17,5,36,395,699
619,2,17,23,36,15,699,912
620,2,6,10,21,5,255,395
620,2,10,17,5,36,395,699
620,2,17,23,36,15,699,912
622,0,6,9,21,1,255,352
622,0,9,14,1,24,352,570
624,0,6,9,21,1,255,352
624,0,9,14,1,24,352,570
624,0,14,20,24,28,570,808
624,0,20,25,28,3,808,978
624,0,25,27,3,26,978,1079
625,0,6,9,21,1,255,352
625,0,9,14,1,24,352,570
625,3,14,20,24,28,570,808
625,0,20,25,28,3,808,978
625,0,25,27,3,26,978,1079
626,0,6,9,21,1,255,352
626,0,9,14,1,24,352,570
626,0,14,20,24,28,570,808
626,0,20,25,28,3,808,978
626,0,25,27,3,26,978,1079
627,0,6,9,21,1,255,352
627,0,9,14,1,24,352,570
627,3,14,20,24,28,570,808
627,0,20,25,28,3,808,978
627,0,25,27,3,26,978,1079
628,0,6,9,21,1,255,352
628,0,9,14,1,24,352,570
628,3,14,20,24,28,570,808
629,0,6,9,21,1,255,352
629,0,9,14,1,24,352,570
629,0,14,20,24,28,570,808
630,0,6,9,21,1,255,352
630,0,9,14,1,24,352,570
630,0,14,20,24,28,570,808
631,0,6,9,21,1,255,352
631,0,9,14,1,24,352,570
631,3,14,20,24,28,570,808
632,0,6,9,21,1,255,352
632,0,9,14,1,24,352,570
632,3,14,20,24,28,570,808
633,2,6,10,21,5,255,395
633,2,10,17,5,36,395,699
633,1,17,21,36,35,699,854
639,3,26,31,24,4,1038,1213
639,3,31,36,4,6,1213,1410
640,3,14,20,24,28,570,808
640,0,20,25,28,3,808,978
640,0,25,27,3,26,978,1079
682,1,6,13,30,35,264,542
682,1,13,17,35,36,542,699
682,2,17,23,36,15,699,912
683,1,6,13,30,35,264,542
683,1,13,17,35,36,542,699
683,2,17,23,36,15,699,912
684,1,6,13,30,35,264,542
684,1,13,17,35,36,542,699
684,2,17,23,36,15,699,912
685,1,6,13,30,35,264,542
685,1,13,17,35,36,542,699
685,2,17,23,36,15,699,912
686,1,6,13,30,35,264,542
686,1,13,17,35,36,542,699
686,2,17,23,36,15,699,912
687,1,6,13,30,35,264,542
687,1,13,17,35,36,542,699
687,2,17,23,36,15,699,912
688,1,6,13,30,35,264,542
688,1,13,17,35,36,542,699
688,2,17,23,36,15,699,912
689,1,6,13,30,35,264,542
689,1,13,17,35,36,542,699
689,2,17,23,36,15,699,912
690,1,6,13,30,35,264,542
690,1,13,17,35,36,542,699
690,2,17,23,36,15,699,912
691,1,6,13,30,35,264,542
691,1,13,17,35,36,542,699
691,2,17,23,36,15,699,912
692,1,6,13,30,35,264,542
692,1,13,17,35,36,542,699
692,2,17,23,36,15,699,912
694,1,28,35,30,31,1122,1396
695,1,28,35,30,31,1122,1396
711,1,36,40,31,20,1435,1580
723,1,13,17,35,36,542,699
723,2,17,23,36,15,699,912
723,2,23,31,15,1,912,1210
734,2,17,23,36,15,699,912
741,1,17,21,36,35,699,854
741,1,21,28,35,30,854,1122
741,1,28,35,30,31,1122,1396
742,1,17,21,36,35,699,854
742,1,21,28,35,30,854,1122
742,1,28,35,30,31,1122,1396
743,1,17,21,36,35,699,854
743,1,21,28,35,30,854,1122
743,1,28,35,30,31,1122,1396
744,1,17,21,36,35,699,854
744,1,21,28,35,30,854,1122
744,1,28,35,30,31,1122,1396
745,1,17,21,36,35,699,854
745,1,21,28,35,30,854,1122
745,1,28,35,30,31,1122,1396
746,1,17,21,36,35,699,854
746,1,21,28,35,30,854,1122
746,1,28,35,30,31,1122,1396
747,1,17,21,36,35,699,854
747,1,21,28,35,30,854,1122
747,1,28,35,30,31,1122,1396
Matching Rate: 0.09473684210526316
