t1,t2,s1,s2,n1,n2
0,5.0,20,30.0,20,225.0
5,6.0,30,30.0,225,264.0
6,13.0,30,35.0,264,542.0
13,17.0,35,36.0,542,699.0
17,21.0,36,35.0,699,854.0
21,28.0,35,30.0,854,1122.0
28,35.0,30,31.0,1122,1396.0
35,36.0,31,31.0,1396,1435.0
36,40.0,31,20.0,1435,1580.0
40,45.0,20,30.0,1580,1785.0
45,46.0,30,30.0,1785,1824.0
46,53.0,30,35.0,1824,2102.0
53,57.0,35,36.0,2102,2259.0
57,61.0,36,35.0,2259,2414.0
61,68.0,35,30.0,2414,2682.0
68,75.0,30,31.0,2682,2956.0
75,76.0,31,31.0,2956,2995.0
76,80.0,31,20.0,2995,3140.0
80,85.0,20,30.0,3140,3345.0
85,86.0,30,30.0,3345,3384.0
86,93.0,30,35.0,3384,3662.0
93,97.0,35,36.0,3662,3819.0
97,101.0,36,35.0,3819,3974.0
101,108.0,35,30.0,3974,4242.0
108,115.0,30,31.0,4242,4516.0
115,116.0,31,31.0,4516,4555.0
116,120.0,31,20.0,4555,4700.0
120,125.0,20,30.0,4700,4905.0
125,126.0,30,30.0,4905,4944.0
126,133.0,30,35.0,4944,5222.0
133,137.0,35,36.0,5222,5379.0
137,141.0,36,35.0,5379,5534.0
141,148.0,35,30.0,5534,5802.0
148,155.0,30,31.0,5802,6076.0
155,156.0,31,31.0,6076,6115.0
156,160.0,31,20.0,6115,6260.0
