t1,t2,s1,s2,n1,n2
0.0,2.0,31,4,31.0,142.0
2.0,5.0,4,30,142.0,375.0
5.0,6.0,30,7,375.0,421.0
6.0,10.0,7,39,421.0,729.0
10.0,16.0,39,45,729.0,1149.0
16.0,21.0,45,3,1149.0,1452.0
21.0,24.0,3,38,1452.0,1694.0
24.0,27.0,38,65,1694.0,1928.0
27.0,30.0,65,49,1928.0,2119.0
30.0,34.0,49,29,2119.0,2375.0
34.0,38.0,29,8,2375.0,2630.0
38.0,40.0,8,31,2630.0,2791.0
40.0,42.0,31,4,2791.0,2902.0
42.0,45.0,4,30,2902.0,3135.0
45.0,46.0,30,7,3135.0,3181.0
46.0,50.0,7,39,3181.0,3489.0
50.0,56.0,39,45,3489.0,3909.0
56.0,61.0,45,3,3909.0,4212.0
61.0,64.0,3,38,4212.0,4454.0
64.0,67.0,38,65,4454.0,4688.0
67.0,70.0,65,49,4688.0,4879.0
70.0,74.0,49,29,4879.0,5135.0
74.0,78.0,29,8,5135.0,5390.0
78.0,80.0,8,31,5390.0,5551.0
80.0,82.0,31,4,5551.0,5662.0
82.0,85.0,4,30,5662.0,5895.0
85.0,86.0,30,7,5895.0,5941.0
86.0,90.0,7,39,5941.0,6249.0
90.0,96.0,39,45,6249.0,6669.0
96.0,101.0,45,3,6669.0,6972.0
101.0,104.0,3,38,6972.0,7214.0
104.0,107.0,38,65,7214.0,7448.0
107.0,110.0,65,49,7448.0,7639.0
110.0,114.0,49,29,7639.0,7895.0
114.0,118.0,29,8,7895.0,8150.0
118.0,120.0,8,31,8150.0,8311.0
120.0,122.0,31,4,8311.0,8422.0
122.0,125.0,4,30,8422.0,8655.0
125.0,126.0,30,7,8655.0,8701.0
126.0,130.0,7,39,8701.0,9009.0
130.0,136.0,39,45,9009.0,9429.0
136.0,141.0,45,3,9429.0,9732.0
141.0,144.0,3,38,9732.0,9974.0
144.0,147.0,38,65,9974.0,10208.0
147.0,150.0,65,49,10208.0,10399.0
150.0,154.0,49,29,10399.0,10655.0
154.0,158.0,29,8,10655.0,10910.0
158.0,160.0,8,31,10910.0,11071.0
