"emp1","emp2","emp3","emp4","emp5"
100,100,100,100,100
2925,1895,930,760,985
1400,1715,1715,985,1125
100,352,481,17,163
1875,985,1875,690,490
985,875,1715,905,915
905,1715,720,1715,1495
1495,1335,1510,715,905
1510,875,720,875,1895
1335,1510,875,985,955
1510,720,985,1895,905
490,490,1875,985,440
279,769,17,100,17
1725,609,100,335,17
905,1380,985,435,1715
340,590,985,875,435
340,875,905,340,955
124,1318,32,100,676
985,1895,1405,655,910
955,930,1125,875,985
720,955,930,720,630
630,930,590,1495,1510
630,930,655,720,655
655,930,1405,1335,1510
955,1715,1380,1715,905
298,93,447,100,163
720,1335,1125,1125,1875
13,90,100,159,291
70,452,632,100,13
740,985,930,655,655
1400,945,985,690,955
655,655,1715,930,1950
690,1400,1400,955,1090
1380,660,1875,1715,855
1715,855,955,580,855
415,985,660,580,1715
435,1380,1715,1380,590
100,100,100,100,100
100,100,100,100,100
1125,655,1715,985,1125
100,100,100,100,100
915,740,1380,875,1715
905,1400,985,1720,1065
1400,1875,905,1805,415
1380,1065,985,715,415
1400,1040,1065,1715,715
1065,985,1380,715,1400
655,1510,985,1125,715
1095,715,655,655,1125
1720,1090,415,1090,715
415,1040,1400,1380,1400
1510,1040,1720,1875,1720
985,340,1380,985,915
1380,985,985,1715,875
1380,690,1065,690,1720
715,1065,1875,1040,1715
1040,1090,1875,2350,985
1875,1400,985,1805,2350
875,1495,1510,1335,985
1125,715,985,905,1875
905,435,875,915,1715
985,1715,905,985,955
435,590,955,1715,340
1510,860,1875,1875,1090
1095,1195,1895,1125,565
690,715,1090,340,740
1065,845,1875,1065,1095
1090,1195,1510,1805,655
1560,1875,1065,690,1715
340,845,1145,1875,1195
955,875,1895,1875,655
720,930,1895,1125,1335
1875,930,875,715,1125
1495,930,715,590,720
100,152,211,203,56
985,740,630,1000,1875
985,1510,1895,1895,700
1510,1510,1715,985,700
655,700,1895,1715,985
1715,1895,985,1510,700
1715,1715,1510,655,700
700,1510,655,1715,985
1510,985,1715,700,1715
1715,1510,655,1895,1510
690,1495,1895,740,1875
1875,845,1875,1715,1510
1805,1875,845,1875,1065
875,1510,690,1510,1145
1090,1875,1510,690,1715
690,1195,1510,860,630
565,690,1875,1095,565
1875,1875,2350,905,675
905,1510,690,1875,985
1045,930,955,930,1540
17,17,271,100,93
1125,660,985,1065,1090
650,955,930,1715,1510
650,650,655,955,930
655,1895,1510,1095,845
1510,630,1875,740,955
740,1715,1495,630,690
1560,1090,715,1875,1065
715,875,1510,340,1145
1560,1715,715,715,690
1095,1495,1560,845,715
875,565,1510,1510,655
690,1510,740,1895,340
715,1715,1495,655,985
1145,985,1125,955,985
1895,715,1715,1510,955
1510,715,715,955,985
985,530,1875,1380,1125
985,655,985,1380,590
955,590,1090,1715,655
985,655,1090,985,1125
1040,1875,590,1715,1125
655,1715,1380,655,1065
1125,650,1380,1380,985
1380,955,930,530,650
675,660,985,585,565
675,660,585,585,565
675,660,985,660,565
675,660,985,585,565
955,1495,930,1875,590
1510,985,1090,1875,955
1510,930,740,1875,1510
565,660,985,585,565
675,660,985,565,565
675,660,985,585,565
675,660,985,565,565
875,740,985,875,905
655,655,1215,985,1895
655,1895,985,1215,725
1065,1125,1125,1720,1875
1065,905,1720,1405,1125
985,745,930,2925,2925
1040,760,930,2925,985
1495,590,1090,590,1510
1875,1495,985,955,590
1090,1875,1510,985,740
930,1895,1090,435,930
1090,930,655,1895,655
655,655,1090,660,740
910,930,745,1040,655
1405,930,690,1715,1095
1715,1405,675,1495,1540
520,585,1045,1895,985
1065,655,1715,1950,1495
985,955,1090,650,530
1875,1805,1065,1875,1720
1875,1090,1125,1040,1405
1875,1875,1510,740,1025
1510,655,740,1895,1510
1040,1895,985,655,1510
1895,1040,1510,1875,655
1040,740,1875,1025,1510
655,740,1875,1875,985
985,655,1025,740,1875
1875,1510,1875,655,1040
660,740,1510,985,1540
590,655,660,1125,1875
440,435,1495,985,655
1215,725,985,1895,655
725,655,1215,725,1510
1000,660,1125,675,740
955,1000,590,1495,1125
1125,1065,985,690,1875
760,1040,985,760,985
930,760,1040,1040,680
930,1040,760,680,655
745,985,930,760,910
1040,1720,1805,1805,1065
1720,1065,1040,1720,1405
100,100,100,100,100
13,70,676,100,143
100,100,100,100,100
1510,1405,985,1125,1495
1125,1065,690,905,1875
1270,1875,1125,1405,655
1065,1875,930,1125,1380
1875,1065,655,1380,1090
1040,1715,1040,590,530
1065,530,930,1040,655
1510,955,690,1805,1950
740,930,1405,1875,985
100,3,291,271,143
105,4158,1716,100,279
100,185,56,102,13
1510,985,985,715,930
930,715,715,985,1510
1510,905,715,985,955
715,905,715,955,930
690,655,1125,1125,985
985,490,690,1125,655
930,655,1875,985,1380
655,985,1380,1090,985
1090,655,1380,930,930
985,930,655,930,1090
1065,1715,985,1715,650
650,1125,1715,1715,955
1715,1715,650,1090,1065
1715,1715,985,955,1090
93,69,100,211,70
13,100,93,6,102
2975,193,100,20,271
690,905,985,655,1090
1875,985,655,985,1125
930,1065,1065,1045,435
955,1895,1405,715,2350
910,655,1875,1095,930
630,1125,655,1495,1510
1405,985,1125,655,630
655,490,1125,1715,985
725,1215,1510,1510,985
1065,930,985,1715,1125
985,985,1715,1065,930
1065,700,1125,985,1065
955,1875,1875,1065,580
715,655,1065,1895,580
1715,1715,930,715,700
1715,1715,1065,700,985
985,1125,1065,650,955
1270,905,985,905,1875
715,1125,930,715,985
590,985,1495,1510,1875
955,1495,1510,955,985
1215,985,1510,655,725
550,1195,1125,740,580
1040,1125,985,580,985
550,1875,1195,985,1125
1125,565,1875,340,740
985,820,985,1195,1125
565,985,1195,985,1875
1195,1095,1875,550,1095
340,565,1195,985,1875
985,1065,955,955,650
1875,985,930,930,1510
1510,930,1090,590,740
1875,1065,1875,1495,1895
1875,955,1875,1495,655
1895,1090,1065,715,1875
985,985,1040,1095,820
1095,1125,340,985,740
655,955,580,930,655
655,655,650,955,1510
1125,565,985,955,985
565,1125,550,985,820
985,1095,585,1875,565
930,930,905,985,1510
905,985,715,905,955
655,655,1510,1065,630
715,655,655,1875,630
1875,715,1875,1065,630
1875,1095,555,340,930
1875,930,1195,555,1715
955,340,1040,955,585
1875,1095,955,1195,1095
655,1510,1875,630,715
655,1875,1510,1090,1090
715,655,1875,1090,630
1510,1875,1510,715,655
715,1065,1510,715,655
1065,1510,1090,630,655
1090,1090,1510,655,630
655,1875,715,630,1065
1090,1875,1510,630,715
715,1090,655,1090,1510
1090,655,715,630,715
1095,740,1065,955,905
1875,1095,655,740,590
675,655,1125,1510,1000
675,1065,985,630,1000
1000,1510,675,675,1125
1125,590,1540,590,1510
760,745,680,680,760
930,2925,1895,1405,745
655,2925,745,985,1040
1405,1405,655,930,2925
1090,1495,1875,590,630
1090,1125,590,1000,985
655,660,655,1125,1510
1540,905,675,1090,1000
1875,1540,1805,1510,1065
630,1000,985,1510,1090
1805,1090,985,1095,905
905,740,630,590,675
1895,655,1895,1090,1095
1875,1895,1495,1095,1065
1095,715,1875,1090,1895
1095,1875,580,580,1875
700,655,1380,630,1380
1400,985,700,1380,760
1715,915,700,1125,565
930,985,1125,930,1715
1715,1095,1510,440,340
340,930,1195,1510,985
203,246,246,100,1716
632,102,246,100,20
580,655,1875,1495,1095
