"dat_id","per_id","age","gender","income","lic","mode","purpose","X","geoid_o","sampno","deptime","geoid_d","zid","arrtime","dist","autoivtt","darivtt","walktt","costauto","sharedridecost","darefare","busfare","buswaitt","bustt","u_perid","emp","child16","hh_auto","PERRKWT0"
3,200183001,4,2,1,1,4,7,7,260210000000,2001830,"5/5/2015 8:40",260210025001,260000000000,"5/5/2015 8:45",1.22,1.83,2.091428571,20.91428571,0.732,0.2928,2.122,1.061,-99999,2.928,1,0,-99999,2,131.363833
3,200183001,4,2,1,1,4,15,15,260210025001,2001830,"5/5/2015 9:17",260210104003,260000000000,"5/5/2015 9:40",4.52,6.78,7.748571429,77.48571429,2.712,1.0848,2.452,1.226,-99999,10.848,1,0,-99999,2,131.363833
3,200521801,5,1,4,1,4,7,7,260210008001,2005218,"4/21/2015 9:55",260210020003,260000000000,"4/21/2015 10:05",3.24,4.86,5.554285714,55.54285714,1.944,0.7776,2.324,1.162,-99999,7.776,1,1,-99999,1,57.9979632
3,200702401,4,2,1,1,4,10,10,260210023001,2007024,"5/7/2015 14:30",260210021003,260000000000,"5/7/2015 14:40",4.47,6.705,7.662857143,76.62857143,2.682,1.0728,2.447,1.2235,-99999,10.728,0,6,-99999,1,99.7900413
3,201128901,4,2,-7,1,4,1,1,260210010002,2011289,"5/7/2015 8:45",260210016001,260000000000,"5/7/2015 8:58",5.19,7.785,8.897142857,88.97142857,3.114,1.2456,2.519,1.2595,-99999,12.456,1,0,-99999,2,47.2980897
3,201348401,5,2,3,1,4,14,14,260210021003,2013484,"4/23/2015 7:30",260210014002,260000000000,"4/23/2015 8:14",2.36,3.54,4.045714286,40.45714286,1.416,0.5664,2.236,1.118,-99999,5.664,1,1,-99999,2,63.4531658
3,201809301,4,2,5,1,4,3,3,260210025002,2018093,"4/21/2015 9:06",260210020003,260000000000,"4/21/2015 9:32",3.7,5.55,6.342857143,63.42857143,2.22,0.888,2.37,1.185,-99999,8.88,1,0,-99999,2,47.1016267
3,201809301,4,2,5,1,4,15,15,260210025002,2018093,"4/21/2015 18:26",260210213001,260000000000,"4/21/2015 18:52",17.55,26.325,30.08571429,300.8571429,10.53,4.212,3.755,1.8775,-99999,42.12,0,0,-99999,2,47.1016267
3,201809302,4,1,5,1,4,4,4,260210025002,2018093,"4/21/2015 7:56",260210023002,260000000000,"4/21/2015 8:02",2.95,4.425,5.057142857,50.57142857,1.77,0.708,2.295,1.1475,-99999,7.08,1,0,-99999,2,51.7374908
3,201809302,4,1,5,1,4,4,4,260210025002,2018093,"4/21/2015 12:38",260210023002,260000000000,"4/21/2015 14:19",2.19,3.285,3.754285714,37.54285714,1.314,0.5256,2.219,1.1095,-99999,5.256,0,0,-99999,2,51.7374908
3,201869901,4,1,-7,1,4,3,3,260210025002,2018699,"4/21/2015 7:30",260210008002,260000000000,"4/21/2015 7:45",1.91,2.865,3.274285714,32.74285714,1.146,0.4584,2.191,1.0955,-99999,4.584,1,0,-99999,2,85.3554473
3,201991101,4,2,1,1,4,4,4,260210022001,2019911,"5/28/2015 8:30",260210003002,260000000000,"5/28/2015 12:30",1.28,1.92,2.194285714,21.94285714,0.768,0.3072,2.128,1.064,-99999,3.072,1,0,-99999,1,99.7900413
3,202100102,4,1,7,1,4,4,4,260210110003,2021001,"5/20/2015 6:20",260210112003,260000000000,"5/20/2015 8:30",23.99,35.985,41.12571429,411.2571429,14.394,5.7576,4.399,2.1995,-99999,57.576,0,0,-99999,4,57.8723171
3,202100103,3,1,7,1,4,6,6,260210110003,2021001,"5/20/2015 7:10",260210017002,260000000000,"5/20/2015 7:20",7.24,10.86,12.41142857,124.1142857,4.344,1.7376,2.724,1.362,-99999,17.376,1,5,-99999,4,77.0643406
3,202317301,5,2,1,2,5,10,10,260210021003,2023173,"4/20/2015 9:00",260210021003,260000000000,"4/20/2015 9:02",0.19,0.285,0.325714286,3.257142857,0.114,0.0456,2.019,1.0095,-99999,0.456,1,1,-99999,0,96.5735714
3,202317301,5,2,1,2,5,9,9,260210021003,2023173,"4/20/2015 14:59",260210021003,260000000000,"4/20/2015 15:15",0.98,1.47,1.68,16.8,0.588,0.2352,2.098,1.049,-99999,2.352,0,1,-99999,0,96.5735714
3,202317301,5,2,1,2,5,17,17,260210021003,2023173,"4/20/2015 20:00",260210113001,260000000000,"4/20/2015 20:45",29.24,43.86,50.12571429,501.2571429,17.544,7.0176,4.924,2.462,-99999,70.176,0,1,-99999,0,96.5735714
3,202484901,4,2,7,1,4,3,3,260210110003,2024849,"4/28/2015 7:30",260210003002,260000000000,"4/28/2015 8:00",16.22,24.33,27.80571429,278.0571429,9.732,3.8928,3.622,1.811,-99999,38.928,1,0,-99999,3,32.2272303
3,202627201,4,1,5,1,4,17,17,260210025001,2026272,"5/6/2015 7:30",260210004002,260000000000,"5/6/2015 7:48",6.08,9.12,10.42285714,104.2285714,3.648,1.4592,2.608,1.304,-99999,14.592,1,0,-99999,1,60.4422957
3,202965601,4,2,6,1,4,3,3,260210025002,2029656,"6/1/2015 8:15",260210024002,260000000000,"6/1/2015 8:30",6.97,10.455,11.94857143,119.4857143,4.182,1.6728,2.697,1.3485,-99999,16.728,1,0,-99999,2,52.7008548
3,202965602,4,1,6,1,4,15,15,260210025002,2029656,"6/1/2015 7:00",260210206002,260000000000,"6/1/2015 7:45",30.75,46.125,52.71428571,527.1428571,18.45,7.38,5.075,2.5375,-99999,73.8,1,1,-99999,2,54.9133677
3,203107401,4,2,7,1,4,3,3,260210025002,2031074,"4/21/2015 7:00",260210017001,260000000000,"4/21/2015 7:20",7.11,10.665,12.18857143,121.8857143,4.266,1.7064,2.711,1.3555,-99999,17.064,1,0,-99999,2,32.2272303
3,203107402,4,1,7,1,4,3,3,260210025002,2031074,"4/21/2015 7:45",260210004002,260000000000,"4/21/2015 7:50",1.26,1.89,2.16,21.6,0.756,0.3024,2.126,1.063,-99999,3.024,1,0,-99999,2,28.6028822
3,203107402,4,1,7,1,4,3,3,260210025002,2031074,"4/21/2015 12:25",260210004002,260000000000,"4/21/2015 12:30",1.87,2.805,3.205714286,32.05714286,1.122,0.4488,2.187,1.0935,-99999,4.488,0,0,-99999,2,28.6028822
3,203339001,4,2,1,1,4,13,13,260210021003,2033390,"4/30/2015 8:00",260210020003,260000000000,"4/30/2015 8:30",0.74,1.11,1.268571429,12.68571429,0.444,0.1776,2.074,1.037,-99999,1.776,1,6,-99999,1,84.1438274
3,203427502,4,2,9,1,5,11,11,260210018001,2034275,"6/3/2015 7:58",260210020003,260000000000,"6/3/2015 8:05",3.98,5.97,6.822857143,68.22857143,2.388,0.9552,2.398,1.199,-99999,9.552,1,0,-99999,6,107.5353166
3,203428401,5,1,3,1,1,17,17,260210025002,2034284,"4/22/2015 10:10",260210025002,260000000000,"4/22/2015 10:49",0.36,0.54,0.617142857,6.171428571,0.216,0.0864,2.036,1.018,-99999,0.864,0,1,-99999,1,53.9926376
3,203877801,4,2,4,1,4,3,3,260210010001,2038778,"5/19/2015 8:00",260210017002,260000000000,"5/19/2015 8:14",6.59,9.885,11.29714286,112.9714286,3.954,1.5816,2.659,1.3295,-99999,15.816,1,0,-99999,2,79.2287343
3,203877802,4,1,4,1,4,13,13,260210010001,2038778,"5/19/2015 9:30",260210021003,260000000000,"5/19/2015 9:40",3.55,5.325,6.085714286,60.85714286,2.13,0.852,2.355,1.1775,-99999,8.52,1,5,-99999,2,87.0266316
3,204713201,4,2,-7,1,4,3,3,260210006003,2047132,"5/11/2015 6:30",260210004002,260000000000,"5/11/2015 6:40",0.93,1.395,1.594285714,15.94285714,0.558,0.2232,2.093,1.0465,-99999,2.232,0,0,-99999,1,89.1686456
3,204713201,4,2,-7,1,4,17,17,260210006003,2047132,"5/11/2015 17:50",260210021003,260000000000,"5/11/2015 18:00",3.02,4.53,5.177142857,51.77142857,1.812,0.7248,2.302,1.151,-99999,7.248,0,0,-99999,1,89.1686456
3,204713202,3,1,-7,1,7,6,6,260210006003,2047132,"5/11/2015 6:50",260210004002,260000000000,"5/11/2015 7:15",1.17,1.755,2.005714286,20.05714286,0.702,0.2808,2.117,1.0585,-99999,2.808,0,5,-99999,1,130.4260141
3,204713203,2,2,-7,-99999,7,6,6,260210006003,2047132,"5/11/2015 8:00",260210003001,260000000000,"5/11/2015 8:30",1.45,2.175,2.485714286,24.85714286,0.87,0.348,2.145,1.0725,-99999,3.48,1,-99999,-99999,1,104.1684773
3,205130901,4,1,5,1,4,4,4,260210007001,2051309,"4/30/2015 8:30",260210020001,260000000000,"4/30/2015 14:20",8.44,12.66,14.46857143,144.6857143,5.064,2.0256,2.844,1.422,-99999,20.256,1,0,-99999,3,87.4546699
3,205130901,4,1,5,1,4,4,4,260210007001,2051309,"4/30/2015 18:15",260270021003,260000000000,"4/30/2015 19:00",30.5,45.75,52.28571429,522.8571429,18.3,7.32,5.05,2.525,-99999,73.2,0,0,-99999,3,87.4546699
3,205130904,4,1,5,2,1,14,14,260210007001,2051309,"4/30/2015 11:35",260210006003,260000000000,"4/30/2015 11:45",0.24,0.36,0.411428571,4.114285714,0.144,0.0576,2.024,1.012,-99999,0.576,0,6,-99999,3,106.7591409
